dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-2,Febrero,Gran Fondo Guadiamar 15k,https://runedia.mundodeportivo.com/carrera/gran-fondo-guadiamar-15k-2020/202010984/,"Sevilla, Sanlúcar La Mayor",Asfalto,15000 m,andalucia,2020
D-2,Febrero,Carrera solidaria Entreculturas. Corre por una causa Málaga - 5km,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-entreculturas-corre-por-una-causa-malaga-5km-2020/202012986/,"Málaga, Málaga",Asfalto,5000 m,andalucia,2020
D-2,Febrero,Nocturna Mellariense,https://runedia.mundodeportivo.com/carrera/nocturna-mellariense-2020/202012124/,"Córdoba, Fuente Obejuna",Asfalto,9600 m,andalucia,2020
D-2,Febrero,Media Maratón de Huelva,https://runedia.mundodeportivo.com/carrera/media-maraton-de-huelva-2020/202012101/,"Huelva, Huelva",Asfalto,21097 m,andalucia,2020
D-2,Febrero,Prueba de Fondo la Industrial de Armilla,https://runedia.mundodeportivo.com/carrera/prueba-de-fondo-la-industrial-de-armilla-2020/202012130/,"Granada, Armilla",Asfalto,10000 m,andalucia,2020
D-2,Febrero,Crono Bike Ciudad de Martos,https://runedia.mundodeportivo.com/carrera/crono-bike-ciudad-de-martos-2020/202055106/,"Jaén, Martos",Btt,12000 m,andalucia,2020
D-2,Febrero,Medio Maratón Almería,https://runedia.mundodeportivo.com/carrera/medio-maraton-almeria-2020/20203086/,"Almería, Almería",Asfalto,21097 m,andalucia,2020
D-2,Febrero,Gran Fondo Guadiamar 25k,https://runedia.mundodeportivo.com/carrera/gran-fondo-guadiamar-25k-2020/202010985/,"Sevilla, Sanlucar La Mayor",Tierra,25000 m,andalucia,2020
D-2,Febrero,Carrera Popular La Viñuela,https://runedia.mundodeportivo.com/carrera/carrera-popular-la-vinuela-2020/202011945/,"Málaga, La Viñuela",Asfalto,7000 m,andalucia,2020
D-2,Febrero,Duatlón Ciudad de Marbella - Súper Sprint,https://runedia.mundodeportivo.com/carrera/duatlon-ciudad-de-marbella-super-sprint-2020/202012017/,"Málaga, Marbella",Duatlón,13750 m,andalucia,2020
D-2,Febrero,Duatlón Ciudad de Marbella - Sprint,https://runedia.mundodeportivo.com/carrera/duatlon-ciudad-de-marbella-sprint-2020/202012016/,"Málaga, Marbella",Duatlón,27500 m,andalucia,2020
S-8,Febrero,Trail Villa de Zalamea La Real - Corto,https://runedia.mundodeportivo.com/carrera/trail-villa-de-zalamea-la-real-corto-2020/202012888/,"Huelva, Zalamea La Real",Montaña,9000 m,andalucia,2020
S-8,Febrero,CxM Sierra Blanca - Open 13km,https://runedia.mundodeportivo.com/carrera/cxm-sierra-blanca-open-13km-2020/202012310/,"Málaga, Marbella",Montaña,13000 m,andalucia,2020
S-8,Febrero,CxM Sierra Blanca 30km,https://runedia.mundodeportivo.com/carrera/cxm-sierra-blanca-30km-2020/202012311/,"Málaga, Marbella",Montaña,30000 m,andalucia,2020
S-8,Febrero,CxM Sierra Blanca - Maratón alpina,https://runedia.mundodeportivo.com/carrera/cxm-sierra-blanca-maraton-alpina-2020/202012309/,"Málaga, Marbella",Montaña,43000 m,andalucia,2020
S-8,Febrero,Trail Villa de Zalamea La Real - Largo,https://runedia.mundodeportivo.com/carrera/trail-villa-de-zalamea-la-real-largo-2020/202013248/,"Huelva, Zalamea La Real",Montaña,21000 m,andalucia,2020
D-9,Febrero,Carrera Por Parejas San Valentín,https://runedia.mundodeportivo.com/carrera/carrera-por-parejas-san-valentin-2020/202012477/,"Málaga, Montejaque",Asfalto,13500 m,andalucia,2020
D-9,Febrero,Carrera MTB Bomberos Levante Almeriense,https://runedia.mundodeportivo.com/carrera/carrera-mtb-bomberos-levante-almeriense-2020/202012465/,"Almería, Turre",Btt,40000 m,andalucia,2020
D-9,Febrero,Trail de Montaña de Montaña Monte Huma,https://runedia.mundodeportivo.com/carrera/trail-de-montana-de-montana-monte-huma-2020/202012686/,"Málaga, Valle de Abdalajís",Montaña,12500 m,andalucia,2020
D-9,Febrero,Trail del Mar al Cielo del Poniente - Travesía de Resistencia 36k,https://runedia.mundodeportivo.com/carrera/trail-del-mar-al-cielo-del-poniente-travesia-de-resistencia-36k-2020/202012689/,"Almería, EL EJIDO",Montaña,36000 m,andalucia,2020
D-9,Febrero,Carrera Popular de Jédula,https://runedia.mundodeportivo.com/carrera/carrera-popular-de-jedula-2020/202012471/,"Cádiz, Jédula",Asfalto,8500 m,andalucia,2020
D-9,Febrero,I Cross Villanueva del Duque,https://runedia.mundodeportivo.com/carrera/i-cross-villanueva-del-duque-2020/202012537/,"Córdoba, Villanueva del Duque",Cross,6800 m,andalucia,2020
D-9,Febrero,Carrera Urbana Villamartín La Fundacional,https://runedia.mundodeportivo.com/carrera/carrera-urbana-villamartin-la-fundacional-2020/202013542/,"Cádiz, Villamartín",Asfalto,10000 m,andalucia,2020
D-9,Febrero,Media Maratón Villa de Puente Genil,https://runedia.mundodeportivo.com/carrera/media-maraton-villa-de-puente-genil-2020/202012104/,"Córdoba, Puente Genil",Asfalto,21097 m,andalucia,2020
D-9,Febrero,Carrera popular la salud mental con el deporte,https://runedia.mundodeportivo.com/carrera/carrera-popular-la-salud-mental-con-el-deporte-2020/202012474/,"Huelva, Huelva",Asfalto,5500 m,andalucia,2020
D-9,Febrero,CXM LOS MOLINOS DEL CIUDADEJA - 24k,https://runedia.mundodeportivo.com/carrera/cxm-los-molinos-del-ciudadeja-24k-2020/202055089/,"Sevilla, LAS NAVAS DE LA CONCEPCION",Montaña,24000 m,andalucia,2020
D-9,Febrero,Duatlón de Campillos Femenino,https://runedia.mundodeportivo.com/carrera/duatlon-de-campillos-femenino-2020/202012517/,"Málaga, Campillos",Duatlón,27500 m,andalucia,2020
D-9,Febrero,Carrera Popular Santiponce,https://runedia.mundodeportivo.com/carrera/carrera-popular-santiponce-2020/202012476/,"Sevilla, Santiponce",Asfalto,9000 m,andalucia,2020
D-9,Febrero,Carrera Popular Alozaina Solidaria,https://runedia.mundodeportivo.com/carrera/carrera-popular-alozaina-solidaria-2020/202012470/,"Málaga, Alozaina",Asfalto,6000 m,andalucia,2020
D-9,Febrero,Duatlón de Sevilla,https://runedia.mundodeportivo.com/carrera/duatlon-de-sevilla-2020/202012519/,"Sevilla, Sevilla",Duatlón,26125 m,andalucia,2020
D-9,Febrero,CARRERA - MARCHA SOLIDARIA HERMANDAD DE LA MISERICORDIA,https://runedia.mundodeportivo.com/carrera/carrera-marcha-solidaria-hermandad-de-la-misericordia-2020/202051045/,"Cádiz, SAN FERNANDO",Asfalto,8000 m,andalucia,2020
D-9,Febrero,Campo a Través Popular Ciudad de Jaén - largo,https://runedia.mundodeportivo.com/carrera/campo-a-traves-popular-ciudad-de-jaen-largo-2020/202012443/,"Jaén, Jaén",Cross,8800 m,andalucia,2020
D-9,Febrero,Holi Life Almería,https://runedia.mundodeportivo.com/carrera/holi-life-almeria-2020/202045164/,"Almería, Almería",Caminata,5000 m,andalucia,2020
D-9,Febrero,TRAIL FUENGIROLA,https://runedia.mundodeportivo.com/carrera/trail-fuengirola-2020/202055091/,"Málaga, FUENGIROLA",Montaña,10000 m,andalucia,2020
D-9,Febrero,Marcha Senderista San Valentín,https://runedia.mundodeportivo.com/carrera/marcha-senderista-san-valentin-2020/202012580/,"Málaga, Montejaque",Caminata,13500 m,andalucia,2020
D-9,Febrero,Ruta Cicloturista del Andarax,https://runedia.mundodeportivo.com/carrera/ruta-cicloturista-del-andarax-2020/202012639/,"Almería, Viator",Bici Carretera,117000 m,andalucia,2020
D-9,Febrero,Trail San Valentín,https://runedia.mundodeportivo.com/carrera/trail-san-valentin-2020/202012707/,"Málaga, Montejaque",Montaña,13700 m,andalucia,2020
D-9,Febrero,Ultra Trail del Mar al Cielo del Poniente - 58km,https://runedia.mundodeportivo.com/carrera/ultra-trail-del-mar-al-cielo-del-poniente-58km-2020/202012728/,"Almería, EL EJIDO",Montaña,58000 m,andalucia,2020
