dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
V-25,Junio,Ultra-trail Sobrarbe,https://runedia.mundodeportivo.com/carrera/ultra-trail-sobrarbe-2010/20102710/,"Huesca, Aínsa",Montaña,41000 m,aragon,2002
S-3,Julio,10k Vaquilla del Angel Ciudad de Teruel,https://runedia.mundodeportivo.com/carrera/10k-vaquilla-del-angel-ciudad-de-teruel-2010/20102232/,"Teruel, Teruel",Ruta,10000 m,aragon,2002
X-7,Julio,"""Bike Maraton """"Sierra de la Virgen"""" Aniñón""",https://runedia.mundodeportivo.com/carrera/bike-maraton-sierra-de-la-virgen-aninon-2010/20102872/,"Zaragoza, Aniñón",Btt,65000 m,aragon,2002
S-10,Julio,Carrera Boca del Infierno,https://runedia.mundodeportivo.com/carrera/carrera-boca-del-infierno-2010/20102713/,"Huesca, Hecho",Montaña,26000 m,aragon,2002
V-16,Julio,Carrera Popular Vía Verde,https://runedia.mundodeportivo.com/carrera/carrera-popular-via-verde-2010/20102238/,"Teruel, Sarrión",Ruta,7000 m,aragon,2002
V-23,Julio,Media Maratón de Rubielos de Mora,https://runedia.mundodeportivo.com/carrera/media-maraton-de-rubielos-de-mora-2010/20102233/,"Teruel, Rubielos de Mora",Ruta,21097 m,aragon,2002
,Julio,2ª Prueba Circuito Nordic Walking Champion Series,https://runedia.mundodeportivo.com/carrera/2-prueba-circuito-nordic-walking-champion-series-2010/20101765/,"Huesca, Hecho",Otros,27000 m,aragon,2002
V-30,Julio,Trail Aneto-Marathon-Dos Caras-Vuelta al Aneto,https://runedia.mundodeportivo.com/carrera/trail-aneto-marathon-dos-caras-vuelta-al-aneto-2010/20101221/,"Huesca, Benasque",Travesía,78000 m,aragon,2002
V-30,Julio,Carrera de Montaña de Nogueruelas,https://runedia.mundodeportivo.com/carrera/carrera-de-montana-de-nogueruelas-2010/20102237/,"Teruel, Nogueruelas",Montaña,10000 m,aragon,2002
D-1,Agosto,Carrera por montaña peña Canciás,https://runedia.mundodeportivo.com/carrera/carrera-por-montana-pena-cancias-2010/20102714/,"Huesca, Fiscal",Montaña,28000 m,aragon,2002
