dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-10,Mayo,Iron Mieres 5k,https://runedia.mundodeportivo.com/carrera/iron-mieres-5k-2020/202034516/,"Asturias, Mieres",Asfalto,5000 m,asturias,2020
,Mayo,Allande Extremo - SpeedTrail,https://runedia.mundodeportivo.com/carrera/allande-extremo-speedtrail-2020/202028046/,"Asturias, Pola de Allande",Montaña,9000 m,asturias,2020
,Mayo,Allande Extremo II Prueba Copa de Asturias cxm FEMPA GP EDP,https://runedia.mundodeportivo.com/carrera/allande-extremo-ii-prueba-copa-de-asturias-cxm-fempa-gp-edp-2020/202028047/,"Asturias, Pola de Allande",Montaña,36700 m,asturias,2020
S-16,Mayo,Cross Los Robles-Peñamayor,https://runedia.mundodeportivo.com/carrera/cross-los-robles-penamayor-2020/202035044/,"Asturias, Llanera",Montaña,7200 m,asturias,2020
D-17,Mayo,Carrera Benéfica Playa de Salinas - Marcha nórdica,https://runedia.mundodeportivo.com/carrera/carrera-benefica-playa-de-salinas-marcha-nordica-2020/202035469/,"Asturias, Playa de Salinas",,6200 m,asturias,2020
,Mayo,Trail Valle de Lena - Corto 11k,https://runedia.mundodeportivo.com/carrera/trail-valle-de-lena-corto-11k-2020/202032445/,"Asturias, Pola de Lena",Montaña,11000 m,asturias,2020
D-17,Mayo,Trail Alto Aller  K15 / 1900 m/d,https://runedia.mundodeportivo.com/carrera/trail-alto-aller-k15-1900-md-2020/202035905/,"Asturias, Felechosa",Montaña,15000 m,asturias,2020
D-17,Mayo,Marcha Cicloturista Villa de Gijón - Cronoescalada Fumarea,https://runedia.mundodeportivo.com/carrera/marcha-cicloturista-villa-de-gijon-cronoescalada-fumarea-2020/202035756/,"Asturias, Gijón",Bici Carretera,6500 m,asturias,2020
D-17,Mayo,Trail Alto Aller K33/ 6.600 m/d,https://runedia.mundodeportivo.com/carrera/trail-alto-aller-k33-6600-md-2020/202035907/,"Asturias, Felechosa",Montaña,33000 m,asturias,2020
,Mayo,Trail Valle de Lena - largo 20k,https://runedia.mundodeportivo.com/carrera/trail-valle-de-lena-largo-20k-2020/202032446/,"Asturias, Pola de Lena",Montaña,20000 m,asturias,2020
D-17,Mayo,Marcha Cicloturista Villa de Gijón - Cronoescalada Huerces,https://runedia.mundodeportivo.com/carrera/marcha-cicloturista-villa-de-gijon-cronoescalada-huerces-2020/202035757/,"Asturias, Gijón",Bici Carretera,3100 m,asturias,2020
D-17,Mayo,Carrera Benéfica Playa de Salinas,https://runedia.mundodeportivo.com/carrera/carrera-benefica-playa-de-salinas-2020/202035468/,"Asturias, Playa de Salinas",Asfalto,6200 m,asturias,2020
D-17,Mayo,Trail Alto Aller  K8,https://runedia.mundodeportivo.com/carrera/trail-alto-aller-k8-2020/202035906/,"Asturias, Felechosa",Montaña,8000 m,asturias,2020
S-23,Mayo,Storm Race Llanera - La Morgal,https://runedia.mundodeportivo.com/carrera/storm-race-llanera-la-morgal-2020/202036404/,"Asturias, La Morgal",Obstáculos,6000 m,asturias,2020
S-23,Mayo,Trail Valle de Lantero,https://runedia.mundodeportivo.com/carrera/trail-valle-de-lantero-2020/202036446/,"Asturias, Área Recreativa Lantero",Montaña,11000 m,asturias,2020
D-31,Mayo,Duatlón Ence Cuenca de Navia,https://runedia.mundodeportivo.com/carrera/duatlon-ence-cuenca-de-navia-2020/202012520/,"Asturias, Navia",Duatlón,27500 m,asturias,2020
,Junio,Ruta Vía de la Plata Non Stop/Eurovelo,https://runedia.mundodeportivo.com/carrera/ruta-via-de-la-plata-non-stopeurovelo-2020/202025528/,"Asturias, Gijón",Btt,952000 m,asturias,2020
,Junio,Traveserina Picos de Europa,https://runedia.mundodeportivo.com/carrera/traveserina-picos-de-europa-2020/202024839/,"Asturias, Arenas de Cabrales",Montaña,45000 m,asturias,2020
,Junio,Subida a Lagos de Covadonga,https://runedia.mundodeportivo.com/carrera/subida-a-lagos-de-covadonga-2020/202024794/,"Asturias, El Repelao",Asfalto,13500 m,asturias,2020
,Junio,Carrera Popular La Marinera Candás,https://runedia.mundodeportivo.com/carrera/carrera-popular-la-marinera-candas-2020/202023086/,"Asturias, Candás",Asfalto,8400 m,asturias,2020
,Junio,Clásica Lagos de Covadonga - Gran Fondo,https://runedia.mundodeportivo.com/carrera/clasica-lagos-de-covadonga-gran-fondo-2020/202024508/,"Asturias, Cangas de Onis",Bici Carretera,111000 m,asturias,2020
,Junio,Carrerina Celíaca,https://runedia.mundodeportivo.com/carrera/carrerina-celiaca-2020/202023454/,"Asturias, Avilés",Pista,20000 m,asturias,2020
S-6,Junio,Carrera popular Candás - Luanco - Candás,https://runedia.mundodeportivo.com/carrera/carrera-popular-candas-luanco-candas-2020/20202285/,"Asturias, Candás",Asfalto,10600 m,asturias,2020
S-6,Junio,Carrera de Montaña Sierra Llagos,https://runedia.mundodeportivo.com/carrera/carrera-de-montana-sierra-llagos-2020/202023077/,"Asturias, Soto Rei",Montaña,14000 m,asturias,2020
,Junio,MMR Asturias Bike Race - Etapa 1,https://runedia.mundodeportivo.com/carrera/mmr-asturias-bike-race-etapa-1-2020/202024322/,"Asturias, Siero",Btt,54400 m,asturias,2020
,Junio,Clásica Lagos de Covadonga - Medio Fondo,https://runedia.mundodeportivo.com/carrera/clasica-lagos-de-covadonga-medio-fondo-2020/202024509/,"Asturias, Cangas de Onis",Bici Carretera,94000 m,asturias,2020
,Junio,Carrera Dona Vida,https://runedia.mundodeportivo.com/carrera/carrera-dona-vida-2020/202023611/,"Asturias, Gijón",Asfalto,8000 m,asturias,2020
D-7,Junio,Santander Triathlon Series Gijón (SuperSprint),https://runedia.mundodeportivo.com/carrera/santander-triathlon-series-gijon-supersprint-2020/202025347/,"Asturias, Gijón",Triatlón,12850 m,asturias,2020
,Junio,MMR Asturias Bike Race Experience - corta,https://runedia.mundodeportivo.com/carrera/mmr-asturias-bike-race-experience-corta-2020/202025291/,"Asturias, Siero",Btt,51000 m,asturias,2020
,Junio,Can We Run Gijón,https://runedia.mundodeportivo.com/carrera/can-we-run-gijon-2020/202024989/,"Asturias, Gijón",Tierra,4000 m,asturias,2020
