dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-17,Mayo,9Km Carrera Nocturna Guia de Isora,https://runedia.mundodeportivo.com/carrera/9km-carrera-nocturna-guia-de-isora-2014/201420952/,"Tenerife, Guia de Isora",Asfalto,9000 m,canarias,2014
S-17,Mayo,II Crossfast 2014,https://runedia.mundodeportivo.com/carrera/ii-crossfast-2014-2014/201420918/,"Tenerife, Base de Hoya Fría",Cross,1000 m,canarias,2014
S-17,Mayo,I Cencerra Trail,https://runedia.mundodeportivo.com/carrera/i-cencerra-trail-2014/201420164/,"Gran Canaria, Caideros de Gáldar",Montaña,15000 m,canarias,2014
S-17,Mayo,Ironman de Lanzarote,https://runedia.mundodeportivo.com/carrera/ironman-de-lanzarote-2014/201411527/,"Lanzarote, Lanzarote",Triatlón,226000 m,canarias,2014
S-17,Mayo,"4,5Km Carrera Nocturna Guia de Isora",https://runedia.mundodeportivo.com/carrera/45km-carrera-nocturna-guia-de-isora-2014/201421169/,"Tenerife, Guia de Isora",Asfalto,4500 m,canarias,2014
S-17,Mayo,I Trail La Salle La Laguna,https://runedia.mundodeportivo.com/carrera/i-trail-la-salle-la-laguna-2014/201430038/,"Tenerife, La Laguna",Montaña,6750 m,canarias,2014
S-17,Mayo,Carrera de la Luna Llena,https://runedia.mundodeportivo.com/carrera/carrera-de-la-luna-llena-2014/201421018/,"Tenerife, San Isidro",Asfalto,5000 m,canarias,2014
D-18,Mayo,La Cisnera Trail,https://runedia.mundodeportivo.com/carrera/la-cisnera-trail-2014/201411341/,"Tenerife, Arico",Montaña,40000 m,canarias,2014
D-18,Mayo,Media maratón Fundación Puerto de las Palmas,https://runedia.mundodeportivo.com/carrera/media-maraton-fundacion-puerto-de-las-palmas-2014/20142814/,"Gran Canaria, Las Palmas de Gran Canaria",Asfalto,21097 m,canarias,2014
D-18,Mayo,VII Carrera Popular de María Auxiliadora,https://runedia.mundodeportivo.com/carrera/vii-carrera-popular-de-maria-auxiliadora-2014/201420962/,"Gran Canaria, Las Palmas",Asfalto,5000 m,canarias,2014
D-18,Mayo,10km Fundación Puerto de las Palmas,https://runedia.mundodeportivo.com/carrera/10km-fundacion-puerto-de-las-palmas-2014/201421150/,"Gran Canaria, Las Palmas de Gran Canaria",Asfalto,10000 m,canarias,2014
D-18,Mayo,XXXVII Cross María Auxiliadora,https://runedia.mundodeportivo.com/carrera/xxxvii-cross-maria-auxiliadora-2014/201420578/,"Tenerife, La Orotava",Cross,5000 m,canarias,2014
V-23,Mayo,XX Milla de Primavera Ciudad de Santa Cruz,https://runedia.mundodeportivo.com/carrera/xx-milla-de-primavera-ciudad-de-santa-cruz-2014/201421025/,"Tenerife, Santa Cruz de Tenerife",Asfalto,1609 m,canarias,2014
S-24,Mayo,I Fuertebike,https://runedia.mundodeportivo.com/carrera/i-fuertebike-2014/201430187/,"Fuerteventura, Corralejo",Btt,79000 m,canarias,2014
S-24,Mayo,Circular de Tejeda Trail 11K,https://runedia.mundodeportivo.com/carrera/circular-de-tejeda-trail-11k-2014/201421213/,"La Palma, Tejeda",Montaña,11000 m,canarias,2014
S-24,Mayo,V 12K Fonteide Teno Trail,https://runedia.mundodeportivo.com/carrera/v-12k-fonteide-teno-trail-2014/201430103/,"Tenerife, Masca",Montaña,12000 m,canarias,2014
S-24,Mayo,Circular de Tejeda Trail,https://runedia.mundodeportivo.com/carrera/circular-de-tejeda-trail-2014/201411671/,"La Palma, Tejeda",Montaña,41000 m,canarias,2014
S-24,Mayo,Circular de Tejeda Trail 21K,https://runedia.mundodeportivo.com/carrera/circular-de-tejeda-trail-21k-2014/201421212/,"La Palma, Tejeda",Montaña,21000 m,canarias,2014
S-24,Mayo,I Carrera Media Maraton Trailgym Spring,https://runedia.mundodeportivo.com/carrera/i-carrera-media-maraton-trailgym-spring-2014/201421019/,"Tenerife, San Juan de la Rambla",Montaña,12000 m,canarias,2014
D-25,Mayo,II Marcha Solidaria Lucha Contra el Cáncer Infantil,https://runedia.mundodeportivo.com/carrera/ii-marcha-solidaria-lucha-contra-el-cancer-infantil-2014/201429977/,"Gran Canaria, Gran Canaria",Asfalto,1530 m,canarias,2014
D-25,Mayo,Marcha Cicloturista 1º Test - El Bailadero 2014,https://runedia.mundodeportivo.com/carrera/marcha-cicloturista-1-test-el-bailadero-2014-2014/201420175/,"Tenerife, Santa Cruz",Bici Carretera,60000 m,canarias,2014
D-25,Mayo,III Acuatlón Playa de Las Teresitas,https://runedia.mundodeportivo.com/carrera/iii-acuatlon-playa-de-las-teresitas-2014/201420701/,"Tenerife, Santa Cruz de Tenerife",Acuatlón,2500 m,canarias,2014
S-31,Mayo,Paradise Trail Running - XXL Vulcan Xperience,https://runedia.mundodeportivo.com/carrera/paradise-trail-running-xxl-vulcan-xperience-2014/201421252/,"Gran Canaria, Ingenio",Montaña,40000 m,canarias,2014
S-31,Mayo,Paradise Trail Running - XXL Vulcan Xperience,https://runedia.mundodeportivo.com/carrera/paradise-trail-running-xxl-vulcan-xperience-2014/201421253/,"Gran Canaria, Ingenio",Montaña,20000 m,canarias,2014
D-1,Junio,Triatlón Olímpico Playa de Mogán,https://runedia.mundodeportivo.com/carrera/triatlon-olimpico-playa-de-mogan-2014/201417474/,"Gran Canaria, Mogán",Triatlón,51500 m,canarias,2014
D-1,Junio,Acuatlón Blancobar - Puerto de la Cruz,https://runedia.mundodeportivo.com/carrera/acuatlon-blancobar-puerto-de-la-cruz-2014/20143066/,"Tenerife, Puerto de la Cruz",Acuatlón,6000 m,canarias,2014
D-1,Junio,Carrera Laguna Solidaria,https://runedia.mundodeportivo.com/carrera/carrera-laguna-solidaria-2014/201430006/,"Tenerife, La Laguna",Asfalto,5000 m,canarias,2014
D-1,Junio,Hoya del Abade MTB Maratón,https://runedia.mundodeportivo.com/carrera/hoya-del-abade-mtb-maraton-2014/201411944/,"Tenerife, La Victoria de Acentejo",Btt,50000 m,canarias,2014
S-7,Junio,La Espíritu Triabona 5k,https://runedia.mundodeportivo.com/carrera/la-espiritu-triabona-5k-2014/201429971/,"Tenerife, Granadilla de Abona",Asfalto,5000 m,canarias,2014
S-7,Junio,Ruta de los Faycanes,https://runedia.mundodeportivo.com/carrera/ruta-de-los-faycanes-2014/201411867/,"Gran Canaria, Telde",Travesía,25000 m,canarias,2014
S-7,Junio,Raid Villa de Santa Brigida,https://runedia.mundodeportivo.com/carrera/raid-villa-de-santa-brigida-2014/201412072/,"Gran Canaria, Villa de Santa Brigida",Raid,10000 m,canarias,2014
S-7,Junio,La Espíritu Triabona 10k,https://runedia.mundodeportivo.com/carrera/la-espiritu-triabona-10k-2014/201429970/,"Tenerife, Granadilla de Abona",Asfalto,10000 m,canarias,2014
S-7,Junio,El Asomadero Trail,https://runedia.mundodeportivo.com/carrera/el-asomadero-trail-2014/201411831/,"Tenerife, Los Realejos",Montaña,14200 m,canarias,2014
S-7,Junio,Acuatlón Pink Cows Cup Playa de Mogán,https://runedia.mundodeportivo.com/carrera/acuatlon-pink-cows-cup-playa-de-mogan-2014/201412022/,"Gran Canaria, Mogán",Acuatlón,4600 m,canarias,2014
D-8,Junio,Triatlón Ciudad de La Laguna,https://runedia.mundodeportivo.com/carrera/triatlon-ciudad-de-la-laguna-2014/201411999/,"Tenerife, Punta del Hidalgo - La Laguna",Triatlón,25750 m,canarias,2014
D-8,Junio,VII Marcha Cicloturista Chineje,https://runedia.mundodeportivo.com/carrera/vii-marcha-cicloturista-chineje-2014/201417715/,"Tenerife, Guía de Isora",Bici Carretera,72000 m,canarias,2014
D-8,Junio,I Running La Granja,https://runedia.mundodeportivo.com/carrera/i-running-la-granja-2014/201430231/,"Tenerife, Santa Cruz de Tenerife",Asfalto,6000 m,canarias,2014
D-8,Junio,Cabraman El Tanque,https://runedia.mundodeportivo.com/carrera/cabraman-el-tanque-2014/201412087/,"Tenerife, El Tanque",Duatlón,30000 m,canarias,2014
D-8,Junio,Pinolere Trail,https://runedia.mundodeportivo.com/carrera/pinolere-trail-2014/201429961/,"Tenerife, La Orotava",Montaña,27000 m,canarias,2014
S-14,Junio,III Milla Urbana Villa de la Orotava,https://runedia.mundodeportivo.com/carrera/iii-milla-urbana-villa-de-la-orotava-2014/201430420/,"Tenerife, La Orotava",Asfalto,1609 m,canarias,2014
S-14,Junio,Artenara Trail - 31Km,https://runedia.mundodeportivo.com/carrera/artenara-trail-31km-2014/201430246/,"Gran Canaria, Artenara",Montaña,31000 m,canarias,2014
S-14,Junio,Artenara Trail - Senderista,https://runedia.mundodeportivo.com/carrera/artenara-trail-senderista-2014/201417911/,"Gran Canaria, Artenara",Montaña,10000 m,canarias,2014
S-14,Junio,Artenara Trail - 16Km,https://runedia.mundodeportivo.com/carrera/artenara-trail-16km-2014/201430245/,"Gran Canaria, Artenara",Montaña,16000 m,canarias,2014
