dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-2,Agosto,Triatlón de Castro Urdiales,https://runedia.mundodeportivo.com/carrera/triatlon-de-castro-urdiales-2020/202037935/,"Cantabria, Castro Urdiales",Triatlón,24000 m,cantabria,2020
D-2,Agosto,Milla urbana de Selaya,https://runedia.mundodeportivo.com/carrera/milla-urbana-de-selaya-2020/20202499/,"Cantabria, Selaya",Asfalto,1609 m,cantabria,2020
D-2,Agosto,Carrera Popular San Lorenzo,https://runedia.mundodeportivo.com/carrera/carrera-popular-san-lorenzo-2020/202037678/,"Cantabria, Laredo",Asfalto,5000 m,cantabria,2020
,Agosto,Carrera del Monte Soña-Salcedo-Soña,https://runedia.mundodeportivo.com/carrera/carrera-del-monte-sona-salcedo-sona-2020/20202494/,"Cantabria, SOÑA- POLANCO",Asfalto,11600 m,cantabria,2020
V-7,Agosto,Triatlón Somo,https://runedia.mundodeportivo.com/carrera/triatlon-somo-2020/202038005/,"Cantabria, Somo",Triatlón,36000 m,cantabria,2020
,Agosto,Trail Mogrovejo,https://runedia.mundodeportivo.com/carrera/trail-mogrovejo-2020/202038334/,"Cantabria, Mogrovejo",Tierra,10000 m,cantabria,2020
S-8,Agosto,Marcha Nocturna Benefica Cicero,https://runedia.mundodeportivo.com/carrera/marcha-nocturna-benefica-cicero-2020/202021180/,"Cantabria, Cicero",Montaña,15000 m,cantabria,2020
S-8,Agosto,Trail Nocturno Cicero,https://runedia.mundodeportivo.com/carrera/trail-nocturno-cicero-2020/202021193/,"Cantabria, Cicero",Montaña,21500 m,cantabria,2020
D-9,Agosto,Trail Las Presillas,https://runedia.mundodeportivo.com/carrera/trail-las-presillas-2020/202038623/,"Cantabria, Puente Viesgo",Montaña,14700 m,cantabria,2020
D-9,Agosto,Carrera Solidaria Villa de Noja,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-villa-de-noja-2020/202038446/,"Cantabria, Noja",Asfalto,4000 m,cantabria,2020
,Agosto,Triatlón Valle de Buelna,https://runedia.mundodeportivo.com/carrera/triatlon-valle-de-buelna-2020/202039126/,"Cantabria, Corrales de Buelna",Triatlón,113000 m,cantabria,2020
S-15,Agosto,Subida Nocturna al Pico Liguardi,https://runedia.mundodeportivo.com/carrera/subida-nocturna-al-pico-liguardi-2020/202039068/,"Cantabria, Proaño",Montaña,10000 m,cantabria,2020
