dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
L-3,Marzo,MonTTrail Series de Toledo - 10k,https://runedia.mundodeportivo.com/carrera/monttrail-series-de-toledo-10k-2025/20252014834/,"Toledo, Mora",Montaña,10000 m,castilla-la-mancha,2025
L-3,Marzo,Duatlón Sprint de Almansa,https://runedia.mundodeportivo.com/carrera/duatlon-sprint-de-almansa-2025/20252012895/,"Albacete, Almansa",Duatlón,27500 m,castilla-la-mancha,2025
L-3,Marzo,Segura Trail - Sprint trail 13k,https://runedia.mundodeportivo.com/carrera/segura-trail-sprint-trail-13k-2025/20252014919/,"Albacete, Elche de la Sierra",Montaña,13700 m,castilla-la-mancha,2025
L-3,Marzo,10k Villa de Illescas,https://runedia.mundodeportivo.com/carrera/10k-villa-de-illescas-2025/20252022326/,"Toledo, Illescas",Asfalto,10000 m,castilla-la-mancha,2025
L-3,Marzo,DESAFÍO MTB ALCARRIA ZONA ZENTRO,https://runedia.mundodeportivo.com/carrera/desafio-mtb-alcarria-zona-zentro-2025/20252042705/,"Guadalajara, Trillo",Btt,70000 m,castilla-la-mancha,2025
L-3,Marzo,Ducross Valenzuela,https://runedia.mundodeportivo.com/carrera/ducross-valenzuela-2025/20252014516/,"Ciudad Real, Valenzuela",Duatlón,29000 m,castilla-la-mancha,2025
J-6,Marzo,Circuito BTT Dip. Albacete - Lietor - corto,https://runedia.mundodeportivo.com/carrera/circuito-btt-dip-albacete-lietor-corto-2025/20252015161/,"Albacete, Lietor",Btt,16000 m,castilla-la-mancha,2025
J-6,Marzo,Circuito BTT Dip. Albacete - Lietor,https://runedia.mundodeportivo.com/carrera/circuito-btt-dip-albacete-lietor-2025/20252015160/,"Albacete, Lietor",Btt,40000 m,castilla-la-mancha,2025
,Marzo,Cross Popular el cordel de la Merinas,https://runedia.mundodeportivo.com/carrera/cross-popular-el-cordel-de-la-merinas-2025/20252015245/,"Toledo, Nuño Gomez",Cross,15500 m,castilla-la-mancha,2025
D-9,Marzo,Trail de la Alcarruela - 16k,https://runedia.mundodeportivo.com/carrera/trail-de-la-alcarruela-16k-2025/20252016294/,"Guadalajara, Malacuera",Montaña,16000 m,castilla-la-mancha,2025
D-9,Marzo,Carrera Popular La Guitarra Española,https://runedia.mundodeportivo.com/carrera/carrera-popular-la-guitarra-espanola-2025/20252015218/,"Cuenca, Cuenca",Asfalto,9500 m,castilla-la-mancha,2025
D-9,Marzo,Brevet 200 km ciclomaratón. Club Ciclista Yepes,https://runedia.mundodeportivo.com/carrera/brevet-200-km-ciclomaraton-club-ciclista-yepes-2025/20252015201/,"Toledo, Yepes",Bici Carretera,200000 m,castilla-la-mancha,2025
D-9,Marzo,Maratón solidario de Toledo,https://runedia.mundodeportivo.com/carrera/maraton-solidario-de-toledo-2025/20252015332/,"Toledo, Toledo",Tierra,42195 m,castilla-la-mancha,2025
D-9,Marzo,Trail de la Alcarruela - 7k,https://runedia.mundodeportivo.com/carrera/trail-de-la-alcarruela-7k-2025/20252015931/,"Guadalajara, Malacuera",Montaña,7000 m,castilla-la-mancha,2025
L-10,Marzo,Vuelta al Tolmo 8km,https://runedia.mundodeportivo.com/carrera/vuelta-al-tolmo-8km-2025/20252012750/,"Albacete, Venta Pascual, Minateda",Montaña,8000 m,castilla-la-mancha,2025
L-10,Marzo,Media Maratón de Montaña Montes de Toledo,https://runedia.mundodeportivo.com/carrera/media-maraton-de-montana-montes-de-toledo-2025/2025202350/,"Toledo, San Pablo de los Montes",Montaña,24000 m,castilla-la-mancha,2025
L-10,Marzo,Vuelta al Tolmo 11km,https://runedia.mundodeportivo.com/carrera/vuelta-al-tolmo-11km-2025/20252012749/,"Albacete, Venta Pascual, Minateda",Montaña,11000 m,castilla-la-mancha,2025
L-10,Marzo,Trail San Pablo de los Montes,https://runedia.mundodeportivo.com/carrera/trail-san-pablo-de-los-montes-2025/20252018249/,"Toledo, San Pablo de los Montes",Montaña,29000 m,castilla-la-mancha,2025
L-10,Marzo,5k Navarrosa,https://runedia.mundodeportivo.com/carrera/5k-navarrosa-2025/20252015498/,"Guadalajara, Azuqueca de Henares",Asfalto,5000 m,castilla-la-mancha,2025
L-10,Marzo,Open BTT de Ciudad Real - Villa de Herencia,https://runedia.mundodeportivo.com/carrera/open-btt-de-ciudad-real-villa-de-herencia-2025/20252015829/,"Ciudad Real, Herencia",Btt,54000 m,castilla-la-mancha,2025
L-10,Marzo,Carrera Urbana de Ciudad Real,https://runedia.mundodeportivo.com/carrera/carrera-urbana-de-ciudad-real-2025/20252015574/,"Ciudad Real, Ciudad Real",Asfalto,10000 m,castilla-la-mancha,2025
L-10,Marzo,Trail Ayna,https://runedia.mundodeportivo.com/carrera/trail-ayna-2025/20252015922/,"Albacete, Ayna",Montaña,20500 m,castilla-la-mancha,2025
L-10,Marzo,Marcha MTB La Cabra tira al Monte,https://runedia.mundodeportivo.com/carrera/marcha-mtb-la-cabra-tira-al-monte-2025/20252015786/,"Guadalajara, Villanueva de la Torre",Btt,45000 m,castilla-la-mancha,2025
L-10,Marzo,Circuito Provincial BTT de Toledo - Yuncler,https://runedia.mundodeportivo.com/carrera/circuito-provincial-btt-de-toledo-yuncler-2025/20252015587/,"Toledo, Yuncler",Btt,61000 m,castilla-la-mancha,2025
L-10,Marzo,Mini Trail San Pablo de los Montes,https://runedia.mundodeportivo.com/carrera/mini-trail-san-pablo-de-los-montes-2025/20252018170/,"Toledo, San Pablo de los Montes",Montaña,16000 m,castilla-la-mancha,2025
L-10,Marzo,Carrera popular de Fuentealbilla,https://runedia.mundodeportivo.com/carrera/carrera-popular-de-fuentealbilla-2025/20252015556/,"Albacete, Fuentealbilla",Tierra,10000 m,castilla-la-mancha,2025
J-13,Marzo,Circuito BTT Dip. Albacete - Tarazona de la Mancha,https://runedia.mundodeportivo.com/carrera/circuito-btt-dip-albacete-tarazona-de-la-mancha-2025/20252015988/,"Albacete, Tarazona de la Mancha",Btt,40000 m,castilla-la-mancha,2025
D-16,Marzo,Lupiana Trail - Corto,https://runedia.mundodeportivo.com/carrera/lupiana-trail-corto-2025/20252026572/,"Guadalajara, Lupiana",Montaña,11700 m,castilla-la-mancha,2025
