dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-14,Febrero,6ª Legua Villa de Macotera,https://runedia.mundodeportivo.com/carrera/6-legua-villa-de-macotera-2021/202111140/,"Salamanca, Macotera",Tierra,5825 m,castilla-y-leon,2021
S-20,Febrero,Duatlón Villa de Lumbrales,https://runedia.mundodeportivo.com/carrera/duatlon-villa-de-lumbrales-2021/202111383/,"Salamanca, Lumbrales",Duatlón,27500 m,castilla-y-leon,2021
S-20,Febrero,Marcha Urbana de Vitigudino,https://runedia.mundodeportivo.com/carrera/marcha-urbana-de-vitigudino-2021/202111392/,"Salamanca, Vitigudino",Caminata,5000 m,castilla-y-leon,2021
S-20,Febrero,Corre por una causa Leon - 5k (20 y 21 febrero),https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-leon-5k-20-y-21-febrero-2021/202111088/,"León, León",,5000 m,castilla-y-leon,2021
S-20,Febrero,Corre por una causa - 350m,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-350m-2021/202111687/,"Valladolid, Valladolid - Arroyo de la Encomienda",Asfalto,350 m,castilla-y-leon,2021
S-20,Febrero,Carrera solidaria Entreculturas - Corre por una Causa - Valladolid,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-entreculturas-corre-por-una-causa-valladolid-2021/202111670/,"Valladolid, Valladolid (Arroyo de la Encomienda)",Asfalto,10000 m,castilla-y-leon,2021
S-20,Febrero,Corre por una causa - 5km,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-5km-2021/202111689/,"Valladolid, Valladolid - Arroyo de la Encomienda",Asfalto,5000 m,castilla-y-leon,2021
S-20,Febrero,Cross Popular San Blas Fresno el Viejo,https://runedia.mundodeportivo.com/carrera/cross-popular-san-blas-fresno-el-viejo-2021/202111372/,"Valladolid, Fresno el Viejo",Cross,6200 m,castilla-y-leon,2021
S-20,Febrero,Corre por una Causa - León 10k - (20 y 21 febrer) Carrera solidaria Entreculturas,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-leon-10k-20-y-21-febrer-carrera-solidaria-entreculturas-2021/202111087/,"León, León",,10000 m,castilla-y-leon,2021
S-20,Febrero,Corre por una causa - 5 KM MARCHA,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-5-km-marcha-2021/202111688/,"Valladolid, Valladolid - Arroyo de la Encomienda",Caminata,5000 m,castilla-y-leon,2021
S-20,Febrero,Corre por una causa - 1km,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-1km-2021/202111686/,"Valladolid, Valladolid - Arroyo de la Encomienda",Asfalto,1000 m,castilla-y-leon,2021
,Febrero,Carrera Urbana de Vitigudino,https://runedia.mundodeportivo.com/carrera/carrera-urbana-de-vitigudino-2021/202111360/,"Salamanca, Vitigudino",Asfalto,9400 m,castilla-y-leon,2021
S-20,Febrero,La Cistérniga - Carrera popular nocturna,https://runedia.mundodeportivo.com/carrera/la-cisterniga-carrera-popular-nocturna-2021/202111389/,"Valladolid, Cistérniga",Asfalto,6200 m,castilla-y-leon,2021
D-21,Febrero,5 Millas Aldearrodrigo,https://runedia.mundodeportivo.com/carrera/5-millas-aldearrodrigo-2021/202111413/,"Salamanca, Adearrodrigo",Asfalto,8000 m,castilla-y-leon,2021
D-21,Febrero,Leguas por Zamora - San Martín de Tábara,https://runedia.mundodeportivo.com/carrera/leguas-por-zamora-san-martin-de-tabara-2021/202111493/,"Zamora, San Martín de Tábara",Asfalto,5572 m,castilla-y-leon,2021
D-21,Febrero,Cross de invierno Ciudad de Astorga,https://runedia.mundodeportivo.com/carrera/cross-de-invierno-ciudad-de-astorga-2021/202111460/,"León, Astorga",Cross,6000 m,castilla-y-leon,2021
D-21,Febrero,Cross Parquesol,https://runedia.mundodeportivo.com/carrera/cross-parquesol-2021/202111462/,"Valladolid, Valladolid",Cross,6000 m,castilla-y-leon,2021
D-21,Febrero,Canicross de Cabrerizos,https://runedia.mundodeportivo.com/carrera/canicross-de-cabrerizos-2021/202111432/,"Salamanca, Cabrerizos",Canicross,7370 m,castilla-y-leon,2021
D-21,Febrero,Marea Amarilla,https://runedia.mundodeportivo.com/carrera/marea-amarilla-2021/202111504/,"Salamanca, Salamanca",Asfalto,7500 m,castilla-y-leon,2021
D-21,Febrero,Runners vs. Bikers - Runners,https://runedia.mundodeportivo.com/carrera/runners-vs-bikers-runners-2021/202111523/,"León, León",Montaña,10000 m,castilla-y-leon,2021
D-21,Febrero,Canicross Villa de Covarrubias,https://runedia.mundodeportivo.com/carrera/canicross-villa-de-covarrubias-2021/202111434/,"Burgos, Covarrubias",Canicross,5600 m,castilla-y-leon,2021
D-21,Febrero,Carrera Solidaria Caixa Bank - Ciudad De Palencia 5km,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-caixa-bank-ciudad-de-palencia-5km-2021/202111447/,"Palencia, Palencia",Asfalto,5000 m,castilla-y-leon,2021
