dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
V-4,Abril,Widowmaker 6 and 9 mile trail run,https://runedia.mundodeportivo.com/carrera/widowmaker-6-and-9-mile-trail-run-2025/20252019590/,Grand Junction,Otros,10000 m,catalunya,2014
V-4,Abril,Green Race UMH,https://runedia.mundodeportivo.com/carrera/green-race-umh-2025/20252019119/,"Alacant, Elche",Asfalto,5000 m,catalunya,2014
S-5,Abril,Rose of the Shires Ultra,https://runedia.mundodeportivo.com/carrera/rose-of-the-shires-ultra-2025/202510182/,500,Tierra,86400 m,catalunya,2014
S-5,Abril,Backyard Ultra Guissona,https://runedia.mundodeportivo.com/carrera/backyard-ultra-guissona-2025/202510227/,"Lleida, Guisona",Tierra,6700 m,catalunya,2014
S-5,Abril,Triatlón Sierra nevada - Sprint,https://runedia.mundodeportivo.com/carrera/triatlon-sierra-nevada-sprint-2025/20252034450/,"Granada, Sierra Nevada",Triatlón,28000 m,catalunya,2014
S-5,Abril,Botamarges,https://runedia.mundodeportivo.com/carrera/botamarges-2025/2025201801/,"Alacant, Forna",Montaña,64000 m,catalunya,2014
S-5,Abril,Carrera de la Mujer de Barbastro,https://runedia.mundodeportivo.com/carrera/carrera-de-la-mujer-de-barbastro-2025/20252019591/,"Huesca, Barbastro",Asfalto,4000 m,catalunya,2014
S-5,Abril,XXXI Duathlon Cross Villa de Alpedrete,https://runedia.mundodeportivo.com/carrera/xxxi-duathlon-cross-villa-de-alpedrete-2025/202510196/,"Madrid, Alpedrete",Duatlón,15000 m,catalunya,2014
S-5,Abril,Desafío El Calar del Río Mundo - 65k,https://runedia.mundodeportivo.com/carrera/desafio-el-calar-del-rio-mundo-65k-2025/20252020326/,"Albacete, Riopar",Montaña,65000 m,catalunya,2014
S-5,Abril,Maratón del Montsec,https://runedia.mundodeportivo.com/carrera/maraton-del-montsec-2025/20252044001/,"Lleida, Áger",Montaña,48000 m,catalunya,2014
S-5,Abril,Desafío El Calar del Rio Mundo - 45K,https://runedia.mundodeportivo.com/carrera/desafio-el-calar-del-rio-mundo-45k-2025/20252020325/,"Albacete, Riopar",Montaña,45000 m,catalunya,2014
S-5,Abril,Lentejogging Reet 3-6-9-12km,https://runedia.mundodeportivo.com/carrera/lentejogging-reet-3-6-9-12km-2025/202510180/,310,Asfalto,12000 m,catalunya,2014
S-5,Abril,Desafío El Calar del Rio Mundo - 15K,https://runedia.mundodeportivo.com/carrera/desafio-el-calar-del-rio-mundo-15k-2025/20252020323/,"Albacete, Riopar",Travesía,15000 m,catalunya,2014
S-5,Abril,Desafío El Calar del Río Mundo - 105K,https://runedia.mundodeportivo.com/carrera/desafio-el-calar-del-rio-mundo-105k-2025/20252020322/,"Albacete, Riopar",Montaña,105000 m,catalunya,2014
S-5,Abril,MUT montsec ultra trail,https://runedia.mundodeportivo.com/carrera/mut-montsec-ultra-trail-2025/20252042583/,"Lleida, Guardia de Noguer / Ager",Montaña,96000 m,catalunya,2014
S-5,Abril,XIV ALMOGÀVER MUNTANYES DE PRADES,https://runedia.mundodeportivo.com/carrera/xiv-almogaver-muntanyes-de-prades-2025/2025200196/,"Tarragona, Vilaplana",Caminata,55000 m,catalunya,2014
S-5,Abril,Ultra Montseny 34k (Montseny-Viladrau),https://runedia.mundodeportivo.com/carrera/ultra-montseny-34k-montseny-viladrau-2025/202510117/,"Barcelona, Montseny-Viladrau",Montaña,34000 m,catalunya,2014
S-5,Abril,Ultra Montseny,https://runedia.mundodeportivo.com/carrera/ultra-montseny-2025/202510116/,"Barcelona, Viladrau",Montaña,70000 m,catalunya,2014
S-5,Abril,Desafío El Calar del Río Mundo - 25k,https://runedia.mundodeportivo.com/carrera/desafio-el-calar-del-rio-mundo-25k-2025/20252020324/,"Albacete, Riopar",Montaña,25000 m,catalunya,2014
D-6,Abril,JSRC NYC Marathon Bus Trip,https://runedia.mundodeportivo.com/carrera/jsrc-nyc-marathon-bus-trip-2025/20252019733/,Red Bank,Asfalto,10000 m,catalunya,2014
D-6,Abril,Spring Fling April Member Reception Run,https://runedia.mundodeportivo.com/carrera/spring-fling-april-member-reception-run-2025/20252018709/,Kalamazoo,Asfalto,5000 m,catalunya,2014
D-6,Abril,Envision Realty Georgetown 10 Miler,https://runedia.mundodeportivo.com/carrera/envision-realty-georgetown-10-miler-2025/20252018455/,Washington,Montaña,16090 m,catalunya,2014
D-6,Abril,Enfer de la Boulette  / 27km et 12 km,https://runedia.mundodeportivo.com/carrera/enfer-de-la-boulette-27km-et-12-km-2025/20252018454/,"Ardennes, Rouvroy Sur Audry",Montaña,27000 m,catalunya,2014
D-6,Abril,St Dimpnajogging,https://runedia.mundodeportivo.com/carrera/st-dimpnajogging-2025/20252018710/,Geel,Asfalto,10000 m,catalunya,2014
D-6,Abril,JSRC NYC Marathon Bus Trip,https://runedia.mundodeportivo.com/carrera/jsrc-nyc-marathon-bus-trip-2025/20252019734/,Red Bank,Asfalto,10000 m,catalunya,2014
D-6,Abril,Johns Creek´s Finest 5k,https://runedia.mundodeportivo.com/carrera/johns-creeks-finest-5k-2025/20252019732/,Johns Creek,Asfalto,5000 m,catalunya,2014
D-6,Abril,Emanual Cancer 5k,https://runedia.mundodeportivo.com/carrera/emanual-cancer-5k-2025/20252018453/,Woodbury,Asfalto,5000 m,catalunya,2014
D-6,Abril,SPRING DEVENS 5K,https://runedia.mundodeportivo.com/carrera/spring-devens-5k-2025/20252018707/,DEVENS,Asfalto,5000 m,catalunya,2014
D-6,Abril,Spring Fever,https://runedia.mundodeportivo.com/carrera/spring-fever-2025/20252018708/,Altoona,Asfalto,10000 m,catalunya,2014
D-6,Abril,East Carolina University Army ROTC Patriot Mud Run,https://runedia.mundodeportivo.com/carrera/east-carolina-university-army-rotc-patriot-mud-run-2025/20252018452/,Greenville,Asfalto,5000 m,catalunya,2014
D-6,Abril,Jogging du Patro Don Bosco,https://runedia.mundodeportivo.com/carrera/jogging-du-patro-don-bosco-2025/20252019731/,Soignies,Asfalto,10000 m,catalunya,2014
D-6,Abril,Dwars door Vlaanderen - A travers la Flandre,https://runedia.mundodeportivo.com/carrera/dwars-door-vlaanderen-a-travers-la-flandre-2025/20252018451/,Bèlgica,Bici Carretera,183500 m,catalunya,2014
D-6,Abril,Spring Backyard Burn Trail Running Series (Race #1),https://runedia.mundodeportivo.com/carrera/spring-backyard-burn-trail-running-series-race-1-2025/20252018706/,Annandale,Montaña,10000 m,catalunya,2014
D-6,Abril,Jeff Shikles Memorial 8K,https://runedia.mundodeportivo.com/carrera/jeff-shikles-memorial-8k-2025/20252019729/,Columbia,Asfalto,8000 m,catalunya,2014
D-6,Abril,Spirit of White Bear Lake 5K 5 Mile,https://runedia.mundodeportivo.com/carrera/spirit-of-white-bear-lake-5k-5-mile-2025/20252018705/,White Bear Lake,Asfalto,8046 m,catalunya,2014
D-6,Abril,JTC Running Track Series,https://runedia.mundodeportivo.com/carrera/jtc-running-track-series-2025/20252019735/,Jacksonville,Asfalto,10000 m,catalunya,2014
D-6,Abril,St. Mary of the Knobs 3 Steeples Ride,https://runedia.mundodeportivo.com/carrera/st-mary-of-the-knobs-3-steeples-ride-2025/20252018711/,Floyds Knobs,Bici Carretera,80467 m,catalunya,2014
D-6,Abril,Kal-Haven Trail Relay and Solo Ultra,https://runedia.mundodeportivo.com/carrera/kal-haven-trail-relay-and-solo-ultra-2025/20252019738/,Kalamazoo,Montaña,100000 m,catalunya,2014
D-6,Abril,European Continenal Championships - DHI,https://runedia.mundodeportivo.com/carrera/european-continenal-championships-dhi-2025/20252018456/,PORTUGAL,Btt,100000 m,catalunya,2014
D-6,Abril,Stanwick 10k - Stanwick Children´s Fun Run,https://runedia.mundodeportivo.com/carrera/stanwick-10k-stanwick-childrens-fun-run-2025/20252018715/,GB,Asfalto,2000 m,catalunya,2014
