dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-2,Marzo,"Carrera Civico-Militar ""Cuna de la Legión"" - Ruta MTB",https://runedia.mundodeportivo.com/carrera/carrera-civico-militar-cuna-de-la-legion-ruta-mtb-2025/20252015216/,"Ceuta, Ceuta",Btt,55000 m,ceuta,2021
D-2,Marzo,"Carrera Civico-Militar ""Cuna de la Legión"" - 20K",https://runedia.mundodeportivo.com/carrera/carrera-civico-militar-cuna-de-la-legion-20k-2025/20252015214/,"Ceuta, Ceuta",Asfalto,20000 m,ceuta,2021
L-24,Marzo,Duatlón Perla del Mediterraneo,https://runedia.mundodeportivo.com/carrera/duatlon-perla-del-mediterraneo-2025/20252022372/,"Ceuta, Ceuta",Duatlón,27000 m,ceuta,2021
D-27,Abril,Vuelta andando a Ceuta - 20km,https://runedia.mundodeportivo.com/carrera/vuelta-andando-a-ceuta-20km-2025/20252022176/,"Ceuta, Ceuta",Asfalto,20000 m,ceuta,2021
D-27,Abril,Vuelta andando a Ceuta - 12km,https://runedia.mundodeportivo.com/carrera/vuelta-andando-a-ceuta-12km-2025/20252022175/,"Ceuta, Ceuta",Asfalto,12000 m,ceuta,2021
D-27,Abril,Vuelta andando a Ceuta - 36km,https://runedia.mundodeportivo.com/carrera/vuelta-andando-a-ceuta-36km-2025/20252022177/,"Ceuta, Ceuta",Asfalto,36000 m,ceuta,2021
D-18,Mayo,Desafio de los 300 Binomios,https://runedia.mundodeportivo.com/carrera/desafio-de-los-300-binomios-2025/20252025718/,"Ceuta, Ceuta",Obstáculos,12000 m,ceuta,2021
X-21,Mayo,Milla Urbana Ciudad de Ceuta,https://runedia.mundodeportivo.com/carrera/milla-urbana-ciudad-de-ceuta-2025/20252021872/,"Ceuta, Ceuta",Asfalto,1609 m,ceuta,2021
D-8,Junio,CxM Nocturna AG Montes de Ceuta,https://runedia.mundodeportivo.com/carrera/cxm-nocturna-ag-montes-de-ceuta-2025/20252029016/,"Ceuta, Ceuta",Montaña,20000 m,ceuta,2021
D-13,Julio,Vuelta al Hacho a Nado Ceuta,https://runedia.mundodeportivo.com/carrera/vuelta-al-hacho-a-nado-ceuta-2025/20252032170/,"Ceuta, Ceuta",Natación,10000 m,ceuta,2021
L-22,Septiembre,Trail La Fortaleza Ciudad de Ceuta,https://runedia.mundodeportivo.com/carrera/trail-la-fortaleza-ciudad-de-ceuta-2025/20252042421/,"Ceuta, Ceuta",Montaña,14000 m,ceuta,2021
L-6,Octubre,Triatlón Sprint Ceuta,https://runedia.mundodeportivo.com/carrera/triatlon-sprint-ceuta-2025/20252044818/,"Ceuta, Ceuta",Triatlón,26000 m,ceuta,2021
,Octubre,Integral Sierra Bullones - Trail,https://runedia.mundodeportivo.com/carrera/integral-sierra-bullones-trail-2025/20252046003/,"Ceuta, Ceuta",Montaña,32000 m,ceuta,2021
,Octubre,Integral Sierra Bullones - Mini Trail,https://runedia.mundodeportivo.com/carrera/integral-sierra-bullones-mini-trail-2025/20252046002/,"Ceuta, Ceuta",Montaña,16000 m,ceuta,2021
L-10,Noviembre,Duatlón Cros Sprint Ceuta,https://runedia.mundodeportivo.com/carrera/duatlon-cros-sprint-ceuta-2025/20252045960/,"Ceuta, Ceuta",Duatlón,18000 m,ceuta,2021
L-10,Noviembre,NORDIC WALKING ANYERA,https://runedia.mundodeportivo.com/carrera/nordic-walking-anyera-2025/20252047955/,"Ceuta, Ceuta",Montaña,15400 m,ceuta,2021
L-17,Noviembre,Media maratón Ciudad de Ceuta,https://runedia.mundodeportivo.com/carrera/media-maraton-ciudad-de-ceuta-2025/20252047942/,"Ceuta, Ceuta",Asfalto,21097 m,ceuta,2021
