dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-13,Abril,Trail Enkarterri Extrem Trails,https://runedia.mundodeportivo.com/carrera/trail-enkarterri-extrem-trails-2025/20252020656/,"Vizcaya, Zaramillo",Montaña,21000 m,euskadi,2025
D-13,Abril,Vitoria-Gasteiz - Estibaliz - Estíbaliz Igoera,https://runedia.mundodeportivo.com/carrera/vitoria-gasteiz-estibaliz-estibaliz-igoera-2025/202510052/,"Araba, Vitoria-Gasteiz",Asfalto,15100 m,euskadi,2025
L-14,Abril,BTT Lasarte Oria,https://runedia.mundodeportivo.com/carrera/btt-lasarte-oria-2025/20252018909/,"Guipuzkoa, Lasarte",Btt,25000 m,euskadi,2025
L-14,Abril,Carrera de la mujer de Vitoria,https://runedia.mundodeportivo.com/carrera/carrera-de-la-mujer-de-vitoria-2025/2025201887/,"Araba, Vitoria-Gasteiz",Asfalto,6000 m,euskadi,2025
M-15,Abril,Prueba Urbana Iurreta - 10 K,https://runedia.mundodeportivo.com/carrera/prueba-urbana-iurreta-10-k-2025/20252010089/,"Vizcaya, Iurreta",Asfalto,10000 m,euskadi,2025
D-20,Abril,Leharrei Mendi Lasterka,https://runedia.mundodeportivo.com/carrera/leharrei-mendi-lasterka-2025/20252017840/,"Guipuzkoa, Gabiria",Asfalto,24000 m,euskadi,2025
D-20,Abril,Lazkaoko Bikoteen Kross,https://runedia.mundodeportivo.com/carrera/lazkaoko-bikoteen-kross-2025/20252021408/,"Guipuzkoa, Lazkao",Cross,5500 m,euskadi,2025
D-20,Abril,Gau Trail Arratzu,https://runedia.mundodeportivo.com/carrera/gau-trail-arratzu-2025/20252021350/,"Vizcaya, Arratzu",Montaña,15000 m,euskadi,2025
D-20,Abril,Egiako Sudur Krossa - Gladys Enea,https://runedia.mundodeportivo.com/carrera/egiako-sudur-krossa-gladys-enea-2025/20252021333/,"Guipuzkoa, San Sebastián",Cross,6000 m,euskadi,2025
D-20,Abril,Brevet Randonneur 300K Sociedad Ciclista Bilbaína,https://runedia.mundodeportivo.com/carrera/brevet-randonneur-300k-sociedad-ciclista-bilbaina-2025/20252021251/,"Vizcaya, Bilbao",Bici Carretera,300000 m,euskadi,2025
L-21,Abril,Bilbao MendiTrail 23k,https://runedia.mundodeportivo.com/carrera/bilbao-menditrail-23k-2025/20252021637/,"Vizcaya, Bilbao",Montaña,23000 m,euskadi,2025
L-21,Abril,Klasika Primavera de Amorebieta,https://runedia.mundodeportivo.com/carrera/klasika-primavera-de-amorebieta-2025/20252021799/,"Vizcaya, Amorebieta",Bici Carretera,100000 m,euskadi,2025
L-21,Abril,Bilbao MendiTrail - 21k,https://runedia.mundodeportivo.com/carrera/bilbao-menditrail-21k-2025/20252021635/,"Vizcaya, Bilbao",Montaña,21000 m,euskadi,2025
L-21,Abril,Desafió de Guerreros Getxo,https://runedia.mundodeportivo.com/carrera/desafio-de-guerreros-getxo-2025/20252021724/,"Vizcaya, Getxo",Obstáculos,6000 m,euskadi,2025
