dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-26,Abril,Maratona Ciclocube BTT De Elvas - Media Maratón,https://runedia.mundodeportivo.com/carrera/maratona-ciclocube-btt-de-elvas-media-maraton-2020/202022549/,"Badajoz, Elvas",Btt,45000 m,extremadura,2020
D-26,Abril,Trail Solidario Villanueva del Fresno 25 k,https://runedia.mundodeportivo.com/carrera/trail-solidario-villanueva-del-fresno-25-k-2020/202022699/,"Badajoz, Villanueva del Fresno",Tierra,25000 m,extremadura,2020
,Abril,Desafio San Fernando - UltraIbérica Marchadores - Individual (85K),https://runedia.mundodeportivo.com/carrera/desafio-san-fernando-ultraiberica-marchadores-individual-85k-2020/202019041/,"Badajoz, Bótoa",Cross,85000 m,extremadura,2020
,Abril,Desafio San Fernando- UltraIbérica Btt,https://runedia.mundodeportivo.com/carrera/desafio-san-fernando-ultraiberica-btt-2020/202021612/,"Badajoz, Bótoa",Btt,85000 m,extremadura,2020
,Abril,Desafío San Fernando cross 21k,https://runedia.mundodeportivo.com/carrera/desafio-san-fernando-cross-21k-2020/202019043/,"Badajoz, Badajoz",Cross,21000 m,extremadura,2020
,Abril,Carrera por Montaña de Valencia del Ventoso 19k,https://runedia.mundodeportivo.com/carrera/carrera-por-montana-de-valencia-del-ventoso-19k-2020/202020397/,"Badajoz, Valencia del Ventoso",Montaña,19000 m,extremadura,2020
,Abril,"Carrera por montaña Deportes Parra Hervás - Corto 10,5 km",https://runedia.mundodeportivo.com/carrera/carrera-por-montana-deportes-parra-hervas-corto-105-km-2020/202022384/,"Cáceres, Hervás",Montaña,10500 m,extremadura,2020
J-30,Abril,Carrera contra el Cáncer Herrera del Duque,https://runedia.mundodeportivo.com/carrera/carrera-contra-el-cancer-herrera-del-duque-2020/202022751/,"Badajoz, Herrera del Duque",Asfalto,6000 m,extremadura,2020
V-1,Mayo,Carrera popular Jerez de los Caballeros,https://runedia.mundodeportivo.com/carrera/carrera-popular-jerez-de-los-caballeros-2020/202032327/,"Badajoz, Jerez de los Caballeros",Asfalto,7700 m,extremadura,2020
S-2,Mayo,"FindBike Olivenza ""Desafío Alqueva""",https://runedia.mundodeportivo.com/carrera/findbike-olivenza-desafio-alqueva-2020/202032619/,"Badajoz, Olivenza",Btt,85000 m,extremadura,2020
S-2,Mayo,"FindBike Olivenza ""Desafío Alqueva"" - Media",https://runedia.mundodeportivo.com/carrera/findbike-olivenza-desafio-alqueva-media-2020/202032621/,"Badajoz, Olivenza",Btt,65000 m,extremadura,2020
S-2,Mayo,Carrera Subida al Castillo de Burguillos del Cerro,https://runedia.mundodeportivo.com/carrera/carrera-subida-al-castillo-de-burguillos-del-cerro-2020/202032569/,"Badajoz, Burguillos del Cerro",Asfalto,2000 m,extremadura,2020
S-2,Mayo,"FindBike Olivenza ""Desafío Alqueva"" - Corta",https://runedia.mundodeportivo.com/carrera/findbike-olivenza-desafio-alqueva-corta-2020/202032620/,"Badajoz, Olivenza",Btt,43000 m,extremadura,2020
D-3,Mayo,Ruta de los Molinos,https://runedia.mundodeportivo.com/carrera/ruta-de-los-molinos-2020/202033519/,"Cáceres, Montánchez",Caminata,15000 m,extremadura,2020
D-3,Mayo,Cross de San Isidro,https://runedia.mundodeportivo.com/carrera/cross-de-san-isidro-2020/202033128/,"Badajoz, Puebla de la Calzada",Cross,10550 m,extremadura,2020
D-3,Mayo,Trail Sierra de Gata As Eljas,https://runedia.mundodeportivo.com/carrera/trail-sierra-de-gata-as-eljas-2020/202033645/,"Cáceres, Eljas",Montaña,35000 m,extremadura,2020
D-3,Mayo,Cross Lagarteiru Sierra de Gata As Eljas,https://runedia.mundodeportivo.com/carrera/cross-lagarteiru-sierra-de-gata-as-eljas-2020/202033130/,"Cáceres, Eljas",Montaña,15000 m,extremadura,2020
D-3,Mayo,Media Maratón San Isidro,https://runedia.mundodeportivo.com/carrera/media-maraton-san-isidro-2020/202033432/,"Badajoz, Puebla de la Calzada",Asfalto,21097 m,extremadura,2020
S-9,Mayo,5K Ciudad de Don Benito,https://runedia.mundodeportivo.com/carrera/5k-ciudad-de-don-benito-2020/202033862/,"Badajoz, Don Benito",Asfalto,5000 m,extremadura,2020
S-9,Mayo,10K Ciudad de Don Benito,https://runedia.mundodeportivo.com/carrera/10k-ciudad-de-don-benito-2020/202033848/,"Badajoz, Don Benito",Asfalto,10000 m,extremadura,2020
