dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-7,Marzo,4K Do Lerez,https://runedia.mundodeportivo.com/carrera/4k-do-lerez-2021/202111635/,"Pontevedra, Lerez",Asfalto,4000 m,galicia,2021
D-7,Marzo,Trail de Bealo,https://runedia.mundodeportivo.com/carrera/trail-de-bealo-2021/202112193/,"A Coruña, Boiro",Montaña,14000 m,galicia,2021
D-7,Marzo,Ruta Btt Terras de Wolfram - Santa Comba Bike,https://runedia.mundodeportivo.com/carrera/ruta-btt-terras-de-wolfram-santa-comba-bike-2021/202111794/,"A Coruña, Santa Comba",Btt,45000 m,galicia,2021
D-7,Marzo,Trail e andaina polas cabeceiras do Anllóns - Trail 30k,https://runedia.mundodeportivo.com/carrera/trail-e-andaina-polas-cabeceiras-do-anllons-trail-30k-2021/202112196/,"A Coruña, Concello de Laracha",Duatlón,30000 m,galicia,2021
D-7,Marzo,Carrera Popular de Teis 10K,https://runedia.mundodeportivo.com/carrera/carrera-popular-de-teis-10k-2021/202111663/,"Pontevedra, Vigo",Asfalto,10000 m,galicia,2021
D-7,Marzo,Popular Concello de Camariñas - 10k,https://runedia.mundodeportivo.com/carrera/popular-concello-de-camarinas-10k-2021/202112165/,"A Coruña, Camariñas",Asfalto,10000 m,galicia,2021
D-7,Marzo,Cross de San Cidre SUBIDA A SAN CIDRE XACODESAFÍO,https://runedia.mundodeportivo.com/carrera/cross-de-san-cidre-subida-a-san-cidre-xacodesafio-2021/202111697/,"A Coruña, Toques",Cross,13000 m,galicia,2021
D-7,Marzo,Ruta Btt Concello de Dumbria - corta 35k,https://runedia.mundodeportivo.com/carrera/ruta-btt-concello-de-dumbria-corta-35k-2021/202111791/,"A Coruña, Dumbria",Btt,35000 m,galicia,2021
X-10,Marzo,Camino de Santiago Running Edition,https://runedia.mundodeportivo.com/carrera/camino-de-santiago-running-edition-2021/202154152/,"A Coruña, Sarria",Tierra,100000 m,galicia,2021
S-13,Marzo,Brevet Randonneur 300k C.C. Riazor,https://runedia.mundodeportivo.com/carrera/brevet-randonneur-300k-cc-riazor-2021/202112222/,"A Coruña, A Coruña",Bici Carretera,300000 m,galicia,2021
