dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-20,Octubre,III Fiesta de la Bicicleta - Recorrido corto,https://runedia.mundodeportivo.com/carrera/iii-fiesta-de-la-bicicleta-recorrido-corto-2013/201317269/,"La Rioja, Nájera",Btt,31500 m,la-rioja,2010
D-20,Octubre,III Fiesta de la Bicicleta - Recorrido largo,https://runedia.mundodeportivo.com/carrera/iii-fiesta-de-la-bicicleta-recorrido-largo-2013/201317268/,"La Rioja, Nájera",Btt,60000 m,la-rioja,2010
S-26,Octubre,"Diez mil de la vendimia - Haro, Capital del Rioja",https://runedia.mundodeportivo.com/carrera/diez-mil-de-la-vendimia-haro-capital-del-rioja-2013/201313320/,"La Rioja, Haro",Asfalto,10000 m,la-rioja,2010
S-26,Octubre,VIII Duatlón Cros Valle del Oja,https://runedia.mundodeportivo.com/carrera/viii-duatlon-cros-valle-del-oja-2013/201317162/,"La Rioja, Santo Domingo de la Calzada",Duatlón,6000 m,la-rioja,2010
S-26,Octubre,Enduro Vs Dowhill,https://runedia.mundodeportivo.com/carrera/enduro-vs-dowhill-2013/201317276/,"La Rioja, Sojuela",Btt,6000 m,la-rioja,2010
D-27,Octubre,Carrera Entre Viñedos,https://runedia.mundodeportivo.com/carrera/carrera-entre-vinedos-2013/20133260/,"La Rioja, Cenicero",Tierra,11000 m,la-rioja,2010
D-3,Noviembre,Carrera Popular Villa de Autol,https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-autol-2013/201317193/,"La Rioja, Autol",Asfalto,8000 m,la-rioja,2010
D-10,Noviembre,XXIV Travesía el Mantible,https://runedia.mundodeportivo.com/carrera/xxiv-travesia-el-mantible-2013/201317384/,"La Rioja, Logroño",Btt,40000 m,la-rioja,2010
V-15,Noviembre,I Coloma Bike Club Festival,https://runedia.mundodeportivo.com/carrera/i-coloma-bike-club-festival-2013/201317531/,"La Rioja, Albelda de Iregua",Btt,40000 m,la-rioja,2010
D-24,Noviembre,14ª Carrera Liga Norte 2013 Lumbreras,https://runedia.mundodeportivo.com/carrera/14-carrera-liga-norte-2013-lumbreras-2013/201316108/,"La Rioja, Lumbreras",Orientación,1000 m,la-rioja,2010
D-1,Diciembre,I Carrera Popular de Igea,https://runedia.mundodeportivo.com/carrera/i-carrera-popular-de-igea-2013/201317206/,"La Rioja, Igea",Asfalto,10700 m,la-rioja,2010
M-31,Diciembre,San Silvestre de Lardero,https://runedia.mundodeportivo.com/carrera/san-silvestre-de-lardero-2013/20133261/,"La Rioja, Lardero",Asfalto,4000 m,la-rioja,2010
S-4,Enero,"Canicross ""Parque del Cidacos"" Arnedo",https://runedia.mundodeportivo.com/carrera/canicross-parque-del-cidacos-arnedo-2014/201417143/,"La Rioja, Arnedo",Canicross,6100 m,la-rioja,2010
