dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-17,Febrero,Carrera Popular Serranillos del Valle,https://runedia.mundodeportivo.com/carrera/carrera-popular-serranillos-del-valle-2019/201912607/,"Madrid, Serranillos del Valle",Asfalto,5500 m,madrid,2019
D-17,Febrero,Diablues Trail Los Santos - larga,https://runedia.mundodeportivo.com/carrera/diablues-trail-los-santos-larga-2019/201912235/,"Madrid, Los Santos de La Humosa",Montaña,15000 m,madrid,2019
D-17,Febrero,Circuito 4 Desafíos - Valdemorillo (corto),https://runedia.mundodeportivo.com/carrera/circuito-4-desafios-valdemorillo-corto-2019/201912174/,"Madrid, Valdemorillo",Montaña,9000 m,madrid,2019
D-17,Febrero,Ruta de las Dehesas Ghost Challenge - larga,https://runedia.mundodeportivo.com/carrera/ruta-de-las-dehesas-ghost-challenge-larga-2019/201912349/,"Madrid, Colmenar del Arroyo",Btt,71000 m,madrid,2019
D-17,Febrero,Copa de España de Mushing Villamanta - Bikejoring,https://runedia.mundodeportivo.com/carrera/copa-de-espana-de-mushing-villamanta-bikejoring-2019/201912179/,"Madrid, Villamanta",Otros,5900 m,madrid,2019
,Febrero,Cross ECS Cárcavas,https://runedia.mundodeportivo.com/carrera/cross-ecs-carcavas-2019/201912213/,"Madrid, Madrid",Cross,7300 m,madrid,2019
S-23,Febrero,Carrera y Marcha Solidaria Almenar,https://runedia.mundodeportivo.com/carrera/carrera-y-marcha-solidaria-almenar-2019/201912487/,"Madrid, Toledo",Asfalto,6000 m,madrid,2019
D-24,Febrero,Cross Unión Atlética Coslada,https://runedia.mundodeportivo.com/carrera/cross-union-atletica-coslada-2019/201912810/,"Madrid, Coslada",Cross,6700 m,madrid,2019
D-24,Febrero,Circuito promoción Super Cup MTB UVES Bikes XCO Aldea del Fresno,https://runedia.mundodeportivo.com/carrera/circuito-promocion-super-cup-mtb-uves-bikes-xco-aldea-del-fresno-2019/201953551/,"Madrid, Aldea del Fresno",Btt,15000 m,madrid,2019
D-24,Febrero,En Madrid se corre por la Vida 5km,https://runedia.mundodeportivo.com/carrera/en-madrid-se-corre-por-la-vida-5km-2019/201942342/,"Madrid, Madrid",Asfalto,5000 m,madrid,2019
D-24,Febrero,Tactika Trail Torrelaguna - Larga,https://runedia.mundodeportivo.com/carrera/tactika-trail-torrelaguna-larga-2019/201911519/,"Madrid, Torrelaguna",Montaña,25270 m,madrid,2019
D-24,Febrero,Corre por Siria - 10km,https://runedia.mundodeportivo.com/carrera/corre-por-siria-10km-2019/201912188/,"Madrid, Madrid",Asfalto,10000 m,madrid,2019
D-24,Febrero,Rally BTT Galapagar,https://runedia.mundodeportivo.com/carrera/rally-btt-galapagar-2019/201912732/,"Madrid, Galapagar",Btt,65000 m,madrid,2019
D-24,Febrero,Hard Running Valdemoro,https://runedia.mundodeportivo.com/carrera/hard-running-valdemoro-2019/201928391/,"Madrid, Valdemoro",Obstáculos,7000 m,madrid,2019
D-24,Febrero,Keltike Arroyomolinos,https://runedia.mundodeportivo.com/carrera/keltike-arroyomolinos-2019/201912682/,"Madrid, Arroyomolinos",Asfalto,10000 m,madrid,2019
D-24,Febrero,Media Maratón de Latina,https://runedia.mundodeportivo.com/carrera/media-maraton-de-latina-2019/20193286/,"Madrid, Madrid",Asfalto,21097 m,madrid,2019
D-24,Febrero,Carrera Pedestre Popular Torrelodones,https://runedia.mundodeportivo.com/carrera/carrera-pedestre-popular-torrelodones-2019/20193279/,"Madrid, Torrelodones",Asfalto,7000 m,madrid,2019
D-24,Febrero,Villare trail - Expertos,https://runedia.mundodeportivo.com/carrera/villare-trail-expertos-2019/201912792/,"Madrid, Villarejo de Salvanés",Montaña,19000 m,madrid,2019
D-24,Febrero,Circuito promoción Super Cup MTB UVES Bikes XCO Aldea del Fresno,https://runedia.mundodeportivo.com/carrera/circuito-promocion-super-cup-mtb-uves-bikes-xco-aldea-del-fresno-2019/201953501/,"Madrid, Aldea del Fresno",Btt,25000 m,madrid,2019
D-24,Febrero,Trail El Aguila 16k,https://runedia.mundodeportivo.com/carrera/trail-el-aguila-16k-2019/201953544/,"Madrid, Chapinería",Montaña,16000 m,madrid,2019
