dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-13,Octubre,Carrera contra el cancer Melilla - 6 km,https://runedia.mundodeportivo.com/carrera/carrera-contra-el-cancer-melilla-6-km-2024/202445225/,"Melilla, Melilla",Asfalto,6000 m,melilla,2017
D-24,Noviembre,Maraton de Melilla,https://runedia.mundodeportivo.com/carrera/maraton-de-melilla-2024/202448901/,"Melilla, Melilla",Asfalto,42000 m,melilla,2017
D-24,Noviembre,10k Media Maratón de Melilla,https://runedia.mundodeportivo.com/carrera/10k-media-maraton-de-melilla-2024/202448834/,"Melilla, Melilla",Asfalto,10000 m,melilla,2017
D-24,Noviembre,Media Maratón Ciudad de Melilla,https://runedia.mundodeportivo.com/carrera/media-maraton-ciudad-de-melilla-2024/202448914/,"Melilla, Melilla",Asfalto,21097 m,melilla,2017
X-2,Abril,Triatlón Ciudad de Melilla,https://runedia.mundodeportivo.com/carrera/triatlon-ciudad-de-melilla-2025/20252042002/,"Melilla, Melilla",Triatlón,25750 m,melilla,2017
D-4,Mayo,Carrera Africana de la Legión en Melilla,https://runedia.mundodeportivo.com/carrera/carrera-africana-de-la-legion-en-melilla-2025/20252022069/,"Melilla, Melilla",Asfalto,50000 m,melilla,2017
D-4,Mayo,Carrera miniafricana,https://runedia.mundodeportivo.com/carrera/carrera-miniafricana-2025/20252022449/,"Melilla, Melilla",Asfalto,2000 m,melilla,2017
D-4,Mayo,Carrera Africana de la Legión en Melilla BTT,https://runedia.mundodeportivo.com/carrera/carrera-africana-de-la-legion-en-melilla-btt-2025/20252022448/,"Melilla, Melilla",Btt,75000 m,melilla,2017
L-22,Septiembre,Trail solidario Guardia Civil 062 Melilla 10k 5k,https://runedia.mundodeportivo.com/carrera/trail-solidario-guardia-civil-062-melilla-10k-5k-2025/20252046942/,"Melilla, Melilla",Montaña,10000 m,melilla,2017
L-13,Octubre,Carrera contra el cancer Melilla - 6 km,https://runedia.mundodeportivo.com/carrera/carrera-contra-el-cancer-melilla-6-km-2025/20252045225/,"Melilla, Melilla",Asfalto,6000 m,melilla,2017
L-24,Noviembre,10k Media Maratón de Melilla,https://runedia.mundodeportivo.com/carrera/10k-media-maraton-de-melilla-2025/20252048834/,"Melilla, Melilla",Asfalto,10000 m,melilla,2017
L-24,Noviembre,Media Maratón Ciudad de Melilla,https://runedia.mundodeportivo.com/carrera/media-maraton-ciudad-de-melilla-2025/20252048914/,"Melilla, Melilla",Asfalto,21097 m,melilla,2017
L-24,Noviembre,Maraton de Melilla,https://runedia.mundodeportivo.com/carrera/maraton-de-melilla-2025/20252048901/,"Melilla, Melilla",Asfalto,42000 m,melilla,2017
