dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-8,Agosto,Carrera popular fiestas del Campillo,https://runedia.mundodeportivo.com/carrera/carrera-popular-fiestas-del-campillo-2010/20101950/,"Murcia, Lorca",Ruta,5400 m,murcia,2007
S-14,Agosto,Milla nocturna Gran Vía de Mula,https://runedia.mundodeportivo.com/carrera/milla-nocturna-gran-via-de-mula-2010/20101951/,"Murcia, Mula",Ruta,1609 m,murcia,2007
S-14,Agosto,Carrera nocturna por la vida de Bolnuevo,https://runedia.mundodeportivo.com/carrera/carrera-nocturna-por-la-vida-de-bolnuevo-2010/20101952/,"Murcia, Mazarrón",Ruta,6000 m,murcia,2007
D-15,Agosto,Cross urbano fiestas del vino de Jumilla,https://runedia.mundodeportivo.com/carrera/cross-urbano-fiestas-del-vino-de-jumilla-2010/20101953/,"Murcia, Jumilla",Ruta,10000 m,murcia,2007
S-21,Agosto,Charca grande gran premio Panzamelba,https://runedia.mundodeportivo.com/carrera/charca-grande-gran-premio-panzamelba-2010/20101969/,"Murcia, Totana",Ruta,8000 m,murcia,2007
S-21,Agosto,Carrera nocturna Alcalde de Aguilas,https://runedia.mundodeportivo.com/carrera/carrera-nocturna-alcalde-de-aguilas-2010/20101988/,"Murcia, Aguilas",Ruta,10000 m,murcia,2007
X-25,Agosto,Carrera nocturna fiestas de las torres,https://runedia.mundodeportivo.com/carrera/carrera-nocturna-fiestas-de-las-torres-2010/20101989/,"Murcia, Las Torres de Cotillas",Ruta,5660 m,murcia,2007
S-28,Agosto,Cross popular Minero Llano del Beal,https://runedia.mundodeportivo.com/carrera/cross-popular-minero-llano-del-beal-2010/20101990/,"Murcia, Llano del Beal",Cross,4200 m,murcia,2007
S-4,Septiembre,Carrera popular virgen de la luz,https://runedia.mundodeportivo.com/carrera/carrera-popular-virgen-de-la-luz-2010/20101991/,"Murcia, La Pinilla",Ruta,10000 m,murcia,2007
D-12,Septiembre,Carrera juegos deportivos del Guadalentín,https://runedia.mundodeportivo.com/carrera/carrera-juegos-deportivos-del-guadalentin-2010/20101993/,"Murcia, Lorca",Ruta,5000 m,murcia,2007
D-12,Septiembre,Carrera por Montaña el Valle,https://runedia.mundodeportivo.com/carrera/carrera-por-montana-el-valle-2010/20101992/,"Murcia, Murcia",Montaña,21430 m,murcia,2007
D-26,Septiembre,10 km Ciudad de Murcia,https://runedia.mundodeportivo.com/carrera/10-km-ciudad-de-murcia-2010/20101994/,"Murcia, Murcia",Ruta,10000 m,murcia,2007
S-2,Octubre,Maratón alpino Al-Mudayna,https://runedia.mundodeportivo.com/carrera/maraton-alpino-al-mudayna-2010/20101996/,"Murcia, La Almudema",Montaña,42195 m,murcia,2007
S-2,Octubre,Carrera popular ruta de las norias,https://runedia.mundodeportivo.com/carrera/carrera-popular-ruta-de-las-norias-2010/20103370/,"Murcia, Abarán",Cross,6350 m,murcia,2007
S-2,Octubre,Medio Maratón Alpino Al-Mudayna,https://runedia.mundodeportivo.com/carrera/medio-maraton-alpino-al-mudayna-2010/20101995/,"Murcia, La Almudema",Montaña,21097 m,murcia,2007
D-3,Octubre,Carrera Subida a La Santa,https://runedia.mundodeportivo.com/carrera/carrera-subida-a-la-santa-2010/20101997/,"Murcia, Totana",Montaña,7400 m,murcia,2007
M-12,Octubre,Carrera popular Virgen del Pilar,https://runedia.mundodeportivo.com/carrera/carrera-popular-virgen-del-pilar-2010/20103368/,"Murcia, Aguaderas",Ruta,4200 m,murcia,2007
V-15,Octubre,Carrera alcalde de la Unión,https://runedia.mundodeportivo.com/carrera/carrera-alcalde-de-la-union-2010/20103366/,"Murcia, La Unión",Ruta,5000 m,murcia,2007
V-15,Octubre,Mularaid,https://runedia.mundodeportivo.com/carrera/mularaid-2010/20103374/,"Murcia, Mula",Otros,100 m,murcia,2007
S-16,Octubre,Carrera por montaña Valle de Ricote,https://runedia.mundodeportivo.com/carrera/carrera-por-montana-valle-de-ricote-2010/20101998/,"Murcia, Ricote",Montaña,24500 m,murcia,2007
D-17,Octubre,Media maratón Alpina Alto del Canalón,https://runedia.mundodeportivo.com/carrera/media-maraton-alpina-alto-del-canalon-2010/20103372/,"Murcia, Cehegin",Montaña,21000 m,murcia,2007
D-24,Octubre,Roller masters trail Ciudad de la Unión,https://runedia.mundodeportivo.com/carrera/roller-masters-trail-ciudad-de-la-union-2010/20103373/,"Murcia, La Unión",Montaña,26000 m,murcia,2007
D-7,Noviembre,Media maratón Villa de San Javier,https://runedia.mundodeportivo.com/carrera/media-maraton-villa-de-san-javier-2010/20103375/,"Murcia, San Javier",Ruta,21097 m,murcia,2007
S-13,Noviembre,Subida al castillo,https://runedia.mundodeportivo.com/carrera/subida-al-castillo-2010/20103376/,"Murcia, Lorca",Ruta,4500 m,murcia,2007
S-13,Noviembre,Carrera ponle freno Murcia,https://runedia.mundodeportivo.com/carrera/carrera-ponle-freno-murcia-2010/20103371/,"Murcia, Murcia",Ruta,10000 m,murcia,2007
D-21,Noviembre,Cross de la artillería,https://runedia.mundodeportivo.com/carrera/cross-de-la-artilleria-2010/20103378/,"Murcia, Cartagena",Ruta,5000 m,murcia,2007
D-21,Noviembre,"""Carrera popular 14,4 km - Murcia""",https://runedia.mundodeportivo.com/carrera/carrera-popular-144-km-murcia-2010/20103377/,"Murcia, MURCIA",Ruta,14400 m,murcia,2007
D-28,Noviembre,12.500 metros saludables,https://runedia.mundodeportivo.com/carrera/12500-metros-saludables-2010/20103380/,"Murcia, Lorca",Ruta,12500 m,murcia,2007
D-28,Noviembre,Media maratón Ciudad de Lorca,https://runedia.mundodeportivo.com/carrera/media-maraton-ciudad-de-lorca-2010/20103379/,"Murcia, Lorca",Ruta,21097 m,murcia,2007
D-5,Diciembre,Media maratón internacional Ciudad de Cieza,https://runedia.mundodeportivo.com/carrera/media-maraton-internacional-ciudad-de-cieza-2010/20103381/,"Murcia, Cieza",Ruta,21097 m,murcia,2007
L-6,Diciembre,Carrera estación de Puerto Lumbreras,https://runedia.mundodeportivo.com/carrera/carrera-estacion-de-puerto-lumbreras-2010/20103382/,"Murcia, Estacion de Puerto Lumbreras",Ruta,5000 m,murcia,2007
L-6,Diciembre,Cross dia de la Constitución (totana),https://runedia.mundodeportivo.com/carrera/cross-dia-de-la-constitucion-totana-2010/20103383/,"Murcia, Totana",Ruta,4650 m,murcia,2007
S-11,Diciembre,Sureste trail,https://runedia.mundodeportivo.com/carrera/sureste-trail-2010/20103384/,"Murcia, Cartagena",Montaña,45000 m,murcia,2007
S-11,Diciembre,Raid tierra adentro,https://runedia.mundodeportivo.com/carrera/raid-tierra-adentro-2010/20103385/,"Murcia, Villanueva del Rio Segura",Otros,80000 m,murcia,2007
D-12,Diciembre,Media marathon Villa de Torre Pacheco,https://runedia.mundodeportivo.com/carrera/media-marathon-villa-de-torre-pacheco-2010/20103386/,"Murcia, Torre Pacheco",Ruta,21097 m,murcia,2007
D-12,Diciembre,Maraton Mtb Ciudad de Aguilas,https://runedia.mundodeportivo.com/carrera/maraton-mtb-ciudad-de-aguilas-2010/20103797/,"Murcia, Aguilas",Btt,50000 m,murcia,2007
D-19,Diciembre,Cross nacional fiestas de la Virgen,https://runedia.mundodeportivo.com/carrera/cross-nacional-fiestas-de-la-virgen-2010/20103388/,"Murcia, Yecla",Ruta,10000 m,murcia,2007
D-19,Diciembre,Cross popular El Palmar,https://runedia.mundodeportivo.com/carrera/cross-popular-el-palmar-2010/20103387/,"Murcia, El Palmar",Ruta,5700 m,murcia,2007
V-24,Diciembre,Carrera del pavo,https://runedia.mundodeportivo.com/carrera/carrera-del-pavo-2010/20103389/,"Murcia, Fuente Álamo",Ruta,10000 m,murcia,2007
D-26,Diciembre,San Silvestre Cartagena 2010,https://runedia.mundodeportivo.com/carrera/san-silvestre-cartagena-2010-2010/20103390/,"Murcia, Cartagena",Ruta,5600 m,murcia,2007
D-26,Diciembre,Carrera popular navideña Jumillana,https://runedia.mundodeportivo.com/carrera/carrera-popular-navidena-jumillana-2010/20103392/,"Murcia, Jumilla",Ruta,6880 m,murcia,2007
D-26,Diciembre,Subida a la Sima del Cabezo la Jara,https://runedia.mundodeportivo.com/carrera/subida-a-la-sima-del-cabezo-la-jara-2010/20103391/,"Murcia, Puerto Lumbreras",Montaña,13000 m,murcia,2007
V-31,Diciembre,San Silvestre Murcia,https://runedia.mundodeportivo.com/carrera/san-silvestre-murcia-2010/20103394/,"Murcia, Murcia",Ruta,7200 m,murcia,2007
V-31,Diciembre,San Silvestre Ciudad de Cieza,https://runedia.mundodeportivo.com/carrera/san-silvestre-ciudad-de-cieza-2010/20103393/,"Murcia, Cieza",Ruta,6500 m,murcia,2007
V-31,Diciembre,San Silvestre de Cehegín,https://runedia.mundodeportivo.com/carrera/san-silvestre-de-cehegin-2010/20103395/,"Murcia, Cehegin",Ruta,5000 m,murcia,2007
D-16,Enero,Trofeo Ciudad de Puerto Lumbreras,https://runedia.mundodeportivo.com/carrera/trofeo-ciudad-de-puerto-lumbreras-2011/20113363/,"Murcia, Puerto Lumbreras",Cross,10100 m,murcia,2007
D-23,Enero,Mountain Bike San Anton de Jumilla,https://runedia.mundodeportivo.com/carrera/mountain-bike-san-anton-de-jumilla-2011/20113796/,"Murcia, Jumilla",Btt,10000 m,murcia,2007
D-13,Febrero,La San Valentín 2011,https://runedia.mundodeportivo.com/carrera/la-san-valentin-2011-2011/20113364/,"Murcia, San Javier",Ruta,10000 m,murcia,2007
D-6,Marzo,Media marathon Ciudad de Cartagena,https://runedia.mundodeportivo.com/carrera/media-marathon-ciudad-de-cartagena-2011/20113365/,"Murcia, Cartagena",Ruta,21097 m,murcia,2007
S-7,Mayo,Carrera pedestre ceutí 1º de mayo,https://runedia.mundodeportivo.com/carrera/carrera-pedestre-ceuti-1-de-mayo-2011/20111871/,"Murcia, Ceutí",Ruta,6000 m,murcia,2007
D-8,Mayo,Media Maraton Villa de Alcantarilla,https://runedia.mundodeportivo.com/carrera/media-maraton-villa-de-alcantarilla-2011/20111872/,"Murcia, Alcantarilla",Ruta,21097 m,murcia,2007
