dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-30,Mayo,Berroeta Saioa Berroeta Mendi Maratoi Erdia,https://runedia.mundodeportivo.com/carrera/berroeta-saioa-berroeta-mendi-maratoi-erdia-2021/202114411/,"Navarra, Berroeta",Montaña,21000 m,navarra,2021
D-30,Mayo,Trail Peña de Andosilla larga 18k,https://runedia.mundodeportivo.com/carrera/trail-pena-de-andosilla-larga-18k-2021/202154196/,"Navarra, Andosilla",Montaña,18000 m,navarra,2021
V-4,Junio,Gran Premio Miguel Indurain,https://runedia.mundodeportivo.com/carrera/gran-premio-miguel-indurain-2021/202115035/,"Navarra, Estella",Bici Carretera,100000 m,navarra,2021
S-5,Junio,Triatlón Antsoain,https://runedia.mundodeportivo.com/carrera/triatlon-antsoain-2021/202115305/,"Navarra, Antsoain",Triatlón,13400 m,navarra,2021
,Junio,EDP San Fermín Marathon,https://runedia.mundodeportivo.com/carrera/edp-san-fermin-marathon-2021/202115182/,"Navarra, Pamplona",Asfalto,42195 m,navarra,2021
S-5,Junio,Bi Mendi Trail (corta),https://runedia.mundodeportivo.com/carrera/bi-mendi-trail-corta-2021/202115091/,"Navarra, Villava",Montaña,12000 m,navarra,2021
S-5,Junio,Zer0km Herri Lasterketa,https://runedia.mundodeportivo.com/carrera/zer0km-herri-lasterketa-2021/202115336/,"Navarra, Nafarroa",Asfalto,5000 m,navarra,2021
S-5,Junio,BHZ Mendi Trail - Hirumendi,https://runedia.mundodeportivo.com/carrera/bhz-mendi-trail-hirumendi-2021/202115089/,"Navarra, Villava",Montaña,28000 m,navarra,2021
S-5,Junio,10km Nocturnos ciudad de Tudela - La Revoltosa,https://runedia.mundodeportivo.com/carrera/10km-nocturnos-ciudad-de-tudela-la-revoltosa-2021/202115077/,"Navarra, Tudela",Asfalto,10000 m,navarra,2021
,Junio,EDP San Fermín Marathon - 21km,https://runedia.mundodeportivo.com/carrera/edp-san-fermin-marathon-21km-2021/202115184/,"Navarra, Pamplona",Asfalto,21097 m,navarra,2021
,Junio,EDP San Fermín Marathon - 10km,https://runedia.mundodeportivo.com/carrera/edp-san-fermin-marathon-10km-2021/202115183/,"Navarra, Pamplona",Asfalto,10700 m,navarra,2021
,Junio,BTT Roscas Fitero,https://runedia.mundodeportivo.com/carrera/btt-roscas-fitero-2021/202115098/,"Navarra, Fitero",Btt,50000 m,navarra,2021
S-5,Junio,BHZ Mendi Trail - Zazpimendi,https://runedia.mundodeportivo.com/carrera/bhz-mendi-trail-zazpimendi-2021/202115090/,"Navarra, Villava",Montaña,44000 m,navarra,2021
S-5,Junio,Triatlón Huarte JDN,https://runedia.mundodeportivo.com/carrera/triatlon-huarte-jdn-2021/202115309/,"Navarra, Huarte",Triatlón,25000 m,navarra,2021
S-5,Junio,BHZ Mendi Trail - Bimendi,https://runedia.mundodeportivo.com/carrera/bhz-mendi-trail-bimendi-2021/202115088/,"Navarra, Villava",Montaña,13000 m,navarra,2021
,Junio,EDP San Fermín Marathon - 5km,https://runedia.mundodeportivo.com/carrera/edp-san-fermin-marathon-5km-2021/202115185/,"Navarra, Pamplona",Asfalto,5000 m,navarra,2021
D-6,Junio,Carrera Solidaria Contra la Violencia de Genero VIRTUAL,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-contra-la-violencia-de-genero-virtual-2021/202122604/,"Navarra, Obanos",Asfalto,7000 m,navarra,2021
D-6,Junio,Roller Maraton Ciudad de Pamplona - 42k,https://runedia.mundodeportivo.com/carrera/roller-maraton-ciudad-de-pamplona-42k-2021/202115635/,"Navarra, Pamplona",Otros,42000 m,navarra,2021
D-6,Junio,Lakuntza-Aralar Mendi Lasterketa Motza,https://runedia.mundodeportivo.com/carrera/lakuntza-aralar-mendi-lasterketa-motza-2021/202115546/,"Navarra, Lakuntza",Montaña,12500 m,navarra,2021
D-6,Junio,Cross Lantzeluze,https://runedia.mundodeportivo.com/carrera/cross-lantzeluze-2021/202115469/,"Navarra, Berriozar",Cross,5000 m,navarra,2021
D-6,Junio,Roller Maraton Ciudad de Pamplona - 10k,https://runedia.mundodeportivo.com/carrera/roller-maraton-ciudad-de-pamplona-10k-2021/202115633/,"Navarra, Pamplona",Otros,10000 m,navarra,2021
D-6,Junio,Travesia B.T.T. Altsasu-Alsasua,https://runedia.mundodeportivo.com/carrera/travesia-btt-altsasu-alsasua-2021/202115702/,"Navarra, Alsasua",Btt,50000 m,navarra,2021
D-6,Junio,NACX   (Navarra Cycling Xperience),https://runedia.mundodeportivo.com/carrera/nacx-navarra-cycling-xperience-2021/202115609/,"Navarra, otsagabia",Bici Carretera,750000 m,navarra,2021
D-6,Junio,Farinato Race Pamplona,https://runedia.mundodeportivo.com/carrera/farinato-race-pamplona-2021/202115511/,"Navarra, Pamplona",Otros,5000 m,navarra,2021
