dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
M-4,Febrero,5K Onda,https://runedia.mundodeportivo.com/carrera/5k-onda-2025/20252018346/,"Castelló, Onda",Asfalto,5000 m,valencia,2025
M-4,Febrero,ADT Trail Albalat dels Tarongers,https://runedia.mundodeportivo.com/carrera/adt-trail-albalat-dels-tarongers-2025/20252012016/,"València, Albalat dels Tarongers",Montaña,21000 m,valencia,2025
M-4,Febrero,Trail Benissoda,https://runedia.mundodeportivo.com/carrera/trail-benissoda-2025/20252012462/,"València, Benisoda",Montaña,14000 m,valencia,2025
M-4,Febrero,Marcha Umbría - La Plana,https://runedia.mundodeportivo.com/carrera/marcha-umbria-la-plana-2025/20252024052/,"València, Enguera",Montaña,10000 m,valencia,2025
M-4,Febrero,Marcha Senderista Integral Sierra de Albatera,https://runedia.mundodeportivo.com/carrera/marcha-senderista-integral-sierra-de-albatera-2025/20252011965/,"Alacant, Albatera",Montaña,35000 m,valencia,2025
M-4,Febrero,Pujada a Montí d'Onda,https://runedia.mundodeportivo.com/carrera/pujada-a-monti-donda-2025/2025200930/,"Castelló, Onda",Montaña,17700 m,valencia,2025
M-4,Febrero,Granadella Trail Costa Blanca - Corta,https://runedia.mundodeportivo.com/carrera/granadella-trail-costa-blanca-corta-2025/20252012183/,"Alacant, Xàbia",Montaña,14500 m,valencia,2025
M-4,Febrero,World Inline Cup Oropesa del Mar - 21k,https://runedia.mundodeportivo.com/carrera/world-inline-cup-oropesa-del-mar-21k-2025/20252012556/,"Castelló, Oropesa del Mar",Otros,21000 m,valencia,2025
M-4,Febrero,Volta a la Marina - Pego,https://runedia.mundodeportivo.com/carrera/volta-a-la-marina-pego-2025/20252042580/,"Alacant, Pego",Btt,65000 m,valencia,2025
M-4,Febrero,ADT Sprint Trail Albalat dels Tarongers,https://runedia.mundodeportivo.com/carrera/adt-sprint-trail-albalat-dels-tarongers-2025/20252012015/,"València, Albalat dels Tarongers",Montaña,11000 m,valencia,2025
M-4,Febrero,Mitja Marató per Muntanya L´Aventaor de Genovés,https://runedia.mundodeportivo.com/carrera/mitja-marato-per-muntanya-laventaor-de-genoves-2025/20252012306/,"València, Genovés",Montaña,21000 m,valencia,2025
