año,Andalucia,Aragon,Asturias,Canarias,Cantabria,Castilla-La-Mancha,Castilla-Y-Leon,Catalunya,Ceuta,Euskadi,Extremadura,Galicia,Illes-Balears,La-Rioja,Madrid,Melilla,Murcia,Navarra,Valencia
2000,594.0,578.0,569.0,584.0,574.0,591.0,592.0,100.0,119.0,577.0,591.0,585.0,100.0,582.0,589.0,29.0,578.0,579.0,587.0
2001,594.0,579.0,568.0,585.0,574.0,590.0,594.0,100.0,119.0,577.0,587.0,584.0,100.0,582.0,593.0,29.0,578.0,581.0,587.0
2002,595.0,577.0,569.0,586.0,573.0,592.0,596.0,100.0,119.0,576.0,589.0,584.0,100.0,582.0,591.0,29.0,577.0,578.0,588.0
2003,593.0,579.0,568.0,585.0,573.0,589.0,595.0,100.0,119.0,574.0,589.0,584.0,100.0,582.0,593.0,29.0,577.0,581.0,589.0
2004,594.0,579.0,569.0,586.0,573.0,591.0,592.0,100.0,119.0,574.0,590.0,583.0,100.0,583.0,594.0,29.0,578.0,581.0,588.0
2005,592.0,577.0,570.0,582.0,573.0,590.0,593.0,100.0,119.0,575.0,589.0,584.0,100.0,582.0,592.0,29.0,578.0,582.0,588.0
2006,594.0,578.0,567.0,584.0,572.0,589.0,593.0,100.0,119.0,570.0,588.0,583.0,100.0,582.0,590.0,29.0,578.0,580.0,585.0
2007,596.0,579.0,569.0,584.0,573.0,590.0,597.0,100.0,119.0,574.0,589.0,581.0,100.0,582.0,592.0,29.0,577.0,580.0,588.0
2008,595.0,581.0,568.0,586.0,573.0,591.0,592.0,100.0,119.0,575.0,590.0,584.0,100.0,582.0,590.0,29.0,578.0,576.0,590.0
2009,592.0,581.0,567.0,588.0,571.0,586.0,594.0,100.0,119.0,574.0,587.0,580.0,100.0,582.0,588.0,29.0,579.0,583.0,587.0
2010,585.0,578.0,570.0,587.0,576.0,584.0,590.0,100.0,117.0,569.0,589.0,580.0,100.0,582.0,586.0,29.0,573.0,584.0,586.0
2011,582.0,581.0,567.0,587.0,575.0,577.0,583.0,100.0,118.0,560.0,589.0,580.0,100.0,582.0,580.0,29.0,574.0,582.0,572.0
2012,586.0,584.0,569.0,585.0,573.0,580.0,580.0,100.0,117.0,563.0,588.0,582.0,100.0,581.0,574.0,29.0,574.0,582.0,571.0
2013,583.0,578.0,569.0,589.0,577.0,589.0,581.0,100.0,114.0,560.0,589.0,588.0,100.0,579.0,574.0,29.0,578.0,576.0,569.0
2014,573.0,583.0,577.0,579.0,573.0,592.0,580.0,100.0,111.0,567.0,586.0,588.0,100.0,573.0,569.0,28.0,580.0,574.0,580.0
2015,578.0,570.0,572.0,579.0,568.0,582.0,584.0,100.0,108.0,567.0,582.0,587.0,100.0,534.0,564.0,27.0,573.0,577.0,562.0
2016,568.0,573.0,577.0,577.0,566.0,589.0,578.0,100.0,103.0,561.0,573.0,580.0,100.0,526.0,567.0,22.0,560.0,581.0,580.0
2017,577.0,564.0,579.0,565.0,539.0,586.0,570.0,100.0,94.0,544.0,579.0,570.0,100.0,523.0,553.0,13.0,558.0,585.0,569.0
2018,579.0,579.0,576.0,584.0,486.0,587.0,562.0,100.0,81.0,564.0,581.0,588.0,100.0,521.0,561.0,2.0,588.0,529.0,572.0
2019,573.0,553.0,431.0,527.0,390.0,583.0,576.0,100.0,63.0,551.0,526.0,586.0,100.0,519.0,568.0,0.0,522.0,475.0,554.0
2020,516.0,364.0,433.0,391.0,425.0,487.0,429.0,100.0,38.0,354.0,374.0,394.0,100.0,504.0,469.0,0.0,381.0,477.0,515.0
2021,544.0,517.0,560.0,542.0,575.0,559.0,532.0,100.0,15.0,507.0,583.0,551.0,100.0,408.0,439.0,0.0,564.0,560.0,513.0
2022,588.0,572.0,577.0,587.0,528.0,579.0,571.0,100.0,0.0,563.0,580.0,584.0,100.0,290.0,570.0,0.0,577.0,592.0,535.0
2023,551.0,585.0,533.0,590.0,330.0,585.0,591.0,100.0,0.0,572.0,590.0,583.0,100.0,163.0,571.0,0.0,533.0,469.0,553.0
2024,574.0,590.0,284.0,598.0,169.0,591.0,593.0,100.0,0.0,587.0,457.0,590.0,100.0,64.0,586.0,0.0,287.0,259.0,587.0
2025,581.0,370.0,93.0,328.0,36.0,533.0,594.0,100.0,0.0,294.0,181.0,330.0,100.0,0.0,490.0,0.0,95.0,82.0,583.0
