Año,CCAA,PIB_anual,PIB_capita,Renta media por persona (con alquiler imputado),Renta media por unidad de consumo,Renta media por unidad de consumo (con alquiler imputado),Renta neta media por persona,Total_paro,busquedas_running,Income_Group,Unemp_Group,Search_Group
2008,Andalucia,152.247,18.638,10.459,13.859,15.967,9.007,21.66,69.0,Low,High,Medium
2008,Aragon,35.44,26.519,12.937,17.107,19.144,11.485,9.71,60.0,Medium,Low,Low
2008,Asturias,23.614,21.987,13.531,17.383,19.679,11.88,10.0,82.0,Medium,Medium,Medium
2008,Canarias,41.156,20.476,10.333,13.418,15.474,8.902,20.99,65.0,Low,High,Low
2008,CastillaLeon,56.295,22.108,11.88,15.533,17.468,10.488,11.4,73.0,Medium,Medium,Medium
2008,Catalunya,208.162,28.217,13.954,18.566,20.691,12.436,11.75,84.0,High,Medium,High
2008,ComunidadValenciana,107.951,21.766,11.472,14.796,17.073,9.864,14.58,100.0,Medium,Medium,High
2008,Madrid,201.866,32.125,14.19,18.941,21.33,12.496,10.02,76.0,High,Medium,Medium
2008,Galicia,58.254,21.107,10.949,14.374,16.468,9.482,9.64,83.0,Medium,Low,High
2008,PaisVasco,66.382,30.636,15.886,20.887,23.517,14.038,8.48,77.0,High,Low,Medium
2008,Murcia,29.541,20.636,10.375,14.147,15.981,9.119,15.29,69.0,Low,High,Medium
2009,Andalucia,145.802,17.685,10.806,14.393,16.411,9.406,26.27,58.0,Low,High,Low
2009,Aragon,33.814,25.15,13.861,18.561,20.579,12.411,13.57,86.0,Medium,Medium,High
2009,Asturias,22.366,20.778,14.374,18.561,20.981,12.63,14.13,82.0,Medium,Medium,High
2009,Canarias,39.505,19.421,10.365,13.612,15.629,8.932,26.77,46.0,Low,High,Low
2009,CastillaLeon,54.452,21.374,12.579,16.415,18.384,11.147,14.21,73.0,Medium,Medium,Medium
2009,CastillaLaMancha,39.356,18.959,10.75,14.712,16.323,9.631,19.29,76.0,Medium,Medium,Medium
2009,Catalunya,200.745,26.956,14.223,18.978,21.059,12.733,16.9,76.0,Medium,Medium,Medium
2009,ComunidadValenciana,101.99,20.462,12.066,15.703,17.897,10.502,22.09,74.0,Medium,High,Medium
2009,Madrid,199.29,31.364,15.226,20.597,22.959,13.564,14.48,61.0,High,Medium,Medium
2009,Galicia,56.253,20.314,11.473,15.113,17.166,10.026,12.8,62.0,Medium,Low,Medium
2009,Navarra,18.002,28.569,15.57,21.318,23.274,14.175,10.51,100.0,High,Low,High
2009,PaisVasco,63.602,29.215,16.625,22.138,24.661,14.838,12.13,64.0,High,Low,Medium
2009,Murcia,28.076,19.383,10.326,14.139,15.859,9.15,21.84,45.0,Low,Medium,Low
2010,Andalucia,145.854,17.567,10.845,14.152,16.393,9.293,28.04,38.0,Low,High,Low
2010,Aragon,34.1,25.375,13.633,17.773,20.086,11.968,16.29,53.0,Medium,Medium,High
2010,Asturias,22.591,20.992,14.443,18.377,20.937,12.589,16.61,46.0,Medium,Medium,Medium
2010,CastillaLeon,54.693,21.487,12.546,16.1,18.316,10.946,15.78,45.0,Medium,Medium,Medium
2010,CastillaLaMancha,39.436,18.864,11.227,15.13,17.067,9.892,21.72,39.0,Low,Medium,Medium
2010,Catalunya,202.602,27.096,14.553,19.239,21.574,12.89,17.86,47.0,Medium,Medium,Medium
2010,ComunidadValenciana,101.87,20.419,12.335,15.78,18.286,10.555,22.57,50.0,Medium,High,High
2010,Madrid,198.29,31.059,15.254,20.128,22.676,13.436,15.54,41.0,High,Low,Medium
2010,Galicia,56.787,20.488,12.117,15.764,18.056,10.504,15.62,43.0,Medium,Medium,Medium
2010,LaRioja,8.009,25.035,12.388,15.769,18.01,10.756,15.58,100.0,Medium,Medium,High
2010,Navarra,18.089,28.487,15.869,21.393,23.637,14.276,11.77,38.0,High,Low,Low
2010,PaisVasco,64.425,29.538,16.488,21.484,24.287,14.468,10.98,39.0,High,Low,Medium
2010,Murcia,28.372,19.479,10.131,13.574,15.482,8.818,24.45,47.0,Low,High,Medium
2011,Andalucia,144.494,17.299,10.337,13.31,15.569,8.764,31.01,61.0,Low,High,Medium
2011,Aragon,33.632,25.015,13.259,17.259,19.489,11.657,16.8,83.0,Medium,Low,High
2011,Asturias,22.262,20.706,13.579,17.08,19.562,11.779,18.84,60.0,Medium,Medium,Low
2011,Canarias,39.612,19.099,10.1,13.127,15.254,8.61,30.33,62.0,Low,High,Medium
2011,Cantabria,12.68,21.435,12.238,15.447,17.89,10.495,15.92,63.0,Medium,Low,Medium
2011,CastillaLeon,54.329,21.378,12.454,15.918,18.147,10.841,17.21,61.0,Medium,Medium,Medium
2011,CastillaLaMancha,39.057,18.569,10.523,13.72,15.764,9.105,24.53,67.0,Medium,Medium,Medium
2011,Catalunya,199.939,26.644,13.776,18.17,20.39,12.209,20.4,91.0,High,Medium,High
2011,ComunidadValenciana,100.388,20.069,11.941,15.344,17.743,10.236,24.83,100.0,Medium,Medium,High
2011,Madrid,199.624,31.147,15.029,19.984,22.579,13.192,17.96,77.0,High,Medium,High
2011,Extremadura,18.274,16.56,10.062,13.151,15.044,8.725,28.33,51.0,Low,High,Low
2011,Galicia,55.817,20.139,11.951,15.45,17.7,10.37,18.17,53.0,Medium,Medium,Low
2011,Baleares,26.646,24.324,12.531,16.568,18.516,11.126,25.49,68.0,Medium,Medium,Medium
2011,LaRioja,7.945,24.748,12.327,15.517,17.748,10.712,18.61,55.0,Medium,Medium,Low
2011,Navarra,18.058,28.279,15.931,21.404,23.749,14.301,13.8,72.0,High,Low,Medium
2011,PaisVasco,63.907,29.261,16.063,20.834,23.684,14.046,13.16,68.0,High,Low,Medium
2011,Murcia,27.698,18.957,9.743,13.022,14.938,8.437,26.31,74.0,Low,High,Medium
2012,Andalucia,139.053,16.597,10.308,13.391,15.49,8.845,35.71,49.0,Low,High,Low
2012,Aragon,32.17,24.008,13.435,17.419,19.526,11.904,18.72,68.0,Medium,Low,High
