CCAA,Renta neta media por persona,Income_Group,Total_paro,Unemp_Group,busquedas_running,Search_Group
Andalucia,9.423176470588235,Low,22.94304347826087,High,68.85714285714286,Low
Aragon,12.645529411764706,High,11.14782608695652,Low,80.26315789473684,High
Asturias,12.617823529411764,Medium,13.75695652173913,Medium,71.05263157894737,Medium
Baleares,12.087411764705882,Medium,13.951304347826087,Medium,70.5,Medium
Canarias,9.523588235294119,Low,20.46260869565217,High,58.35,Low
Cantabria,11.719235294117647,Medium,11.94304347826087,Low,69.85714285714286,Medium
CastillaLaMancha,9.712411764705882,Low,17.080434782608698,Medium,72.8125,Medium
CastillaLeon,11.750529411764706,Medium,12.76695652173913,Medium,69.45,Medium
Catalunya,13.335294117647058,High,13.071739130434782,Medium,83.61904761904762,High
Ceuta,10.07235294117647,Medium,23.511739130434783,High,74.54545454545455,Medium
ComunidadValenciana,10.545411764705882,Medium,16.30695652173913,Medium,84.04761904761905,High
Extremadura,9.070823529411765,Low,21.838695652173914,High,68.71428571428571,Low
Galicia,11.048764705882354,Medium,13.30608695652174,Medium,64.9047619047619,Low
LaRioja,12.064294117647059,Medium,11.077391304347826,Low,65.2,Low
Madrid,13.895529411764706,High,11.968695652173912,Medium,76.57142857142857,Medium
Melilla,11.687294117647058,Medium,22.512173913043476,High,78.0,High
Murcia,9.21635294117647,Low,16.799130434782608,Medium,80.55555555555556,High
Navarra,14.396647058823529,High,9.747826086956522,Low,74.1875,Medium
PaisVasco,15.146529411764705,High,10.418260869565218,Low,74.57142857142857,Medium
