,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTÓRICO  DE LICENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,FEDERACIÓN,,1941,1942,1943,,,1944,,,1945,,1946,,1947,,,,1948,,1949,,1950,,1951,,,1952,,1953,,,1954,,,1955,,1956,,1957,,1958,,,1959,,,1960,,1961,,1962,,1963,,,1964,,,1965,,,
1,ACTIVIDADES SUBACUÁTICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AERONÁUTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.781,,752,,569,,1.007,,,1.096,,,998,,,
3,AJEDREZ,,655,710,790,,,940,,,1.050,,1.110,,1.285,,,,1.310,,1.334,,1.360,,1.394,,,1.407,,1.436,,,1.438,,,1.590,,1.632,,1.805,,1.930,,,2.005,,,2.051,,2.074,,2.220,,2.112,,,6.092,,,2.212,,,
4,ATLETISMO,,640,665,702,,,728,,,759,,798,,841,,,,889,,943,,994,,1.045,,,1.098,,1.159,,,1.224,,,1.295,,1.373,,1.461,,1.553,,,1.691,,,1.909,,2.109,,2.311,,2.498,,,6.473,,,12.389,,,
5,AUTOMOVILISMO,,254,353,451,,,500,,,548,,548,,550,,,,603,,658,,730,,806,,,832,,859,,,800,,,739,,844,,3.266,,976,,,1.002,,,1.048,,1.841,,1.825,,1.160,,,1.216,,,1.198,,,
6,BADMINTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BALONCESTO,,833,1.119,1.574,,,2.224,,,2.075,,1.910,,2.187,,,,2.100,,2.213,,2.251,,2.750,,,3.328,,3.927,,,4.597,,,5.223,,5.988,,6.197,,7.279,,,7.356,,,7.715,,9.150,,9.560,,9.269,,,9.189,,,10.649,,,
8,BALONMANO,,,240,275,,,310,,,365,,400,,460,,,,505,,590,,777,,1.021,,,1.658,,2.174,,,2.811,,,3.068,,4.526,,6.086,,7.532,,,8.361,,,8.637,,10.278,,10.893,,9.587,,,9.310,,,9.846,,,
9,BÉISBOL Y SOFTBOL,,,,118,,,193,,,212,,302,,319,,,,404,,476,,360,,341,,,121,,234,,,401,,,452,,529,,517,,639,,,670,,,813,,642,,658,,827,,,1.562,,,687,,,
10,BILLAR,,109,140,155,,,180,,,197,,208,,215,,,,266,,297,,306,,303,,,298,,305,,,323,,,350,,356,,486,,509,,,771,,,1.000,,1.000,,1.000,,940,,,733,,,2.490,,,
11,BOLOS,,220,280,305,,,315,,,323,,361,,350,,,,372,,390,,405,,418,,,450,,473,,,500,,,522,,571,,603,,681,,,692,,,733,,800,,1.378,,2.538,,,2.548,,,2.548,,,
12,BOXEO,,893,925,943,,,1.348,,,1.471,,1.487,,1.651,,,,1.663,,1.833,,1.708,,1.581,,,1.362,,1.325,,,1.263,,,1.388,,1.211,,1.065,,1.293,,,1.584,,,1.221,,1.834,,1.415,,1.158,,,1.527,,,1.382,,,
13,CAZA,,8.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.000,,42.000,,,53.620,,,58.935,,67.390,,75.085,,85.000,,,85.000,,,75.000,,,
14,CICLISMO,,1.822,1.906,1.802,,,1.863,,,1.925,,2.045,,2.240,,,,2.173,,2.211,,2.253,,2.327,,,2.294,,2.415,,,2.443,,,2.491,,2.496,,2.538,,2.901,,,3.974,,,5.226,,4.705,,4.229,,3.570,,,3.666,,,3.077,,,
15,COLOMBICULTURA,,,,,,,3.871,,,3.929,,4.060,,4.200,,,,4.406,,4.790,,4.931,,5.110,,,5.217,,5.438,,,5.328,,,5.735,,5.580,,5.616,,5.913,,,6.319,,,6.550,,11.130,,13.707,,8.125,,,9.752,,,9.615,,,
16,COLOMBÓFILA,,3.428,3.547,3.783,,,3.894,,,3.915,,3.872,,3.995,,,,4.110,,4.398,,4.515,,4.485,,,4.592,,4.715,,,5.110,,,5.180,,5.229,,5.815,,6.213,,,6.810,,,6.915,,7.120,,7.780,,8.142,,,8.225,,,5.970,,,
17,DEP. DISCAPACIDAD FÍSICA (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DEP. DISCAPACIDAD INTELECTUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DEP. PARA CIEGOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DEP. PARA SORDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DEP. PARALÍTICOS CEREBRALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DEPORTES DE HIELO (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DEPORTES DE INVIERNO,,,509,643,,,705,,,792,,794,,878,,,,893,,914,,1.130,,1.269,,,1.414,,1.242,,,1.102,,,1.260,,1.415,,1.614,,1.643,,,1.702,,,1.520,,1.685,,1.919,,563,,,768,,,527,,,
24,ESGRIMA,,52,34,58,,,101,,,127,,228,,254,,,,180,,298,,371,,471,,,460,,428,,,506,,,502,,427,,508,,412,,,390,,,350,,350,,414,,601,,,1.152,,,800,,,
25,ESPELEOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ESQUÍ NÁUTICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,
