dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-9,Marzo,CxM Fuera de pista Sierra de San Pablo,https://runedia.mundodeportivo.com/carrera/cxm-fuera-de-pista-sierra-de-san-pablo-2014/201410473/,"Sevilla, Montellano",Montaña,24000 m,andalucia,2014
D-9,Marzo,I Carrera/Marcha por la Igualdad,https://runedia.mundodeportivo.com/carrera/i-carreramarcha-por-la-igualdad-2014/201420247/,"Sevilla, Alcala de Guadaira",Asfalto,5000 m,andalucia,2014
D-9,Marzo,Carrera popular la salud mental con el deporte,https://runedia.mundodeportivo.com/carrera/carrera-popular-la-salud-mental-con-el-deporte-2014/201410459/,"Huelva, Huelva",Asfalto,5500 m,andalucia,2014
D-9,Marzo,Carrera solidaria con los niños Saharauis,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-con-los-ninos-saharauis-2014/201410376/,"Córdoba, Villafranca de Córdoba",Asfalto,11000 m,andalucia,2014
S-15,Marzo,I Carrera Popular en San Bartolome de la Torre,https://runedia.mundodeportivo.com/carrera/i-carrera-popular-en-san-bartolome-de-la-torre-2014/201420486/,"Huelva, San Bartolomé de la Torre",Asfalto,200000 m,andalucia,2014
D-16,Marzo,Vuelta Pedestre a Coin,https://runedia.mundodeportivo.com/carrera/vuelta-pedestre-a-coin-2014/201411213/,"Málaga, Coin",Asfalto,10000 m,andalucia,2014
D-16,Marzo,XI Carrera atlética Chiclana Sancti Petri,https://runedia.mundodeportivo.com/carrera/xi-carrera-atletica-chiclana-sancti-petri-2014/20142474/,"Cádiz, Chiclana de la Frontera",Asfalto,11000 m,andalucia,2014
D-16,Marzo,Víboras Trail Algodonales,https://runedia.mundodeportivo.com/carrera/viboras-trail-algodonales-2014/201419989/,"Cádiz, Algodonales",Montaña,0 m,andalucia,2014
D-16,Marzo,Carrera de la mujer - Pizarra,https://runedia.mundodeportivo.com/carrera/carrera-de-la-mujer-pizarra-2014/201410536/,"Málaga, Pizarra",Asfalto,2000 m,andalucia,2014
,Marzo,Payoyo Trail - Carrera por Montaña de Integración,https://runedia.mundodeportivo.com/carrera/payoyo-trail-carrera-por-montana-de-integracion-2014/201410579/,"Cádiz, Villaluenga del Rosario",Montaña,16000 m,andalucia,2014
D-16,Marzo,Trail Series San Nicolás del Puerto - Duatlón Cross,https://runedia.mundodeportivo.com/carrera/trail-series-san-nicolas-del-puerto-duatlon-cross-2014/201418764/,"Sevilla, Sevilla",Duatlón,29000 m,andalucia,2014
D-16,Marzo,XXVI Carrera Urbana de San José.,https://runedia.mundodeportivo.com/carrera/xxvi-carrera-urbana-de-san-jose-2014/201420490/,"Jaén, Mancha Real",Asfalto,5700 m,andalucia,2014
D-16,Marzo,Media Maratón de Montaña Sierra de Andujar,https://runedia.mundodeportivo.com/carrera/media-maraton-de-montana-sierra-de-andujar-2014/201410576/,"Jaén, Andújar",Montaña,21100 m,andalucia,2014
D-16,Marzo,II Contrareloj BTT Ciudad de Sanlúcar,https://runedia.mundodeportivo.com/carrera/ii-contrareloj-btt-ciudad-de-sanlucar-2014/201420487/,"Cádiz, Sanlúcar de Barrameda",Btt,30000 m,andalucia,2014
D-16,Marzo,"Carrera popular  homenaje a Francisco Gonzalez Aparicio ""Paquillo""",https://runedia.mundodeportivo.com/carrera/carrera-popular-homenaje-a-francisco-gonzalez-aparicio-paquillo-2014/20142086/,"Sevilla, Sevilla",Asfalto,10000 m,andalucia,2014
D-16,Marzo,1ª Carrera Popular Ruta de las Ermitas Zalameñas,https://runedia.mundodeportivo.com/carrera/1-carrera-popular-ruta-de-las-ermitas-zalamenas-2014/201420491/,"Huelva, Zalamea la Real",Asfalto,3500 m,andalucia,2014
D-16,Marzo,IV Carrera Popular Bellavista,https://runedia.mundodeportivo.com/carrera/iv-carrera-popular-bellavista-2014/201420255/,"Sevilla, Sevilla",Asfalto,10000 m,andalucia,2014
D-16,Marzo,III Carrera Popular de la Mujer,https://runedia.mundodeportivo.com/carrera/iii-carrera-popular-de-la-mujer-2014/201420493/,"Sevilla, La Roda de Andalucia",Asfalto,4000 m,andalucia,2014
D-16,Marzo,Trail Series San Nicolás del Puerto - Trail Running,https://runedia.mundodeportivo.com/carrera/trail-series-san-nicolas-del-puerto-trail-running-2014/201418766/,"Sevilla, Sevilla",Tierra,24000 m,andalucia,2014
D-16,Marzo,Trail Series San Nicolás del Puerto - Maratón BTT,https://runedia.mundodeportivo.com/carrera/trail-series-san-nicolas-del-puerto-maraton-btt-2014/201418763/,"Sevilla, Sevilla",Btt,62000 m,andalucia,2014
D-16,Marzo,Duatlón cross San Juan de Dios - Bomberos Linares,https://runedia.mundodeportivo.com/carrera/duatlon-cross-san-juan-de-dios-bomberos-linares-2014/20143428/,"Jaén, Linares",Triatlón,35500 m,andalucia,2014
D-16,Marzo,Descenso Guadalquivir,https://runedia.mundodeportivo.com/carrera/descenso-guadalquivir-2014/201418770/,"Sevilla, Sevilla",Btt,92000 m,andalucia,2014
D-16,Marzo,Media Maratón Espiel Belmez,https://runedia.mundodeportivo.com/carrera/media-maraton-espiel-belmez-2014/201410492/,"Córdoba, Espiel",Asfalto,21097 m,andalucia,2014
D-16,Marzo,II CxM Sierra de Dúrcal,https://runedia.mundodeportivo.com/carrera/ii-cxm-sierra-de-durcal-2014/201420488/,"Granada, Dúrcal",Montaña,19100 m,andalucia,2014
D-16,Marzo,Carrera popular homenaje a Paquillo,https://runedia.mundodeportivo.com/carrera/carrera-popular-homenaje-a-paquillo-2014/201412097/,"Sevilla, Sevilla",Asfalto,10000 m,andalucia,2014
D-16,Marzo,Media maratón ciudad de El Ejido,https://runedia.mundodeportivo.com/carrera/media-maraton-ciudad-de-el-ejido-2014/201411075/,"Almería, El Ejido",Asfalto,21097 m,andalucia,2014
D-16,Marzo,Carrera Popular de San José (San José de la Rinconada),https://runedia.mundodeportivo.com/carrera/carrera-popular-de-san-jose-san-jose-de-la-rinconada-2014/201410542/,"Sevilla, San José de la Rinconada",Asfalto,11000 m,andalucia,2014
D-16,Marzo,2ª Carrera por Montaña Villa de Rute,https://runedia.mundodeportivo.com/carrera/2-carrera-por-montana-villa-de-rute-2014/201420254/,"Córdoba, Rute",Montaña,17000 m,andalucia,2014
S-22,Marzo,II Iberman Triatlón Ayamonte - Media Distancia,https://runedia.mundodeportivo.com/carrera/ii-iberman-triatlon-ayamonte-media-distancia-2014/201420096/,"Huelva, Ayamonte",Triatlón,112800 m,andalucia,2014
S-22,Marzo,"Trail Guzmán el Bueno 30km, Sierra Morena",https://runedia.mundodeportivo.com/carrera/trail-guzman-el-bueno-30km-sierra-morena-2014/201420453/,"Córdoba, Córdoba",Montaña,30000 m,andalucia,2014
S-22,Marzo,I Marcha Cicloturista Frontera Sur,https://runedia.mundodeportivo.com/carrera/i-marcha-cicloturista-frontera-sur-2014/201420260/,"Sevilla, Morón de la Frontera",Bici Carretera,54000 m,andalucia,2014
S-22,Marzo,"Trail Guzmán el Bueno, Sierra Morena",https://runedia.mundodeportivo.com/carrera/trail-guzman-el-bueno-sierra-morena-2014/201411085/,"Córdoba, Córdoba",Montaña,60400 m,andalucia,2014
S-22,Marzo,Frontera Sur,https://runedia.mundodeportivo.com/carrera/frontera-sur-2014/201410861/,"Sevilla, Morón de la Frontera",Montaña,50000 m,andalucia,2014
S-22,Marzo,XXXI Cross Urbano Virgen de la Cabeza,https://runedia.mundodeportivo.com/carrera/xxxi-cross-urbano-virgen-de-la-cabeza-2014/201420498/,"Jaén, Andújar",Cross,1650 m,andalucia,2014
S-22,Marzo,Carrera nocturna Vandelvira,https://runedia.mundodeportivo.com/carrera/carrera-nocturna-vandelvira-2014/201410601/,"Jaén, SABIOTE",Asfalto,6000 m,andalucia,2014
D-23,Marzo,Extreme Filabre Trail,https://runedia.mundodeportivo.com/carrera/extreme-filabre-trail-2014/201416920/,"Almería, Serón",Montaña,30500 m,andalucia,2014
D-23,Marzo,"XIX Carrera Popular Villa de San Juan ""Antonio David Jiménez Pentinel""",https://runedia.mundodeportivo.com/carrera/xix-carrera-popular-villa-de-san-juan-antonio-david-jimenez-pentinel-2014/201420501/,"Sevilla, San Juan de Aznalfarache",Asfalto,600000 m,andalucia,2014
D-23,Marzo,Carrera Urbana 10km Estepona,https://runedia.mundodeportivo.com/carrera/carrera-urbana-10km-estepona-2014/201411159/,"Málaga, Estepona",Asfalto,10000 m,andalucia,2014
D-23,Marzo,V Marcha Cicloturista Montes Comunales - I Circuito Naturcor 2014,https://runedia.mundodeportivo.com/carrera/v-marcha-cicloturista-montes-comunales-i-circuito-naturcor-2014-2014/201420262/,"Córdoba, Adamuz",Bici Carretera,40000 m,andalucia,2014
D-23,Marzo,III Duatlón Ciudad de Almería,https://runedia.mundodeportivo.com/carrera/iii-duatlon-ciudad-de-almeria-2014/201420503/,"Almería, Almería",Duatlón,5000 m,andalucia,2014
D-23,Marzo,I 10 Km Run04 Villa de Gádor 2014,https://runedia.mundodeportivo.com/carrera/i-10-km-run04-villa-de-gador-2014-2014/201420104/,"Almería, Gádor",Asfalto,10000 m,andalucia,2014
D-23,Marzo,Carrera popular Cañero,https://runedia.mundodeportivo.com/carrera/carrera-popular-canero-2014/201410540/,"Córdoba, Córdoba",Asfalto,9100 m,andalucia,2014
D-23,Marzo,Media Maratón ciudad de Baza,https://runedia.mundodeportivo.com/carrera/media-maraton-ciudad-de-baza-2014/201410572/,"Granada, Baza",Asfalto,21097 m,andalucia,2014
D-23,Marzo,I Trail Running Ciudad de Málaga,https://runedia.mundodeportivo.com/carrera/i-trail-running-ciudad-de-malaga-2014/201420263/,"Málaga, Málaga",Montaña,22000 m,andalucia,2014
D-23,Marzo,Carrera popular doñana ecológica,https://runedia.mundodeportivo.com/carrera/carrera-popular-donana-ecologica-2014/201410543/,"Huelva, Almonte",Tierra,10000 m,andalucia,2014
D-23,Marzo,II Carrera de la Mujer,https://runedia.mundodeportivo.com/carrera/ii-carrera-de-la-mujer-2014/201420270/,"Sevilla, Carmona",Asfalto,3700 m,andalucia,2014
D-23,Marzo,Media Maratón Bahia de Cádiz,https://runedia.mundodeportivo.com/carrera/media-maraton-bahia-de-cadiz-2014/201410491/,"Cádiz, Cádiz",Asfalto,21097 m,andalucia,2014
D-23,Marzo,Trofeo Federación - Cicloturista,https://runedia.mundodeportivo.com/carrera/trofeo-federacion-cicloturista-2014/201420500/,"Huelva, Bollullos Par del Condado",Bici Carretera,1000 m,andalucia,2014
D-23,Marzo,Carrera popular Morisca,https://runedia.mundodeportivo.com/carrera/carrera-popular-morisca-2014/201410910/,"Sevilla, Puebla de Cazalla",Asfalto,10000 m,andalucia,2014
D-23,Marzo,IV Rally BTT La Barca de la Florida,https://runedia.mundodeportivo.com/carrera/iv-rally-btt-la-barca-de-la-florida-2014/201420502/,"Cádiz, La Barca de la Florida",Btt,1000 m,andalucia,2014
D-23,Marzo,Carrera popular de Ubeda (La Sansi),https://runedia.mundodeportivo.com/carrera/carrera-popular-de-ubeda-la-sansi-2014/201410243/,"Jaén, Ubeda",Asfalto,5000 m,andalucia,2014
V-28,Marzo,Carrera urbana de Arjona,https://runedia.mundodeportivo.com/carrera/carrera-urbana-de-arjona-2014/201411260/,"Jaén, Arjona",Asfalto,5000 m,andalucia,2014
S-29,Marzo,Duatlón la legionaria,https://runedia.mundodeportivo.com/carrera/duatlon-la-legionaria-2014/201420004/,"Málaga, Ronda",Duatlón,29000 m,andalucia,2014
S-29,Marzo,Homenaje a los 101 Km de la Legión,https://runedia.mundodeportivo.com/carrera/homenaje-a-los-101-km-de-la-legion-2014/201410747/,"Málaga, Ronda",Travesía,48800 m,andalucia,2014
S-29,Marzo,I Duatlón Cross de Bonares,https://runedia.mundodeportivo.com/carrera/i-duatlon-cross-de-bonares-2014/201420507/,"Huelva, Bonares",Duatlón,6000 m,andalucia,2014
S-29,Marzo,Homenaje a los 101 km (Hole),https://runedia.mundodeportivo.com/carrera/homenaje-a-los-101-km-hole-2014/201410746/,"Málaga, Ronda",Travesía,25000 m,andalucia,2014
S-29,Marzo,Cross Urbano Puebla de Guzman,https://runedia.mundodeportivo.com/carrera/cross-urbano-puebla-de-guzman-2014/201410695/,"Huelva, Puebla de Guzman",Cross,8250 m,andalucia,2014
S-29,Marzo,Carrera popular Ochavillo del río,https://runedia.mundodeportivo.com/carrera/carrera-popular-ochavillo-del-rio-2014/201410606/,"Córdoba, Ochavillo del río",Asfalto,4800 m,andalucia,2014
S-29,Marzo,Duatlón Cros Ciudad de Dos Hermanas,https://runedia.mundodeportivo.com/carrera/duatlon-cros-ciudad-de-dos-hermanas-2014/201410740/,"Sevilla, Dos Hermanas",Duatlón,28000 m,andalucia,2014
D-30,Marzo,Marcha Capitana de Guadalcanal,https://runedia.mundodeportivo.com/carrera/marcha-capitana-de-guadalcanal-2014/201420753/,"Sevilla, Guadalcanal",Btt,86000 m,andalucia,2014
D-30,Marzo,"Vuelta Pedestre a La Zubia ""Corre por el Parkinson""",https://runedia.mundodeportivo.com/carrera/vuelta-pedestre-a-la-zubia-corre-por-el-parkinson-2014/201410840/,"Granada, La Zubia",Asfalto,5600 m,andalucia,2014
D-30,Marzo,Media Maratón Metropolitana Toruños,https://runedia.mundodeportivo.com/carrera/media-maraton-metropolitana-torunos-2014/201411079/,"Cádiz, Puerto de Santa María",Asfalto,21097 m,andalucia,2014
D-30,Marzo,Marcha Capitana de Guadalcanal - corta,https://runedia.mundodeportivo.com/carrera/marcha-capitana-de-guadalcanal-corta-2014/201417093/,"Sevilla, Guadalcanal",Btt,33000 m,andalucia,2014
D-30,Marzo,Carrera popular ciudad de Roquetas,https://runedia.mundodeportivo.com/carrera/carrera-popular-ciudad-de-roquetas-2014/201410457/,"Almería, Roquetas de Mar",Asfalto,8400 m,andalucia,2014
D-30,Marzo,Reto Araque Trail Jamilena,https://runedia.mundodeportivo.com/carrera/reto-araque-trail-jamilena-2014/201410961/,"Jaén, Jamilena",Tierra,21000 m,andalucia,2014
D-30,Marzo,V Carrera Popular Nuevas Poblaciones,https://runedia.mundodeportivo.com/carrera/v-carrera-popular-nuevas-poblaciones-2014/201420276/,"Sevilla, Cañada Rosal",Asfalto,11000 m,andalucia,2014
D-30,Marzo,Trail Parque Natural Huetor,https://runedia.mundodeportivo.com/carrera/trail-parque-natural-huetor-2014/201410721/,"Granada, Viznar",Montaña,26000 m,andalucia,2014
D-30,Marzo,"II Cicloturista BTT Jarota ""Pedal de Bellota""",https://runedia.mundodeportivo.com/carrera/ii-cicloturista-btt-jarota-pedal-de-bellota-2014/201419409/,"Córdoba, Villanueva de Córdoba",Bici Carretera,65000 m,andalucia,2014
D-30,Marzo,Duatlón Ciudad de Chiclana,https://runedia.mundodeportivo.com/carrera/duatlon-ciudad-de-chiclana-2014/201410928/,"Cádiz, Chiclana de la Frontera",Duatlón,27500 m,andalucia,2014
D-30,Marzo,Carrera Puente Romano,https://runedia.mundodeportivo.com/carrera/carrera-puente-romano-2014/201410781/,"Córdoba, Córdoba",Asfalto,8400 m,andalucia,2014
D-30,Marzo,Carrera popular Nervión,https://runedia.mundodeportivo.com/carrera/carrera-popular-nervion-2014/201411155/,"Sevilla, Sevilla",Asfalto,10000 m,andalucia,2014
D-30,Marzo,XII Media Maratón la Palma - Pantano del Corumbel,https://runedia.mundodeportivo.com/carrera/xii-media-maraton-la-palma-pantano-del-corumbel-2014/201410718/,"Huelva, La Palma del Condado",Asfalto,21097 m,andalucia,2014
D-30,Marzo,I Chihinkana Comarcal,https://runedia.mundodeportivo.com/carrera/i-chihinkana-comarcal-2014/201420515/,"Sevilla, Paradas",Asfalto,10000 m,andalucia,2014
V-4,Abril,XXXIII Carrera Escolar de Dos Hermanas,https://runedia.mundodeportivo.com/carrera/xxxiii-carrera-escolar-de-dos-hermanas-2014/201420279/,"Sevilla, Dos Hermanas",Asfalto,1000 m,andalucia,2014
S-5,Abril,Carrera popular de Guadalcacín,https://runedia.mundodeportivo.com/carrera/carrera-popular-de-guadalcacin-2014/201410734/,"Cádiz, Guadalcacín",Asfalto,10600 m,andalucia,2014
S-5,Abril,"XXXIII Carrera Popular Memorial Antonio Gutiérrez ""El Viejo""",https://runedia.mundodeportivo.com/carrera/xxxiii-carrera-popular-memorial-antonio-gutierrez-el-viejo-2014/201420520/,"Jaén, Úbeda",Asfalto,6300 m,andalucia,2014
S-5,Abril,"XIX Ruta Cicloturista Cepsa ""Moguer - Entorno de Doñana""",https://runedia.mundodeportivo.com/carrera/xix-ruta-cicloturista-cepsa-moguer-entorno-de-donana-2014/201420519/,"Huelva, Moguer",Bici Carretera,1000 m,andalucia,2014
S-5,Abril,I Cross Santa Bárbara,https://runedia.mundodeportivo.com/carrera/i-cross-santa-barbara-2014/201420281/,"Cádiz, San Fernando",Cross,8600 m,andalucia,2014
S-5,Abril,IV Circuito Ángel Camacho Salazar - Cicloturista,https://runedia.mundodeportivo.com/carrera/iv-circuito-angel-camacho-salazar-cicloturista-2014/201420518/,"Huelva, Bollullos Par del Condado",Bici Carretera,1000 m,andalucia,2014
S-5,Abril,Triatlón Almuñecar - Desafío Pikaeras,https://runedia.mundodeportivo.com/carrera/triatlon-almunecar-desafio-pikaeras-2014/201420041/,"Granada, Almuñecar",Triatlón,25750 m,andalucia,2014
S-5,Abril,"Carrera solidaria ""arriba las manos""",https://runedia.mundodeportivo.com/carrera/carrera-solidaria-arriba-las-manos-2014/201411392/,"Sevilla, Sevilla",Asfalto,7000 m,andalucia,2014
,Abril,Málaga Betetea,https://runedia.mundodeportivo.com/carrera/malaga-betetea-2014/201418463/,"Málaga, Málaga",Btt,67000 m,andalucia,2014
S-5,Abril,Carrera popular El viejo,https://runedia.mundodeportivo.com/carrera/carrera-popular-el-viejo-2014/201410458/,"Jaén, Úbeda",Asfalto,6700 m,andalucia,2014
D-6,Abril,Prueba de fondo Ciudad de Alhama,https://runedia.mundodeportivo.com/carrera/prueba-de-fondo-ciudad-de-alhama-2014/201410959/,"Granada, Alhama",Asfalto,10000 m,andalucia,2014
