dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-10,Abril,Subida a Rodanas,https://runedia.mundodeportivo.com/carrera/subida-a-rodanas-2016/201613773/,"Zaragoza, Épila",Montaña,16000 m,aragon,2016
D-10,Abril,Carrera Atades por un Nuevo Cole,https://runedia.mundodeportivo.com/carrera/carrera-atades-por-un-nuevo-cole-2016/201613627/,"Huesca, Atades",Asfalto,5000 m,aragon,2016
D-10,Abril,Trail Castillo Montearagón - 16km,https://runedia.mundodeportivo.com/carrera/trail-castillo-montearagon-16km-2016/201613781/,"Huesca, Huesca",Montaña,16000 m,aragon,2016
S-16,Abril,A Tot Estrús,https://runedia.mundodeportivo.com/carrera/a-tot-estrus-2016/201624184/,"Zaragoza, Zaragoza",Asfalto,3000 m,aragon,2016
S-16,Abril,XI Ruta BTT Bodega Pirineos,https://runedia.mundodeportivo.com/carrera/xi-ruta-btt-bodega-pirineos-2016/201615947/,"Huesca, Barbastro",Btt,78000 m,aragon,2016
S-16,Abril,Brevet Randonneur 300K Club Ciclista Aragonés,https://runedia.mundodeportivo.com/carrera/brevet-randonneur-300k-club-ciclista-aragones-2016/201613869/,"Zaragoza, Zaragoza",Bici Carretera,300000 m,aragon,2016
S-16,Abril,Trancs 3000's Maladetes,https://runedia.mundodeportivo.com/carrera/trancs-3000s-maladetes-2016/201621346/,"Huesca, Llanos del Hospital - Benasque",Esquí Montaña,10000 m,aragon,2016
S-16,Abril,Bike Maraton Sierra de la Virgen,https://runedia.mundodeportivo.com/carrera/bike-maraton-sierra-de-la-virgen-2016/20162872/,"Zaragoza, Aniñón",Btt,62000 m,aragon,2016
S-16,Abril,Gayubada - Andada popular y carrera por montaña,https://runedia.mundodeportivo.com/carrera/gayubada-andada-popular-y-carrera-por-montana-2016/20164237/,"Zaragoza, Mainar",Montaña,25000 m,aragon,2016
D-17,Abril,Marcha senderista de Mequinenza,https://runedia.mundodeportivo.com/carrera/marcha-senderista-de-mequinenza-2016/201614194/,"Zaragoza, Mequinenza",Caminata,20000 m,aragon,2016
D-17,Abril,Sprint GP Llanos Hospital,https://runedia.mundodeportivo.com/carrera/sprint-gp-llanos-hospital-2016/201621347/,"Huesca, Llanos del Hospital - Benasque",Esquí Montaña,10000 m,aragon,2016
D-17,Abril,Marcha send. Comarca Campo de Daroca,https://runedia.mundodeportivo.com/carrera/marcha-send-comarca-campo-de-daroca-2016/201615336/,"Zaragoza, Santed",Caminata,20000 m,aragon,2016
D-17,Abril,Bike Maraton Sierra de la Virgen - corta,https://runedia.mundodeportivo.com/carrera/bike-maraton-sierra-de-la-virgen-corta-2016/201614021/,"Zaragoza, Aniñón",Btt,44000 m,aragon,2016
D-17,Abril,Gran fondo Formiche Alto,https://runedia.mundodeportivo.com/carrera/gran-fondo-formiche-alto-2016/201613409/,"Teruel, Formiche Alto",Asfalto,10000 m,aragon,2016
