dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-3,Junio,"Carrera Memorial Eloy Palacio Alonso, Bomberos",https://runedia.mundodeportivo.com/carrera/carrera-memorial-eloy-palacio-alonso-bomberos-2023/202327261/,"Asturias, Oviedo",Asfalto,5100 m,asturias,2023
S-3,Junio,Carrerina Celíaca,https://runedia.mundodeportivo.com/carrera/carrerina-celiaca-2023/202328033/,"Asturias, Avilés",Pista,20000 m,asturias,2023
S-3,Junio,Clásica Lagos de Covadonga - Gran Fondo,https://runedia.mundodeportivo.com/carrera/clasica-lagos-de-covadonga-gran-fondo-2023/202327313/,"Asturias, Cangas de Onis",Bici Carretera,111000 m,asturias,2023
S-3,Junio,Traveserina Picos de Europa,https://runedia.mundodeportivo.com/carrera/traveserina-picos-de-europa-2023/202327979/,"Asturias, Arenas de Cabrales",Montaña,46000 m,asturias,2023
S-3,Junio,Subida a Lagos de Covadonga,https://runedia.mundodeportivo.com/carrera/subida-a-lagos-de-covadonga-2023/202327872/,"Asturias, El Repelao",Asfalto,13500 m,asturias,2023
S-3,Junio,Carrera de Montaña Sierra Llagos,https://runedia.mundodeportivo.com/carrera/carrera-de-montana-sierra-llagos-2023/202327260/,"Asturias, Soto Rei",Montaña,14000 m,asturias,2023
S-3,Junio,Clásica Lagos de Covadonga - Medio Fondo,https://runedia.mundodeportivo.com/carrera/clasica-lagos-de-covadonga-medio-fondo-2023/202327314/,"Asturias, Cangas de Onis",Bici Carretera,94000 m,asturias,2023
D-4,Junio,Half Triathlon Festival Asturias,https://runedia.mundodeportivo.com/carrera/half-triathlon-festival-asturias-2023/202328561/,"Asturias, Trasona",Triatlón,106000 m,asturias,2023
,Junio,Maratón de Langreo,https://runedia.mundodeportivo.com/carrera/maraton-de-langreo-2023/202329707/,"Asturias, Langreo",Asfalto,42195 m,asturias,2023
S-10,Junio,Travesera integral Picos de Europa,https://runedia.mundodeportivo.com/carrera/travesera-integral-picos-de-europa-2023/20232287/,"Asturias, Arenas de Cabrales",Montaña,74000 m,asturias,2023
D-11,Junio,Trail de Valgrande - Pajares 10km,https://runedia.mundodeportivo.com/carrera/trail-de-valgrande-pajares-10km-2023/202330423/,"Asturias, Estacion Invernal Valgrande-Pajares",Montaña,10000 m,asturias,2023
D-11,Junio,Carrera Popular Solidaria La Serena- El Llano en marcha,https://runedia.mundodeportivo.com/carrera/carrera-popular-solidaria-la-serena-el-llano-en-marcha-2023/202328296/,"Asturias, Gijón",Asfalto,5000 m,asturias,2023
J-15,Junio,Combinada de Montaña Extrem - Agones - Pravia,https://runedia.mundodeportivo.com/carrera/combinada-de-montana-extrem-agones-pravia-2023/202330509/,"Asturias, Pravia",Duatlón,51000 m,asturias,2023
S-17,Junio,Campeonato de Asturias Sprint,https://runedia.mundodeportivo.com/carrera/campeonato-de-asturias-sprint-2023/202330613/,"Asturias, Salinas",Duatlón,26400 m,asturias,2023
S-17,Junio,Gladiator Race Asturias,https://runedia.mundodeportivo.com/carrera/gladiator-race-asturias-2023/202330713/,"Asturias, La fresneda (Siero)",Obstáculos,13000 m,asturias,2023
S-17,Junio,Night Trail Vegadeo - Andarines,https://runedia.mundodeportivo.com/carrera/night-trail-vegadeo-andarines-2023/202333975/,"Asturias, Vegadeo",Caminata,6000 m,asturias,2023
S-17,Junio,Gladiator Rocket Asturias,https://runedia.mundodeportivo.com/carrera/gladiator-rocket-asturias-2023/202330714/,"Asturias, Oviedo",Obstáculos,6000 m,asturias,2023
S-17,Junio,Night Trail Vegadeo,https://runedia.mundodeportivo.com/carrera/night-trail-vegadeo-2023/202333974/,"Asturias, Vegadeo",Montaña,12000 m,asturias,2023
D-18,Junio,Carrera de la mujer de Gijón,https://runedia.mundodeportivo.com/carrera/carrera-de-la-mujer-de-gijon-2023/20232288/,"Asturias, Gijón",Asfalto,5500 m,asturias,2023
D-18,Junio,Carrera la batallona de Somiedo,https://runedia.mundodeportivo.com/carrera/carrera-la-batallona-de-somiedo-2023/202333050/,"Asturias, Somiedo",Montaña,22000 m,asturias,2023
L-19,Junio,Travesía de San Pedro,https://runedia.mundodeportivo.com/carrera/travesia-de-san-pedro-2023/202336906/,"Asturias, Gijón",Natación,2650 m,asturias,2023
S-24,Junio,Trail Picos de Europa (TPE) - 22k,https://runedia.mundodeportivo.com/carrera/trail-picos-de-europa-tpe-22k-2023/202332031/,"Asturias, Cangas de Onís",Montaña,22000 m,asturias,2023
S-24,Junio,Trail Picos de Europa (TPE) - 70k,https://runedia.mundodeportivo.com/carrera/trail-picos-de-europa-tpe-70k-2023/202332033/,"Asturias, Cangas de Onís",Montaña,70000 m,asturias,2023
S-24,Junio,Travesía Degaña-Ibias MEMORIAL VEGA,https://runedia.mundodeportivo.com/carrera/travesia-degana-ibias-memorial-vega-2023/202332069/,"Asturias, Degaña",Btt,120000 m,asturias,2023
S-24,Junio,Farinato Race Oviedo,https://runedia.mundodeportivo.com/carrera/farinato-race-oviedo-2023/202353826/,"Asturias, Oviedo",Otros,7000 m,asturias,2023
S-24,Junio,Trail Picos de Europa (TPE) - 35k,https://runedia.mundodeportivo.com/carrera/trail-picos-de-europa-tpe-35k-2023/202332032/,"Asturias, Cangas de Onís",Montaña,35000 m,asturias,2023
J-29,Junio,Marcha Btt Villa de Ribadesella - Larga 58k,https://runedia.mundodeportivo.com/carrera/marcha-btt-villa-de-ribadesella-larga-58k-2023/202332303/,"Asturias, Ribadesella",Btt,58000 m,asturias,2023
J-29,Junio,Marcha BTT Villa de Ribadesella - 44k,https://runedia.mundodeportivo.com/carrera/marcha-btt-villa-de-ribadesella-44k-2023/202332302/,"Asturias, Ribadesella",Btt,44000 m,asturias,2023
S-1,Julio,MMR Asturias Bike Race - Etapa 1,https://runedia.mundodeportivo.com/carrera/mmr-asturias-bike-race-etapa-1-2023/202332335/,"Asturias, Siero",Btt,54400 m,asturias,2023
S-1,Julio,MMR Asturias Bike Race - Etapa 2,https://runedia.mundodeportivo.com/carrera/mmr-asturias-bike-race-etapa-2-2023/202332336/,"Asturias, Siero",Btt,73600 m,asturias,2023
S-1,Julio,MMR Asturias Bike Race presented by Octagon Esedos,https://runedia.mundodeportivo.com/carrera/mmr-asturias-bike-race-presented-by-octagon-esedos-2023/202332339/,"Asturias, Siero",Btt,179100 m,asturias,2023
