dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-24,Abril,Canarias7 Carrera de las Empresas - 5K,https://runedia.mundodeportivo.com/carrera/canarias7-carrera-de-las-empresas-5k-2016/201631526/,"Gran Canaria, Gran Canaria",Asfalto,5000 m,canarias,2016
D-24,Abril,Media Maratón La Laguna 10K,https://runedia.mundodeportivo.com/carrera/media-maraton-la-laguna-10k-2016/201614723/,"Tenerife, La Laguna",Asfalto,10550 m,canarias,2016
D-24,Abril,Medio Maratón Ciudad de la Laguna,https://runedia.mundodeportivo.com/carrera/medio-maraton-ciudad-de-la-laguna-2016/20163046/,"Tenerife, La Laguna",Asfalto,21097 m,canarias,2016
D-24,Abril,Duatlón de Breña Alta,https://runedia.mundodeportivo.com/carrera/duatlon-de-brena-alta-2016/201614605/,"La Palma, Breña Alta",Duatlón,5000 m,canarias,2016
D-24,Abril,Canarias7 Carrera de las Empresas - 10K,https://runedia.mundodeportivo.com/carrera/canarias7-carrera-de-las-empresas-10k-2016/201631527/,"Gran Canaria, Gran Canaria",Asfalto,10000 m,canarias,2016
D-24,Abril,Demolition Bike 50Km MTB,https://runedia.mundodeportivo.com/carrera/demolition-bike-50km-mtb-2016/201614601/,"Tenerife, Arenas Negras - Garachico",Btt,50000 m,canarias,2016
D-24,Abril,Medio Maratón Ciudad de la Laguna 5km,https://runedia.mundodeportivo.com/carrera/medio-maraton-ciudad-de-la-laguna-5km-2016/201614724/,"Tenerife, La Laguna",Asfalto,5000 m,canarias,2016
D-24,Abril,Carrera de la mujer de Tenerife,https://runedia.mundodeportivo.com/carrera/carrera-de-la-mujer-de-tenerife-2016/201611623/,"Tenerife, Los Realejos",Asfalto,10000 m,canarias,2016
D-24,Abril,Mazubike,https://runedia.mundodeportivo.com/carrera/mazubike-2016/201614721/,"La Palma, Villa del Mazo",Btt,1000 m,canarias,2016
D-24,Abril,Pinolere Trail,https://runedia.mundodeportivo.com/carrera/pinolere-trail-2016/201614740/,"Tenerife, La Orotava",Montaña,27000 m,canarias,2016
S-30,Abril,LPA Trail 20km,https://runedia.mundodeportivo.com/carrera/lpa-trail-20km-2016/201632618/,"La Palma, Las Palmas de Gran Canaria",Montaña,20000 m,canarias,2016
S-30,Abril,Volcano Triathlon,https://runedia.mundodeportivo.com/carrera/volcano-triathlon-2016/201615200/,"Lanzarote, Tinajo",Triatlón,51500 m,canarias,2016
S-30,Abril,Circular Catalanes Trail,https://runedia.mundodeportivo.com/carrera/circular-catalanes-trail-2016/201614370/,"Tenerife, Los Catalanes",Montaña,12000 m,canarias,2016
S-30,Abril,Desafio Teide 360 º,https://runedia.mundodeportivo.com/carrera/desafio-teide-360-2016/201621296/,"Tenerife, Las Cañadas del Teide",Btt,120000 m,canarias,2016
S-30,Abril,LPA Trail 10km,https://runedia.mundodeportivo.com/carrera/lpa-trail-10km-2016/201632617/,"La Palma, Las Palmas de Gran Canaria",Montaña,10000 m,canarias,2016
D-1,Mayo,Media maratón Macán,https://runedia.mundodeportivo.com/carrera/media-maraton-macan-2016/20162813/,"Gran Canaria, Telde",Asfalto,21097 m,canarias,2016
D-1,Mayo,XXIV Milla 1 de Mayo Los Realejos,https://runedia.mundodeportivo.com/carrera/xxiv-milla-1-de-mayo-los-realejos-2016/201615081/,"Tenerife, Los Realejos",Pista,1609 m,canarias,2016
D-1,Mayo,7 km Media maratón Macán,https://runedia.mundodeportivo.com/carrera/7-km-media-maraton-macan-2016/201614906/,"Gran Canaria, Telde",Asfalto,7000 m,canarias,2016
D-1,Mayo,Marcha Cicloturista  II Juegos Master,https://runedia.mundodeportivo.com/carrera/marcha-cicloturista-ii-juegos-master-2016/201631401/,"Tenerife, Los Silos",Bici Carretera,60000 m,canarias,2016
J-5,Mayo,KV Transvulcania,https://runedia.mundodeportivo.com/carrera/kv-transvulcania-2016/201621271/,"La Palma, La Palma",Montaña,7600 m,canarias,2016
S-7,Mayo,Transvulcania Media Maratón,https://runedia.mundodeportivo.com/carrera/transvulcania-media-maraton-2016/201615633/,"La Palma, Fuencaliente de La Palma",Montaña,26800 m,canarias,2016
S-7,Mayo,Disco Night Urban Race 5K,https://runedia.mundodeportivo.com/carrera/disco-night-urban-race-5k-2016/201615554/,"Lanzarote, Arrecife",Asfalto,5000 m,canarias,2016
