dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-9,Julio,Desafío Foramontanos Trail 30,https://runedia.mundodeportivo.com/carrera/desafio-foramontanos-trail-30-2016/201620112/,"Cantabria, Teran de Cabuerniga",Montaña,30000 m,cantabria,2016
S-9,Julio,Desafío MTB Foramontanos,https://runedia.mundodeportivo.com/carrera/desafio-mtb-foramontanos-2016/201621289/,"Cantabria, Terán de Cabuerniga",Btt,69000 m,cantabria,2016
D-10,Julio,Triatlón Somo,https://runedia.mundodeportivo.com/carrera/triatlon-somo-2016/201620323/,"Cantabria, Somo",Triatlón,36000 m,cantabria,2016
D-10,Julio,Traitlón Cross de Alceda Aventura,https://runedia.mundodeportivo.com/carrera/traitlon-cross-de-alceda-aventura-2016/201631872/,"Cantabria, Alceda",Duatlón,43800 m,cantabria,2016
D-10,Julio,Duatlon Cross Alceda Aventura,https://runedia.mundodeportivo.com/carrera/duatlon-cross-alceda-aventura-2016/201619601/,"Cantabria, Alceda",Duatlón,29300 m,cantabria,2016
D-10,Julio,Trail de Herrerías,https://runedia.mundodeportivo.com/carrera/trail-de-herrerias-2016/201620314/,"Cantabria, Cabanzon",Montaña,22000 m,cantabria,2016
V-15,Julio,Cross nuestra señora del carmen,https://runedia.mundodeportivo.com/carrera/cross-nuestra-senora-del-carmen-2016/20162493/,"Cantabria, Zurita de Piélagos",Asfalto,1600 m,cantabria,2016
S-16,Julio,Triatlón Sur de Cantabria,https://runedia.mundodeportivo.com/carrera/triatlon-sur-de-cantabria-2016/201620192/,"Cantabria, Sur de Cantabria",Triatlón,36000 m,cantabria,2016
S-16,Julio,La Herradura de Campoo Trail Etapas 28+32,https://runedia.mundodeportivo.com/carrera/la-herradura-de-campoo-trail-etapas-2832-2016/201620808/,"Cantabria, Celada de los Calderones - Valle de Campoo",Montaña,55000 m,cantabria,2016
D-17,Julio,Costrail,https://runedia.mundodeportivo.com/carrera/costrail-2016/201620582/,"Cantabria, Cos    Mazcuerras",Montaña,28900 m,cantabria,2016
D-17,Julio,Carrera del Monte Soña-Salcedo-Soña,https://runedia.mundodeportivo.com/carrera/carrera-del-monte-sona-salcedo-sona-2016/20162494/,"Cantabria, Salcedo de Piélagos",Asfalto,11600 m,cantabria,2016
S-23,Julio,24 Horas de Mataporquera,https://runedia.mundodeportivo.com/carrera/24-horas-de-mataporquera-2016/201620737/,"Cantabria, Mataporquera",Btt,24000 m,cantabria,2016
S-23,Julio,10 kms villa de Cabezón,https://runedia.mundodeportivo.com/carrera/10-kms-villa-de-cabezon-2016/20162496/,"Cantabria, Cabezón de la Sal",Asfalto,10000 m,cantabria,2016
D-24,Julio,Trail La Herradura de Campoo 32km,https://runedia.mundodeportivo.com/carrera/trail-la-herradura-de-campoo-32km-2016/201620980/,"Cantabria, Celada de los Calderones",Montaña,32000 m,cantabria,2016
D-24,Julio,Trail Solidario de Cóbreces,https://runedia.mundodeportivo.com/carrera/trail-solidario-de-cobreces-2016/201621559/,"Cantabria, Cóbreces",Montaña,23000 m,cantabria,2016
D-24,Julio,La Herradura de Campoo Trail 55km,https://runedia.mundodeportivo.com/carrera/la-herradura-de-campoo-trail-55km-2016/201620930/,"Cantabria, Brañavieja",Montaña,55000 m,cantabria,2016
S-30,Julio,Triatlon de Colindres,https://runedia.mundodeportivo.com/carrera/triatlon-de-colindres-2016/201620487/,"Cantabria, Colindres",Triatlón,36000 m,cantabria,2016
S-30,Julio,Milla urbana de Polanco,https://runedia.mundodeportivo.com/carrera/milla-urbana-de-polanco-2016/20162497/,"Cantabria, Polanco",Asfalto,1609 m,cantabria,2016
D-31,Julio,II Trail Los Carabeos,https://runedia.mundodeportivo.com/carrera/ii-trail-los-carabeos-2016/201620561/,"Cantabria, Valdeprado del Rio",Montaña,25000 m,cantabria,2016
D-7,Agosto,Milla urbana de Selaya,https://runedia.mundodeportivo.com/carrera/milla-urbana-de-selaya-2016/20162499/,"Cantabria, Selaya",Asfalto,1609 m,cantabria,2016
D-7,Agosto,I Carrera de Montaña San Lorenzo,https://runedia.mundodeportivo.com/carrera/i-carrera-de-montana-san-lorenzo-2016/201621719/,"Cantabria, Puente Viesgo",Montaña,14700 m,cantabria,2016
D-7,Agosto,Marcha BTT Los Matorrizos,https://runedia.mundodeportivo.com/carrera/marcha-btt-los-matorrizos-2016/201621797/,"Cantabria, Bustillo del Monte",Otros,54500 m,cantabria,2016
