dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-2,Abril,Desafío El Calar del Río Mundo - 25km,https://runedia.mundodeportivo.com/carrera/desafio-el-calar-del-rio-mundo-25km-2016/201631115/,"Albacete, Riopar",Montaña,25000 m,castilla-la-mancha,2016
D-3,Abril,Carrera Popular Subida a las Barrancas,https://runedia.mundodeportivo.com/carrera/carrera-popular-subida-a-las-barrancas-2016/201614884/,"Toledo, Burujón",Asfalto,8800 m,castilla-la-mancha,2016
D-3,Abril,"Carrera Popular ""Villa de Burujón""",https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-burujon-2016/201614042/,"Toledo, Burujón",Asfalto,7600 m,castilla-la-mancha,2016
D-3,Abril,Media Maratón de Bolaños,https://runedia.mundodeportivo.com/carrera/media-maraton-de-bolanos-2016/201612531/,"Ciudad Real, Bolaños de Calatrava",Asfalto,21097 m,castilla-la-mancha,2016
D-3,Abril,Circuito BTT Albacete - Madrigueras,https://runedia.mundodeportivo.com/carrera/circuito-btt-albacete-madrigueras-2016/201612791/,"Albacete, Madrigueras",Btt,40000 m,castilla-la-mancha,2016
D-3,Abril,Trail Santa Cruz de Moya,https://runedia.mundodeportivo.com/carrera/trail-santa-cruz-de-moya-2016/201613825/,"Cuenca, Santa Cruz de Moya",Montaña,24500 m,castilla-la-mancha,2016
D-3,Abril,Flecha Ibérica C.C.Yepes,https://runedia.mundodeportivo.com/carrera/flecha-iberica-ccyepes-2016/201613156/,"Toledo, Yepes",Btt,400000 m,castilla-la-mancha,2016
D-3,Abril,Marcha BTT Madrigueras,https://runedia.mundodeportivo.com/carrera/marcha-btt-madrigueras-2016/201622376/,"Albacete, Madrigueras",Btt,45000 m,castilla-la-mancha,2016
D-3,Abril,Ruta MTB Villarrubia de los Ojos,https://runedia.mundodeportivo.com/carrera/ruta-mtb-villarrubia-de-los-ojos-2016/201613758/,"Ciudad Real, Villarrubia de los Ojos",Btt,36000 m,castilla-la-mancha,2016
D-3,Abril,Duatlón Cross Ranera,https://runedia.mundodeportivo.com/carrera/duatlon-cross-ranera-2016/201612835/,"Cuenca, Casillas de Ranera",Duatlón,7000 m,castilla-la-mancha,2016
D-3,Abril,Carrera popular Villamayor de Santiago,https://runedia.mundodeportivo.com/carrera/carrera-popular-villamayor-de-santiago-2016/20161955/,"Cuenca, Villamayor de Santiago",Asfalto,10000 m,castilla-la-mancha,2016
S-9,Abril,Carrera popular de Barrax,https://runedia.mundodeportivo.com/carrera/carrera-popular-de-barrax-2016/201612639/,"Albacete, Barrax",Asfalto,10200 m,castilla-la-mancha,2016
S-9,Abril,Carrera popular Villa de Campillo,https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-campillo-2016/201616418/,"Cuenca, Campillo de Altobuey",Asfalto,8000 m,castilla-la-mancha,2016
S-9,Abril,"MTB Carrión de Calatrava ""Circuito los Cerros de Carrión""",https://runedia.mundodeportivo.com/carrera/mtb-carrion-de-calatrava-circuito-los-cerros-de-carrion-2016/201613439/,"Ciudad Real, Carrión de Calatrava",Btt,45000 m,castilla-la-mancha,2016
S-9,Abril,Trofeo MTB Ajo y Agua,https://runedia.mundodeportivo.com/carrera/trofeo-mtb-ajo-y-agua-2016/201615635/,"Cuenca, Pedroñeras",Btt,42000 m,castilla-la-mancha,2016
D-10,Abril,Carrera Popular por la Igualdad,https://runedia.mundodeportivo.com/carrera/carrera-popular-por-la-igualdad-2016/201612394/,"Toledo, Illescas",Asfalto,3600 m,castilla-la-mancha,2016
