dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-20,Febrero,Cross Parquesol,https://runedia.mundodeportivo.com/carrera/cross-parquesol-2022/202213608/,"Valladolid, Valladolid",Cross,6000 m,castilla-y-leon,2022
D-20,Febrero,Powerade Paramada Bike,https://runedia.mundodeportivo.com/carrera/powerade-paramada-bike-2022/202213717/,"Valladolid, Simancas",Btt,61000 m,castilla-y-leon,2022
,Febrero,La Paramada Trail Corto - 11km,https://runedia.mundodeportivo.com/carrera/la-paramada-trail-corto-11km-2022/202213113/,"Valladolid, Geria",Montaña,11000 m,castilla-y-leon,2022
D-20,Febrero,Canicross Pelabravo,https://runedia.mundodeportivo.com/carrera/canicross-pelabravo-2022/202213567/,"Salamanca, Pelabravo",Canicross,6800 m,castilla-y-leon,2022
,Febrero,La Paramada Trail - 21km,https://runedia.mundodeportivo.com/carrera/la-paramada-trail-21km-2022/202213111/,"Valladolid, Geria",Montaña,21000 m,castilla-y-leon,2022
D-20,Febrero,5 Millas Aldearrodrigo,https://runedia.mundodeportivo.com/carrera/5-millas-aldearrodrigo-2022/202213537/,"Salamanca, Adearrodrigo",Asfalto,8000 m,castilla-y-leon,2022
D-20,Febrero,Leguas por Zamora - San Martín de Tábara,https://runedia.mundodeportivo.com/carrera/leguas-por-zamora-san-martin-de-tabara-2022/202213664/,"Zamora, San Martín de Tábara",Asfalto,5572 m,castilla-y-leon,2022
D-20,Febrero,Runners vs. Bikers - Runners,https://runedia.mundodeportivo.com/carrera/runners-vs-bikers-runners-2022/202213731/,"León, León",Montaña,10000 m,castilla-y-leon,2022
D-20,Febrero,Corre por una causa - 5 KM MARCHA,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-5-km-marcha-2022/202214598/,"Valladolid, Valladolid - Arroyo de la Encomienda",Caminata,5000 m,castilla-y-leon,2022
D-20,Febrero,Corre por una causa - 1km,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-1km-2022/202214596/,"Valladolid, Valladolid - Arroyo de la Encomienda",Asfalto,1000 m,castilla-y-leon,2022
D-20,Febrero,Marea Amarilla,https://runedia.mundodeportivo.com/carrera/marea-amarilla-2022/202213680/,"Salamanca, Salamanca",Asfalto,7500 m,castilla-y-leon,2022
,Febrero,La Paramada Trail Caminata - 10km,https://runedia.mundodeportivo.com/carrera/la-paramada-trail-caminata-10km-2022/202213112/,"Valladolid, Geria",Montaña,10000 m,castilla-y-leon,2022
D-20,Febrero,Canicross de Cabrerizos,https://runedia.mundodeportivo.com/carrera/canicross-de-cabrerizos-2022/202213566/,"Salamanca, Cabrerizos",Canicross,7370 m,castilla-y-leon,2022
D-20,Febrero,VIII Legua Villa de Macotera,https://runedia.mundodeportivo.com/carrera/viii-legua-villa-de-macotera-2022/202212929/,"Salamanca, Macotera",Tierra,5825 m,castilla-y-leon,2022
D-20,Febrero,Carrera Solidaria Caixa Bank - Ciudad De Palencia 5km,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-caixa-bank-ciudad-de-palencia-5km-2022/202213584/,"Palencia, Palencia",Asfalto,5000 m,castilla-y-leon,2022
D-20,Febrero,Cross de invierno Ciudad de Astorga,https://runedia.mundodeportivo.com/carrera/cross-de-invierno-ciudad-de-astorga-2022/202213606/,"León, Astorga",Cross,6000 m,castilla-y-leon,2022
D-20,Febrero,Corre por una causa - 5km,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-5km-2022/202214599/,"Valladolid, Valladolid - Arroyo de la Encomienda",Asfalto,5000 m,castilla-y-leon,2022
D-27,Febrero,Crono por equipos BTT Villa de Tordesillas,https://runedia.mundodeportivo.com/carrera/crono-por-equipos-btt-villa-de-tordesillas-2022/202214628/,"Valladolid, Tordesillas",Btt,23000 m,castilla-y-leon,2022
D-27,Febrero,Fun Fun Run - Carrión de los Condes,https://runedia.mundodeportivo.com/carrera/fun-fun-run-carrion-de-los-condes-2022/202253828/,"Palencia, Carrión de los Condes",Asfalto,5000 m,castilla-y-leon,2022
D-27,Febrero,Carrera Popular Aldeamayor Golf,https://runedia.mundodeportivo.com/carrera/carrera-popular-aldeamayor-golf-2022/202230980/,"Valladolid, Aldeamayor",Asfalto,5800 m,castilla-y-leon,2022
,Febrero,10km Villa de Simancas,https://runedia.mundodeportivo.com/carrera/10km-villa-de-simancas-2022/202214367/,"Valladolid, Simancas",Asfalto,10000 m,castilla-y-leon,2022
