dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-8,Abril,Long Trail Enkarterri Extrem,https://runedia.mundodeportivo.com/carrera/long-trail-enkarterri-extrem-2017/201732295/,"Vizcaya, Zaramillo",Montaña,68000 m,euskadi,2017
S-8,Abril,Kolazinoko Mendi Eguna - BTT Martxa,https://runedia.mundodeportivo.com/carrera/kolazinoko-mendi-eguna-btt-martxa-2017/201712823/,"Vizcaya, Bedia",Btt,34000 m,euskadi,2017
S-8,Abril,Kolazinoko Mendi Eguna - Mendi Martxa,https://runedia.mundodeportivo.com/carrera/kolazinoko-mendi-eguna-mendi-martxa-2017/201712825/,"Vizcaya, Bedia",Travesía,20000 m,euskadi,2017
S-8,Abril,Short Trail Enkarterri Extrem,https://runedia.mundodeportivo.com/carrera/short-trail-enkarterri-extrem-2017/201732297/,"Vizcaya, Zaramillo",Montaña,20000 m,euskadi,2017
D-9,Abril,Kilimon Trail Mendaro,https://runedia.mundodeportivo.com/carrera/kilimon-trail-mendaro-2017/201714419/,"Guipuzkoa, Mendaro",Montaña,24000 m,euskadi,2017
D-9,Abril,Arrigorriaga mendi Trail Asteburua - Corta Diurna,https://runedia.mundodeportivo.com/carrera/arrigorriaga-mendi-trail-asteburua-corta-diurna-2017/201726685/,"Vizcaya, Arrigorriaga",Montaña,8000 m,euskadi,2017
D-9,Abril,Bailarako Kros Herrikoia,https://runedia.mundodeportivo.com/carrera/bailarako-kros-herrikoia-2017/201733583/,"Guipuzkoa, Irura",Montaña,5145 m,euskadi,2017
D-9,Abril,Canicross Orio,https://runedia.mundodeportivo.com/carrera/canicross-orio-2017/201714260/,"Guipuzkoa, Orio",Canicross,8500 m,euskadi,2017
D-9,Abril,Andoaingo Ibilaldia,https://runedia.mundodeportivo.com/carrera/andoaingo-ibilaldia-2017/201715412/,"Guipuzkoa, Andoain",Caminata,40000 m,euskadi,2017
D-9,Abril,Arrigorriagako Txakurkrossa,https://runedia.mundodeportivo.com/carrera/arrigorriagako-txakurkrossa-2017/201721122/,"Vizcaya, Arrigorriaga",Canicross,6000 m,euskadi,2017
D-9,Abril,Bilbao - Leioa,https://runedia.mundodeportivo.com/carrera/bilbao-leioa-2017/201714244/,"Vizcaya, Bilbao Paseo de Uribitarte",Asfalto,12200 m,euskadi,2017
D-9,Abril,Arrigorriaga Mendi Trail Asteburua - Larga Diurna,https://runedia.mundodeportivo.com/carrera/arrigorriaga-mendi-trail-asteburua-larga-diurna-2017/201726684/,"Vizcaya, Arrigorriaga",Montaña,17000 m,euskadi,2017
D-9,Abril,Ereñoko Mendi - Martxa ETA Lasterketa,https://runedia.mundodeportivo.com/carrera/erenoko-mendi-martxa-eta-lasterketa-2017/201733584/,"Vizcaya, Bizcaia",Montaña,21000 m,euskadi,2017
D-9,Abril,7ª prueba del IV Circuito Popular Jesús de la Fuente. Monte Ilso (Zalla),https://runedia.mundodeportivo.com/carrera/7-prueba-del-iv-circuito-popular-jesus-de-la-fuente-monte-ilso-zalla-2017/201733346/,"Vizcaya, Zalla",Orientación,6300 m,euskadi,2017
D-9,Abril,Carrera Popular de los Paseos,https://runedia.mundodeportivo.com/carrera/carrera-popular-de-los-paseos-2017/201715454/,"Araba, Vitoria-Gasteiz",Asfalto,6200 m,euskadi,2017
,Abril,Eternal Running Loiu,https://runedia.mundodeportivo.com/carrera/eternal-running-loiu-2017/201714373/,"Vizcaya, Loiu",Obstáculos,10000 m,euskadi,2017
X-12,Abril,Orioko Herri Lasterketa,https://runedia.mundodeportivo.com/carrera/orioko-herri-lasterketa-2017/201712140/,"Guipuzkoa, Orio",Montaña,21000 m,euskadi,2017
S-22,Abril,Pasaiako Mendi Lasterketa en Paseo San Pedro,https://runedia.mundodeportivo.com/carrera/pasaiako-mendi-lasterketa-en-paseo-san-pedro-2017/201714764/,"Guipuzkoa, Donostia",Montaña,13500 m,euskadi,2017
S-22,Abril,Los tres castillos - S1,https://runedia.mundodeportivo.com/carrera/los-tres-castillos-s1-2017/201715311/,"Araba, Nanclares de la Oca",Montaña,15000 m,euskadi,2017
S-22,Abril,Izarraitz mendi lasterketa,https://runedia.mundodeportivo.com/carrera/izarraitz-mendi-lasterketa-2017/20172666/,"Guipuzkoa, azkoitia",Montaña,21000 m,euskadi,2017
S-22,Abril,Hiru Gazteluak Trail Mendi,https://runedia.mundodeportivo.com/carrera/hiru-gazteluak-trail-mendi-2017/201715288/,"Araba, Nanclares de la Oca",Travesía,15000 m,euskadi,2017
S-22,Abril,Egiako Sudur Krossa,https://runedia.mundodeportivo.com/carrera/egiako-sudur-krossa-2017/201715277/,"Guipuzkoa, San Sebastián",Cross,6000 m,euskadi,2017
S-22,Abril,Los tres castillos -,https://runedia.mundodeportivo.com/carrera/los-tres-castillos-2017/201715310/,"Araba, Nanclares de la Oca",Montaña,42000 m,euskadi,2017
D-23,Abril,San Markos mendi lasterketa - Carrera de montaña de San Marcos,https://runedia.mundodeportivo.com/carrera/san-markos-mendi-lasterketa-carrera-de-montana-de-san-marcos-2017/201711182/,"Guipuzkoa, Errenteria",Montaña,11500 m,euskadi,2017
D-23,Abril,Prueba Urbana Iurreta - 5Km,https://runedia.mundodeportivo.com/carrera/prueba-urbana-iurreta-5km-2017/201733671/,"Vizcaya, Iurreta",Asfalto,5000 m,euskadi,2017
D-23,Abril,Aloñako Igoera,https://runedia.mundodeportivo.com/carrera/alonako-igoera-2017/201715949/,"Guipuzkoa, Oñati",Montaña,22600 m,euskadi,2017
D-23,Abril,Medio Maratón de Bilbao,https://runedia.mundodeportivo.com/carrera/medio-maraton-de-bilbao-2017/201715656/,"Vizcaya, Bilbao",Asfalto,21097 m,euskadi,2017
D-23,Abril,Mello Saria Muskiz - 12K,https://runedia.mundodeportivo.com/carrera/mello-saria-muskiz-12k-2017/201715785/,"Vizcaya, Muzkiz",Montaña,12500 m,euskadi,2017
D-23,Abril,Erandone Portugalete,https://runedia.mundodeportivo.com/carrera/erandone-portugalete-2017/201715541/,"Vizcaya, Portugalete",Bici Carretera,109000 m,euskadi,2017
D-23,Abril,Prueba Urbana Iurreta - 10Km,https://runedia.mundodeportivo.com/carrera/prueba-urbana-iurreta-10km-2017/201733670/,"Vizcaya, Iurreta",Asfalto,10000 m,euskadi,2017
D-23,Abril,Mello Saria Muskiz - 24Km,https://runedia.mundodeportivo.com/carrera/mello-saria-muskiz-24km-2017/201715784/,"Vizcaya, Muskiz",Montaña,24500 m,euskadi,2017
D-23,Abril,Mello Marcha - 15Km,https://runedia.mundodeportivo.com/carrera/mello-marcha-15km-2017/201715569/,"Vizcaya, Muzkiz",Montaña,15000 m,euskadi,2017
D-23,Abril,Boga Mendi Martxa,https://runedia.mundodeportivo.com/carrera/boga-mendi-martxa-2017/201715422/,"Vizcaya, Ondarroa",Caminata,54000 m,euskadi,2017
D-23,Abril,Carrera Vitoria-Gasteiz-Estíbaliz,https://runedia.mundodeportivo.com/carrera/carrera-vitoria-gasteiz-estibaliz-2017/201714889/,"Araba, Vitoria-Gasteiz",Asfalto,15075 m,euskadi,2017
D-23,Abril,Loatzoko Igoera - Jaitsiera,https://runedia.mundodeportivo.com/carrera/loatzoko-igoera-jaitsiera-2017/201715628/,"Guipuzkoa, Amasa",Montaña,9730 m,euskadi,2017
,Abril,Enkarterriko Emakumeen Bira. Balmaseda,https://runedia.mundodeportivo.com/carrera/enkarterriko-emakumeen-bira-balmaseda-2017/201715539/,"Vizcaya, Balmaseda",Bici Carretera,62000 m,euskadi,2017
V-28,Abril,Lazkaoko Bikoteen Kross,https://runedia.mundodeportivo.com/carrera/lazkaoko-bikoteen-kross-2017/201733791/,"Guipuzkoa, Lazkao",Cross,5500 m,euskadi,2017
