dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-23,Abril,"III Carrera por montaña Deportes Parra Hervás - Corto 8,5 km",https://runedia.mundodeportivo.com/carrera/iii-carrera-por-montana-deportes-parra-hervas-corto-85-km-2017/201716813/,"Cáceres, Hervás",Montaña,8500 m,extremadura,2017
D-23,Abril,Desafio San Fernando Carrera Solidaria BTT,https://runedia.mundodeportivo.com/carrera/desafio-san-fernando-carrera-solidaria-btt-2017/201714937/,"Badajoz, Bótoa",Btt,80000 m,extremadura,2017
D-23,Abril,Cross Popular Salvaléon Cuna del Ibérico,https://runedia.mundodeportivo.com/carrera/cross-popular-salvaleon-cuna-del-iberico-2017/201715511/,"Badajoz, Salvaleón",Cross,5000 m,extremadura,2017
D-23,Abril,Desafio BTT La Buitrera Corta,https://runedia.mundodeportivo.com/carrera/desafio-btt-la-buitrera-corta-2017/201733692/,"Badajoz, la serena",Btt,45000 m,extremadura,2017
D-23,Abril,desafío san fernando duatlón,https://runedia.mundodeportivo.com/carrera/desafio-san-fernando-duatlon-2017/201733700/,"Badajoz, badajoz",Duatlón,55000 m,extremadura,2017
D-23,Abril,Subida del Cubo,https://runedia.mundodeportivo.com/carrera/subida-del-cubo-2017/201733694/,"Cáceres, Coria",Asfalto,10000 m,extremadura,2017
D-23,Abril,desafío san fernando cross 21k,https://runedia.mundodeportivo.com/carrera/desafio-san-fernando-cross-21k-2017/201733698/,"Badajoz, badajoz",Cross,21000 m,extremadura,2017
V-28,Abril,Ruta cicloturista Norte de Extremadura LaExtrema,https://runedia.mundodeportivo.com/carrera/ruta-cicloturista-norte-de-extremadura-laextrema-2017/201717056/,"Cáceres, Valle del Jerte (Cáceres)",Bici Carretera,410000 m,extremadura,2017
V-28,Abril,Ruta cicloturista Sistema Central,https://runedia.mundodeportivo.com/carrera/ruta-cicloturista-sistema-central-2017/201716239/,"Cáceres, Plasencia",Bici Carretera,710000 m,extremadura,2017
V-28,Abril,La Extrema: Ruta cicloturista Norte de Extremadura,https://runedia.mundodeportivo.com/carrera/la-extrema-ruta-cicloturista-norte-de-extremadura-2017/201717049/,"Cáceres, Valdastillas",Bici Carretera,410000 m,extremadura,2017
S-29,Abril,Duatlón Cross de los Dólmenes,https://runedia.mundodeportivo.com/carrera/duatlon-cross-de-los-dolmenes-2017/201715847/,"Cáceres, Montehermoso",Duatlón,3000 m,extremadura,2017
D-30,Abril,Trail Sierra de Gata As Eljas,https://runedia.mundodeportivo.com/carrera/trail-sierra-de-gata-as-eljas-2017/201733166/,"Cáceres, Eljas",Montaña,35000 m,extremadura,2017
