dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-7,Mayo,Circuito Larsa corre con nos: Parque recinto Feiral,https://runedia.mundodeportivo.com/carrera/circuito-larsa-corre-con-nos-parque-recinto-feiral-2016/201616055/,"Lugo, Lugo",Asfalto,5850 m,galicia,2016
D-8,Mayo,5K del Salmon,https://runedia.mundodeportivo.com/carrera/5k-del-salmon-2016/201615670/,"A Coruña, Estrada",Asfalto,5000 m,galicia,2016
D-8,Mayo,113 Swim Ride Run. Triatlón Media Distancia Sanxenxo,https://runedia.mundodeportivo.com/carrera/113-swim-ride-run-triatlon-media-distancia-sanxenxo-2016/201631368/,"Pontevedra, Sanxenxo",Triatlón,113000 m,galicia,2016
D-8,Mayo,Running Massó- Liménis,https://runedia.mundodeportivo.com/carrera/running-masso-limenis-2016/201615895/,"Pontevedra, Morrazo",Asfalto,8000 m,galicia,2016
D-8,Mayo,Carreira Popular Ferreirúa,https://runedia.mundodeportivo.com/carrera/carreira-popular-ferreirua-2016/20162678/,"Lugo, A Pobra do Brollón",Tierra,9300 m,galicia,2016
D-8,Mayo,Carrera de Montaña A Pobra do Caramiñal,https://runedia.mundodeportivo.com/carrera/carrera-de-montana-a-pobra-do-caraminal-2016/201616178/,"A Coruña, A Pobra do Caramiñal",Montaña,21000 m,galicia,2016
D-8,Mayo,Carreira pedestre popular Costa Da Morte el Correo Gallego - Concello da Laracha,https://runedia.mundodeportivo.com/carrera/carreira-pedestre-popular-costa-da-morte-el-correo-gallego-concello-da-laracha-2016/201615685/,"A Coruña, Concello Da Laracha",Asfalto,9500 m,galicia,2016
D-8,Mayo,10k Praia de Samil,https://runedia.mundodeportivo.com/carrera/10k-praia-de-samil-2016/201623770/,"Pontevedra, Vigo",Asfalto,10000 m,galicia,2016
D-8,Mayo,Carreira Popular das Praias - 11km,https://runedia.mundodeportivo.com/carrera/carreira-popular-das-praias-11km-2016/201630155/,"Lugo, Barreiros",Tierra,17000 m,galicia,2016
D-8,Mayo,Medio Maratón Ferreirúa,https://runedia.mundodeportivo.com/carrera/medio-maraton-ferreirua-2016/20162679/,"Lugo, A Pobra do Brollón",Tierra,21097 m,galicia,2016
D-8,Mayo,Carreira pedestre popular costa da morte el correo gallego,https://runedia.mundodeportivo.com/carrera/carreira-pedestre-popular-costa-da-morte-el-correo-gallego-2016/201615684/,"A Coruña, Mazaricos",Asfalto,10000 m,galicia,2016
D-8,Mayo,Corre con Implicadas,https://runedia.mundodeportivo.com/carrera/corre-con-implicadas-2016/201615107/,"A Coruña, Oleiros",Asfalto,5500 m,galicia,2016
D-8,Mayo,Carreria popular solidaria do Barbanza,https://runedia.mundodeportivo.com/carrera/carreria-popular-solidaria-do-barbanza-2016/201615712/,"A Coruña, Pobra do Caramiñal",Asfalto,10000 m,galicia,2016
D-8,Mayo,Carreira Popular das Praias - 17km,https://runedia.mundodeportivo.com/carrera/carreira-popular-das-praias-17km-2016/201616173/,"Lugo, Barreiros",Otros,17000 m,galicia,2016
