dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-30,Diciembre,San Silvestre de Lardero,https://runedia.mundodeportivo.com/carrera/san-silvestre-de-lardero-2023/20233261/,"La Rioja, Lardero",Asfalto,3000 m,la-rioja,2023
S-6,Enero,Carrera de Reyes,https://runedia.mundodeportivo.com/carrera/carrera-de-reyes-2024/202410317/,"La Rioja, Nájera",Tierra,5500 m,la-rioja,2023
D-7,Enero,Cross popular de reyes Los Lirios,https://runedia.mundodeportivo.com/carrera/cross-popular-de-reyes-los-lirios-2024/20243257/,"La Rioja, Logroño",Cross,11200 m,la-rioja,2023
D-21,Enero,10K La Rioja Hace Equipo,https://runedia.mundodeportivo.com/carrera/10k-la-rioja-hace-equipo-2024/202411251/,"La Rioja, La Rioja",Asfalto,10000 m,la-rioja,2023
S-17,Febrero,Cross Popular Ciudad de Logroño,https://runedia.mundodeportivo.com/carrera/cross-popular-ciudad-de-logrono-2024/202413146/,"La Rioja, Logroño",Cross,8050 m,la-rioja,2023
D-25,Febrero,Duatlón Cuna de Mi Lengua-Berceo,https://runedia.mundodeportivo.com/carrera/duatlon-cuna-de-mi-lengua-berceo-2024/202413739/,"La Rioja, Berceo",Duatlón,13500 m,la-rioja,2023
D-25,Febrero,Marcha Ogrito,https://runedia.mundodeportivo.com/carrera/marcha-ogrito-2024/202413767/,"La Rioja, Autol",Caminata,18700 m,la-rioja,2023
D-25,Febrero,Corre por una causa - Logroño - 10k,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-logrono-10k-2024/202413717/,"La Rioja, Logroño",Asfalto,10000 m,la-rioja,2023
D-25,Febrero,Corre por una causa Entreculturas - 5k,https://runedia.mundodeportivo.com/carrera/corre-por-una-causa-entreculturas-5k-2024/202413718/,"La Rioja, Logroño",Asfalto,5000 m,la-rioja,2023
D-25,Febrero,Maratón Ogro,https://runedia.mundodeportivo.com/carrera/maraton-ogro-2024/202413761/,"La Rioja, Autol",Montaña,42000 m,la-rioja,2023
D-25,Febrero,Trail Ogrito,https://runedia.mundodeportivo.com/carrera/trail-ogrito-2024/202413815/,"La Rioja, Autol",Montaña,18200 m,la-rioja,2023
V-1,Marzo,Nájera Xtrem Peque Marcha,https://runedia.mundodeportivo.com/carrera/najera-xtrem-peque-marcha-2024/202413863/,"La Rioja, Nájera",Travesía,4000 m,la-rioja,2023
V-1,Marzo,Nájera Xtrem Cuna de Reyes - Larga,https://runedia.mundodeportivo.com/carrera/najera-xtrem-cuna-de-reyes-larga-2024/202413861/,"La Rioja, Nájera",Montaña,14000 m,la-rioja,2023
