dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-19,Febrero,Carrera de entreculturas - Corre por una causa - Madrid - 1000m,https://runedia.mundodeportivo.com/carrera/carrera-de-entreculturas-corre-por-una-causa-madrid-1000m-2022/202213335/,"Madrid, Madrid",Asfalto,1000 m,madrid,2022
S-19,Febrero,Cross Solidario Fundación Liceo Europeo 8k,https://runedia.mundodeportivo.com/carrera/cross-solidario-fundacion-liceo-europeo-8k-2022/202213379/,"Madrid, Valdebebas",Cross,8000 m,madrid,2022
S-19,Febrero,Carrera y Marcha Solidaria Almenar,https://runedia.mundodeportivo.com/carrera/carrera-y-marcha-solidaria-almenar-2022/202213346/,"Madrid, Toledo",Asfalto,6000 m,madrid,2022
D-20,Febrero,Tactika Trail Torrelaguna - Larga,https://runedia.mundodeportivo.com/carrera/tactika-trail-torrelaguna-larga-2022/202213766/,"Madrid, Torrelaguna",Montaña,25270 m,madrid,2022
,Febrero,Corre por Siria - 10km,https://runedia.mundodeportivo.com/carrera/corre-por-siria-10km-2022/202213594/,"Madrid, Madrid",Asfalto,10000 m,madrid,2022
D-20,Febrero,Rally BTT Galapagar - Rally de los embalses - Corta 30k,https://runedia.mundodeportivo.com/carrera/rally-btt-galapagar-rally-de-los-embalses-corta-30k-2022/202213721/,"Madrid, Galapagar",Btt,30000 m,madrid,2022
D-20,Febrero,Hard Running Valdemoro,https://runedia.mundodeportivo.com/carrera/hard-running-valdemoro-2022/202213642/,"Madrid, Valdemoro",Obstáculos,7000 m,madrid,2022
D-20,Febrero,Corre por l@s Huérfan@s de la Violencia de Género - 10km,https://runedia.mundodeportivo.com/carrera/corre-por-ls-huerfans-de-la-violencia-de-genero-10km-2022/202212163/,"Madrid, Madrid",Asfalto,10000 m,madrid,2022
D-20,Febrero,CURSO INICIACION A LA MONTAÑA Y ORIENTACION | SENDERISMO & TREKKING,https://runedia.mundodeportivo.com/carrera/curso-iniciacion-a-la-montana-y-orientacion-senderismo-trekking-2022/202254295/,"Madrid, Torremocha del Jarama",Montaña,10000 m,madrid,2022
D-20,Febrero,Duatlon de Rivas,https://runedia.mundodeportivo.com/carrera/duatlon-de-rivas-2022/20223794/,"Madrid, Rivas Vaciamadrid",Duatlón,27500 m,madrid,2022
