dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-17,Mayo,Carrera Solidaria Colegio Santa Maria de la Paz,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-colegio-santa-maria-de-la-paz-2015/201529353/,"Murcia, Murcia",Asfalto,5250 m,murcia,2015
D-17,Mayo,Subida a la Santa de Totana Solidaria con las enfermedades raras,https://runedia.mundodeportivo.com/carrera/subida-a-la-santa-de-totana-solidaria-con-las-enfermedades-raras-2015/20151997/,"Murcia, Totana",Asfalto,7330 m,murcia,2015
V-22,Mayo,Brevet Randonneur 600K Cartagena,https://runedia.mundodeportivo.com/carrera/brevet-randonneur-600k-cartagena-2015/201515667/,"Murcia, La Aljorra",Bici Carretera,600000 m,murcia,2015
S-23,Mayo,Cross Popular de Alumbres,https://runedia.mundodeportivo.com/carrera/cross-popular-de-alumbres-2015/201516598/,"Murcia, Alumbres",Cross,6000 m,murcia,2015
S-23,Mayo,Carrera popular Villa de Abanilla,https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-abanilla-2015/20151874/,"Murcia, Abanilla",Asfalto,9900 m,murcia,2015
S-23,Mayo,"Prueba Cicloturista Internacional ""Sierras de Moratalla""",https://runedia.mundodeportivo.com/carrera/prueba-cicloturista-internacional-sierras-de-moratalla-2015/201516696/,"Murcia, Moratalla",Bici Carretera,104000 m,murcia,2015
D-24,Mayo,Marcha Btt La Rockera del Coto,https://runedia.mundodeportivo.com/carrera/marcha-btt-la-rockera-del-coto-2015/201529383/,"Murcia, Pantano de Santomera",Btt,38000 m,murcia,2015
S-30,Mayo,Al-Mudayna Triathlon,https://runedia.mundodeportivo.com/carrera/al-mudayna-triathlon-2015/201521761/,"Murcia, Caravaca de la Cruz",Triatlón,113000 m,murcia,2015
S-30,Mayo,Carrera Popular de Cazalla,https://runedia.mundodeportivo.com/carrera/carrera-popular-de-cazalla-2015/201517090/,"Murcia, Cazalla - Lorca",Asfalto,5000 m,murcia,2015
S-30,Mayo,Media maraton montaña memorial Antonio de Béjar,https://runedia.mundodeportivo.com/carrera/media-maraton-montana-memorial-antonio-de-bejar-2015/20151873/,"Murcia, Calasparra",Montaña,21097 m,murcia,2015
D-31,Mayo,Marcha Ciclista Región de Murcia,https://runedia.mundodeportivo.com/carrera/marcha-ciclista-region-de-murcia-2015/201517456/,"Murcia, Murcia",Asfalto,107000 m,murcia,2015
D-31,Mayo,Triatlón Bahía de Mazarrón,https://runedia.mundodeportivo.com/carrera/triatlon-bahia-de-mazarron-2015/201517328/,"Murcia, Mazarrón",Triatlón,25750 m,murcia,2015
D-31,Mayo,Carrera por montaña Pliego,https://runedia.mundodeportivo.com/carrera/carrera-por-montana-pliego-2015/201529436/,"Murcia, Pliego",Montaña,18000 m,murcia,2015
V-5,Junio,Brevet Randonneur 1000K Cartagena,https://runedia.mundodeportivo.com/carrera/brevet-randonneur-1000k-cartagena-2015/201517579/,"Murcia, La Aljorra",Bici Carretera,1000000 m,murcia,2015
S-6,Junio,Carrera popular Villa de campos del Río,https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-campos-del-rio-2015/20151878/,"Murcia, Campos del Río",Asfalto,6500 m,murcia,2015
S-6,Junio,80 K Nocturnos Vía Verde del Noroeste,https://runedia.mundodeportivo.com/carrera/80-k-nocturnos-via-verde-del-noroeste-2015/201517626/,"Murcia, Molina de Segura",Montaña,80000 m,murcia,2015
D-7,Junio,Marcha MTB Paraíso Extreme,https://runedia.mundodeportivo.com/carrera/marcha-mtb-paraiso-extreme-2015/201518020/,"Murcia, Cartagena",Btt,60000 m,murcia,2015
D-7,Junio,Carrera Popular Villa de Alguazas,https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-alguazas-2015/201517256/,"Murcia, Alguazas",Asfalto,10000 m,murcia,2015
D-7,Junio,Carrera Travesía del Litoral Águilas,https://runedia.mundodeportivo.com/carrera/carrera-travesia-del-litoral-aguilas-2015/201517262/,"Murcia, Águias",Travesía,10000 m,murcia,2015
S-13,Junio,VI Carrera Popular Barrio de San Antonio,https://runedia.mundodeportivo.com/carrera/vi-carrera-popular-barrio-de-san-antonio-2015/201518358/,"Murcia, Molina de Segura",Asfalto,5000 m,murcia,2015
S-13,Junio,Carrera del Fuego (Fiestas San Juan),https://runedia.mundodeportivo.com/carrera/carrera-del-fuego-fiestas-san-juan-2015/20151909/,"Murcia, Alquerias",Asfalto,10000 m,murcia,2015
S-13,Junio,Carrera popular Lobolsillo,https://runedia.mundodeportivo.com/carrera/carrera-popular-lobolsillo-2015/201518205/,"Murcia, Lobosillo",Asfalto,7000 m,murcia,2015
,Junio,Triatlón Ciudad de Cehegin,https://runedia.mundodeportivo.com/carrera/triatlon-ciudad-de-cehegin-2015/201518359/,"Murcia, Cehegín",Triatlón,40000 m,murcia,2015
S-13,Junio,Cross Popular Cartagena Oeste,https://runedia.mundodeportivo.com/carrera/cross-popular-cartagena-oeste-2015/201518262/,"Murcia, Molinos Marfagones",Cross,6500 m,murcia,2015
S-13,Junio,Cross paraiso Extreme,https://runedia.mundodeportivo.com/carrera/cross-paraiso-extreme-2015/201517909/,"Murcia, playa paraiso Cartagena",Cross,7000 m,murcia,2015
S-13,Junio,Carrera benéfica asociación Alzheimer AFAD,https://runedia.mundodeportivo.com/carrera/carrera-benefica-asociacion-alzheimer-afad-2015/201529522/,"Murcia, Molina",Asfalto,10000 m,murcia,2015
D-14,Junio,II Quedada Running Girls,https://runedia.mundodeportivo.com/carrera/ii-quedada-running-girls-2015/201518571/,"Murcia, Puerto de San Pedro del Pinatar",Otros,7000 m,murcia,2015
D-14,Junio,Carrera popular la Flota,https://runedia.mundodeportivo.com/carrera/carrera-popular-la-flota-2015/201529514/,"Murcia, Murcia",Asfalto,10000 m,murcia,2015
D-14,Junio,Cross popular vuelta al Mejuo,https://runedia.mundodeportivo.com/carrera/cross-popular-vuelta-al-mejuo-2015/201518430/,"Murcia, Cieza",Cross,10000 m,murcia,2015
S-20,Junio,Carrera Popular Nocturna Ruta de las Iglesias,https://runedia.mundodeportivo.com/carrera/carrera-popular-nocturna-ruta-de-las-iglesias-2015/201518755/,"Murcia, Cehegin",Asfalto,12500 m,murcia,2015
S-20,Junio,Pinatarius 7 km Obstaculum Cursus,https://runedia.mundodeportivo.com/carrera/pinatarius-7-km-obstaculum-cursus-2015/20151879/,"Murcia, San Pedro del Pinatar",Obstáculos,7000 m,murcia,2015
D-21,Junio,Acuatlón Ciudad de Cieza,https://runedia.mundodeportivo.com/carrera/acuatlon-ciudad-de-cieza-2015/201518965/,"Murcia, Cieza",Acuatlón,6000 m,murcia,2015
D-21,Junio,Challenger BLP Murcia,https://runedia.mundodeportivo.com/carrera/challenger-blp-murcia-2015/201518915/,"Murcia, Murcia",Btt,35600 m,murcia,2015
D-21,Junio,"10 Km ""Fiestas Barrio Sagrado Corazón""",https://runedia.mundodeportivo.com/carrera/10-km-fiestas-barrio-sagrado-corazon-2015/201518880/,"Murcia, Molina de Segura",Asfalto,10000 m,murcia,2015
D-21,Junio,Carrera popular fiestas de San Juan - Barrio de la viña,https://runedia.mundodeportivo.com/carrera/carrera-popular-fiestas-de-san-juan-barrio-de-la-vina-2015/20151912/,"Murcia, Lorca",Asfalto,5000 m,murcia,2015
S-27,Junio,10km fiestas de San Pedro,https://runedia.mundodeportivo.com/carrera/10km-fiestas-de-san-pedro-2015/20151908/,"Murcia, Blanca",Asfalto,10000 m,murcia,2015
D-28,Junio,Bike Maratón Memorial Luis Fernandez de Paco,https://runedia.mundodeportivo.com/carrera/bike-maraton-memorial-luis-fernandez-de-paco-2015/201519373/,"Murcia, Cehegín",Btt,44000 m,murcia,2015
M-30,Junio,Carrera popular ayuntamiento de fuente Álamo,https://runedia.mundodeportivo.com/carrera/carrera-popular-ayuntamiento-de-fuente-alamo-2015/20151875/,"Murcia, Fuente Álamo",Asfalto,6000 m,murcia,2015
