dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-21,Mayo,Carrera Solidaria Villa de Allo - 10K,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-villa-de-allo-10k-2023/202325751/,"Navarra, Allo",Asfalto,10000 m,navarra,2023
D-21,Mayo,AtarraBi trail - Bimendi,https://runedia.mundodeportivo.com/carrera/atarrabi-trail-bimendi-2023/202327215/,"Navarra, Villava",Montaña,14000 m,navarra,2023
S-3,Junio,Irati Trail Motza,https://runedia.mundodeportivo.com/carrera/irati-trail-motza-2023/202328598/,"Navarra, Casas de Irati",Montaña,13000 m,navarra,2023
S-3,Junio,BTT Roscas Fitero,https://runedia.mundodeportivo.com/carrera/btt-roscas-fitero-2023/202327242/,"Navarra, Fitero",Btt,50000 m,navarra,2023
S-3,Junio,Euskal Herria Mendi Erronka,https://runedia.mundodeportivo.com/carrera/euskal-herria-mendi-erronka-2023/202327412/,"Navarra, Leitza",Montaña,67000 m,navarra,2023
S-3,Junio,Irati Trail,https://runedia.mundodeportivo.com/carrera/irati-trail-2023/202328597/,"Navarra, Casas de Irati",Montaña,30000 m,navarra,2023
D-4,Junio,Roller Maraton Ciudad de Pamplona - 21k,https://runedia.mundodeportivo.com/carrera/roller-maraton-ciudad-de-pamplona-21k-2023/202328989/,"Navarra, Pamplona",Otros,21000 m,navarra,2023
D-4,Junio,Trail Peña de Andosilla corta 7k,https://runedia.mundodeportivo.com/carrera/trail-pena-de-andosilla-corta-7k-2023/202327050/,"Navarra, Andosilla",Montaña,7000 m,navarra,2023
D-4,Junio,Farinato Race Pamplona,https://runedia.mundodeportivo.com/carrera/farinato-race-pamplona-2023/202328493/,"Navarra, Pamplona",Otros,5000 m,navarra,2023
D-4,Junio,Cross Lantzeluze,https://runedia.mundodeportivo.com/carrera/cross-lantzeluze-2023/202328405/,"Navarra, Berriozar",Cross,7000 m,navarra,2023
D-4,Junio,Trail Peña de Andosilla larga 18k,https://runedia.mundodeportivo.com/carrera/trail-pena-de-andosilla-larga-18k-2023/202327051/,"Navarra, Andosilla",Montaña,18000 m,navarra,2023
D-4,Junio,Roller Maraton Ciudad de Pamplona - 10k,https://runedia.mundodeportivo.com/carrera/roller-maraton-ciudad-de-pamplona-10k-2023/202328988/,"Navarra, Pamplona",Otros,10000 m,navarra,2023
S-10,Junio,10k San Cristobal Xtrem - Memorial Subtte Casanova,https://runedia.mundodeportivo.com/carrera/10k-san-cristobal-xtrem-memorial-subtte-casanova-2023/202326671/,"Navarra, Berrioplano",Montaña,10000 m,navarra,2023
S-10,Junio,SANCRISTOBALXTREM,https://runedia.mundodeportivo.com/carrera/sancristobalxtrem-2023/202327836/,"Navarra, BERRIOPLANO",Montaña,21206 m,navarra,2023
S-10,Junio,Irati Xtrem BTT,https://runedia.mundodeportivo.com/carrera/irati-xtrem-btt-2023/202342243/,"Navarra, Otsagabia",Btt,72000 m,navarra,2023
S-10,Junio,10km del Soto Pablo Ariza,https://runedia.mundodeportivo.com/carrera/10km-del-soto-pablo-ariza-2023/202329358/,"Navarra, Azagra",Tierra,10000 m,navarra,2023
S-10,Junio,Medio Maratón de Montaña San Cristobal Xtrem - Memorial Subtte Casanova,https://runedia.mundodeportivo.com/carrera/medio-maraton-de-montana-san-cristobal-xtrem-memorial-subtte-casanova-2023/202327689/,"Navarra, Berrioplano",Montaña,21000 m,navarra,2023
S-10,Junio,Irati Xtrem,https://runedia.mundodeportivo.com/carrera/irati-xtrem-2023/202329614/,"Navarra, Ochagavia",Bici Carretera,128000 m,navarra,2023
D-11,Junio,Iruña MTB Pamplona (Larga),https://runedia.mundodeportivo.com/carrera/iruna-mtb-pamplona-larga-2023/202330159/,"Navarra, Sarriguen / Pamplona",Btt,62000 m,navarra,2023
D-11,Junio,Travesia B.T.T. Altsasu-Alsasua,https://runedia.mundodeportivo.com/carrera/travesia-btt-altsasu-alsasua-2023/202330458/,"Navarra, Alsasua",Btt,50000 m,navarra,2023
D-11,Junio,Lakuntza-Aralar Mendi Lasterketa Luzea,https://runedia.mundodeportivo.com/carrera/lakuntza-aralar-mendi-lasterketa-luzea-2023/20231828/,"Navarra, Lakuntza",Montaña,26000 m,navarra,2023
