Año;CCAA;PIB_anual;PIB_capita;Renta media por persona (con alquiler imputado);Renta media por unidad de consumo;Renta media por unidad de consumo (con alquiler imputado);Renta neta media por persona;Total_paro;busquedas_running
2000;Andalucia;86.332;11.823;;;;;;
2000;Aragon;20.043;16.692;;;;;;
2000;Asturias;14.267;13.382;;;;;;
2000;Canarias;25.962;15.57;;;;;;
2000;Cantabria;7.945;14.891;;;;;;
2000;CastillaLeon;35.646;14.445;;;;;;
2000;CastillaLaMancha;21.714;12.431;;;;;;
2000;Catalunya;122.057;19.383;;;;;;
2000;Ceuta;1.017;14.35;;;;;;
2000;ComunidadValenciana;62.532;15.185;;;;;;
2000;Madrid;114.203;21.333;;;;;;
2000;Extremadura;10.745;10.145;;;;;;
2000;Galicia;33.391;12.372;;;;;;
2000;Baleares;16.493;20.03;;;;;;
2000;LaRioja;4.89;17.813;;;;;;
2000;Melilla;921.0;14.132;;;;;;
2000;Navarra;11.157;20.287;;;;;;
2000;PaisVasco;40.711;19.542;;;;;;
2000;Murcia;15.676;13.328;;;;;;
2001;Andalucia;93.964;12.799;;;;;;
2001;Aragon;21.935;18.231;;;;;;
2001;Asturias;15.253;14.34;;;;;;
2001;Canarias;27.237;16.143;;;;;;
2001;Cantabria;8.636;16.156;;;;;;
2001;CastillaLeon;37.94;15.429;;;;;;
2001;CastillaLaMancha;24.3;13.834;;;;;;
2001;Catalunya;132.816;20.979;;;;;;
2001;Ceuta;986.0;13.813;;;;;;
2001;ComunidadValenciana;68.573;16.521;;;;;;
2001;Madrid;123.638;22.875;;;;;;
2001;Extremadura;11.906;11.25;;;;;;
2001;Galicia;36.029;13.364;;;;;;
2001;Baleares;17.868;21.35;;;;;;
2001;LaRioja;5.273;19.093;;;;;;
2001;Melilla;907.0;13.708;;;;;;
2001;Navarra;12.052;21.747;;;;;;
2001;PaisVasco;43.515;20.895;;;;;;
2001;Murcia;17.524;14.704;;;;;;
2002;Andalucia;101.269;13.617;;;;;20.15;
2002;Andalucia;101.269;13.617;;;;;20.26;
2002;Andalucia;101.269;13.617;;;;;18.62;
2002;Andalucia;101.269;13.617;;;;;18.95;
2002;Aragon;23.733;19.492;;;;;6.54;
2002;Aragon;23.733;19.492;;;;;5.57;
2002;Aragon;23.733;19.492;;;;;5.86;
2002;Aragon;23.733;19.492;;;;;5.42;
2002;Asturias;16.132;15.188;;;;;10.12;
2002;Asturias;16.132;15.188;;;;;9.67;
2002;Asturias;16.132;15.188;;;;;10.28;
2002;Asturias;16.132;15.188;;;;;9.15;
2002;Canarias;29.102;16.815;;;;;11.32;
2002;Canarias;29.102;16.815;;;;;11.11;
2002;Canarias;29.102;16.815;;;;;11.33;
2002;Canarias;29.102;16.815;;;;;10.57;
2002;Cantabria;9.209;17.099;;;;;10.58;
2002;Cantabria;9.209;17.099;;;;;10.25;
2002;Cantabria;9.209;17.099;;;;;9.73;
2002;Cantabria;9.209;17.099;;;;;9.54;
2002;CastillaLeon;40.241;16.371;;;;;10.15;
2002;CastillaLeon;40.241;16.371;;;;;10.23;
2002;CastillaLeon;40.241;16.371;;;;;10.65;
2002;CastillaLeon;40.241;16.371;;;;;10.83;
2002;CastillaLaMancha;26.094;14.677;;;;;9.85;
2002;CastillaLaMancha;26.094;14.677;;;;;9.17;
2002;CastillaLaMancha;26.094;14.677;;;;;9.35;
2002;CastillaLaMancha;26.094;14.677;;;;;9.72;
2002;Catalunya;141.683;21.898;;;;;10.61;
2002;Catalunya;141.683;21.898;;;;;9.78;
2002;Catalunya;141.683;21.898;;;;;9.53;
2002;Catalunya;141.683;21.898;;;;;10.76;
2002;Ceuta;1.04;14.68;;;;;5.7;
2002;Ceuta;1.04;14.68;;;;;7.73;
2002;Ceuta;1.04;14.68;;;;;7.66;
2002;Ceuta;1.04;14.68;;;;;7.01;
2002;ComunidadValenciana;73.369;17.246;;;;;10.71;
2002;ComunidadValenciana;73.369;17.246;;;;;11.29;
2002;ComunidadValenciana;73.369;17.246;;;;;11.19;
2002;ComunidadValenciana;73.369;17.246;;;;;10.07;
2002;Madrid;132.945;23.904;;;;;6.99;
2002;Madrid;132.945;23.904;;;;;7.75;
2002;Madrid;132.945;23.904;;;;;6.96;
2002;Madrid;132.945;23.904;;;;;7.49;
2002;Extremadura;12.697;12.0;;;;;18.91;
2002;Extremadura;12.697;12.0;;;;;19.09;
2002;Extremadura;12.697;12.0;;;;;18.38;
2002;Extremadura;12.697;12.0;;;;;19.79;
2002;Galicia;38.441;14.24;;;;;11.89;
2002;Galicia;38.441;14.24;;;;;11.26;
2002;Galicia;38.441;14.24;;;;;12.05;
