Año,CCAA,Renta neta media por persona,Total_paro,busquedas_running,Income_Group,Unemp_Group,Search_Group
2008,Andalucia,9.007,21.66,69.0,Low,High,Medium
2008,Aragon,11.485,9.71,60.0,Medium,Low,Low
2008,Asturias,11.88,10.0,82.0,High,Medium,Medium
2008,Canarias,8.902,20.99,65.0,Low,High,Low
2008,CastillaLeon,10.488,11.4,73.0,Medium,Medium,Medium
2008,Catalunya,12.436,11.75,84.0,High,Medium,High
2008,ComunidadValenciana,9.864,14.58,100.0,Medium,Medium,High
2008,Madrid,12.496,10.02,76.0,High,Medium,Medium
2008,Galicia,9.482,9.64,83.0,Medium,Low,High
2008,PaisVasco,14.038,8.48,77.0,High,Low,Medium
2008,Murcia,9.119,15.29,69.0,Medium,Medium,Medium
2009,Andalucia,9.406,26.27,58.0,Low,High,Low
2009,Aragon,12.411,13.57,86.0,Medium,Low,High
2009,Asturias,12.63,14.13,82.0,High,Medium,High
2009,Canarias,8.932,26.77,46.0,Low,High,Low
2009,CastillaLeon,11.147,14.21,73.0,Medium,Medium,Medium
2009,CastillaLaMancha,9.631,19.29,76.0,Medium,Medium,Medium
2009,Catalunya,12.733,16.9,76.0,High,Medium,Medium
2009,ComunidadValenciana,10.502,22.09,74.0,Medium,High,Medium
2009,Madrid,13.564,14.48,61.0,High,Medium,Medium
2009,Galicia,10.026,12.8,62.0,Medium,Low,Medium
2009,Navarra,14.175,10.51,100.0,High,Low,High
2009,PaisVasco,14.838,12.13,64.0,High,Low,Medium
2009,Murcia,9.15,21.84,45.0,Low,High,Low
2010,Andalucia,9.293,28.04,38.0,Low,High,Low
2010,Aragon,11.968,16.29,53.0,Medium,Medium,High
2010,Asturias,12.589,16.61,46.0,High,Medium,Medium
2010,Canarias,9.202,28.78,32.0,Low,High,Low
2010,CastillaLeon,10.946,15.78,45.0,Medium,Medium,Medium
2010,CastillaLaMancha,9.892,21.72,39.0,Medium,Medium,Medium
2010,Catalunya,12.89,17.86,47.0,High,Medium,Medium
2010,ComunidadValenciana,10.555,22.57,50.0,Medium,Medium,High
2010,Madrid,13.436,15.54,41.0,High,Low,Medium
2010,Galicia,10.504,15.62,43.0,Medium,Medium,Medium
2010,LaRioja,10.756,15.58,100.0,Medium,Low,High
2010,Navarra,14.276,11.77,38.0,High,Low,Low
2010,PaisVasco,14.468,10.98,39.0,High,Low,Medium
2010,Murcia,8.818,24.45,47.0,Low,High,Medium
2011,Andalucia,8.764,31.01,61.0,Low,High,Medium
2011,Aragon,11.657,16.8,83.0,Medium,Low,High
2011,Asturias,11.779,18.84,60.0,Medium,Medium,Low
2011,Canarias,8.61,30.33,62.0,Low,High,Medium
2011,Cantabria,10.495,15.92,63.0,Medium,Low,Medium
2011,CastillaLeon,10.841,17.21,61.0,Medium,Low,Medium
2011,CastillaLaMancha,9.105,24.53,67.0,Low,Medium,Medium
2011,Catalunya,12.209,20.4,91.0,High,Medium,High
2011,ComunidadValenciana,10.236,24.83,100.0,Medium,Medium,High
2011,Madrid,13.192,17.96,77.0,High,Medium,High
2011,Extremadura,8.725,28.33,51.0,Low,High,Low
2011,Galicia,10.37,18.17,53.0,Medium,Medium,Low
2011,Baleares,11.126,25.49,68.0,Medium,Medium,Medium
2011,LaRioja,10.712,18.61,55.0,Medium,Medium,Low
2011,Navarra,14.301,13.8,72.0,High,Low,Medium
2011,PaisVasco,14.046,13.16,68.0,High,Low,Medium
2011,Murcia,8.437,26.31,74.0,Low,High,Medium
2012,Andalucia,8.845,35.71,49.0,Low,High,Low
2012,Aragon,11.904,18.72,68.0,High,Low,High
2012,Asturias,11.767,23.82,58.0,Medium,Medium,Medium
2012,Canarias,8.423,32.6,51.0,Low,High,Medium
2012,Cantabria,10.388,19.19,64.0,Medium,Low,Medium
2012,CastillaLeon,10.855,20.74,54.0,Medium,Medium,Medium
2012,CastillaLaMancha,8.878,30.07,54.0,Low,High,Medium
2012,Catalunya,12.199,23.81,100.0,High,Medium,High
2012,ComunidadValenciana,9.965,27.62,82.0,Medium,Medium,High
2012,Madrid,13.155,19.32,67.0,High,Medium,High
2012,Extremadura,8.238,33.97,47.0,Low,High,Low
2012,Galicia,10.266,21.13,46.0,Medium,Medium,Low
2012,Baleares,11.005,24.3,65.0,Medium,Medium,Medium
2012,LaRioja,11.27,18.82,40.0,Medium,Low,Low
2012,Navarra,14.041,17.17,58.0,High,Low,Medium
2012,PaisVasco,13.857,16.6,52.0,High,Low,Medium
2012,Murcia,8.474,29.37,58.0,Low,Medium,Medium
2013,Andalucia,8.408,36.26,58.0,Low,High,Low
2013,Aragon,12.022,20.59,73.0,High,Medium,Medium
2013,Asturias,11.211,22.29,64.0,Medium,Medium,Medium
2013,Canarias,8.513,33.09,56.0,Low,High,Low
2013,Cantabria,9.843,19.81,75.0,Medium,Low,Medium
2013,CastillaLeon,10.76,22.02,78.0,Medium,Medium,Medium
2013,CastillaLaMancha,8.425,28.99,62.0,Low,Medium,Medium
2013,Catalunya,12.111,21.87,100.0,High,Medium,High
2013,ComunidadValenciana,9.375,27.15,97.0,Medium,Medium,High
2013,Madrid,12.823,20.45,70.0,High,Low,Medium
2013,Extremadura,8.224,32.4,56.0,Low,High,Low
2013,Galicia,10.106,21.88,58.0,Medium,Medium,Low
2013,Baleares,10.386,22.72,71.0,Medium,Medium,Medium
2013,LaRioja,10.686,20.24,56.0,Medium,Low,Low
2013,Melilla,11.313,33.79,98.0,Medium,High,High
2013,Navarra,13.608,16.44,85.0,High,Low,High
2013,PaisVasco,14.312,16.58,74.0,High,Low,Medium
2013,Murcia,8.253,28.5,80.0,Low,Medium,High
2014,Andalucia,8.079,34.23,73.0,Low,High,Low
2014,Aragon,12.037,18.65,94.0,High,Medium,High
2014,Asturias,11.251,20.78,86.0,Medium,Medium,Medium
2014,Canarias,8.302,31.08,62.0,Low,High,Low
2014,Cantabria,9.824,18.42,82.0,Medium,Low,Medium
2014,CastillaLeon,10.406,20.28,79.0,Medium,Medium,Medium
2014,CastillaLaMancha,8.545,28.5,78.0,Low,Medium,Medium
2014,Catalunya,12.205,19.88,94.0,High,Medium,High
2014,Ceuta,8.712,32.46,95.0,Medium,High,High
2014,ComunidadValenciana,9.144,23.48,100.0,Medium,Medium,High
2014,Madrid,12.597,18.0,79.0,High,Low,Medium
2014,Extremadura,7.729,29.96,68.0,Low,High,Low
2014,Galicia,10.235,20.87,69.0,Medium,Medium,Low
2014,Baleares,10.66,18.88,77.0,Medium,Medium,Medium
2014,LaRioja,11.12,17.17,69.0,Medium,Low,Low
2014,Melilla,11.619,29.52,76.0,Medium,High,Medium
2014,Navarra,13.221,14.92,76.0,High,Low,Medium
2014,PaisVasco,14.281,16.6,78.0,High,Low,Medium
2014,Murcia,7.767,27.26,94.0,Low,Medium,High
2015,Andalucia,7.942,29.83,71.0,Low,High,Medium
2015,Aragon,12.427,14.6,95.0,High,Low,High
2015,Asturias,11.427,20.33,78.0,Medium,Medium,Medium
2015,Canarias,8.64,26.75,60.0,Medium,High,Low
2015,Cantabria,10.494,17.71,72.0,Medium,Medium,Medium
2015,CastillaLeon,10.57,17.58,73.0,Medium,Medium,Medium
2015,CastillaLaMancha,8.498,24.97,76.0,Low,High,Medium
2015,Catalunya,12.283,17.73,82.0,High,Medium,High
2015,Ceuta,8.512,23.25,70.0,Low,Medium,Low
2015,ComunidadValenciana,9.098,21.45,95.0,Medium,Medium,High
2015,Madrid,12.534,16.51,75.0,High,Low,Medium
2015,Extremadura,8.469,28.07,65.0,Low,High,Low
2015,Galicia,10.212,17.74,70.0,Medium,Medium,Low
2015,Baleares,10.828,17.02,71.0,Medium,Medium,Medium
2015,LaRioja,11.132,13.97,69.0,Medium,Low,Low
2015,Melilla,10.027,32.64,100.0,Medium,High,High
2015,Navarra,13.3,13.53,76.0,High,Low,Medium
2015,PaisVasco,13.836,12.89,77.0,High,Low,Medium
2015,Murcia,7.924,23.51,79.0,Low,Medium,High
2016,Andalucia,8.398,28.25,68.0,Low,High,Medium
2016,Aragon,11.649,13.53,100.0,Medium,Low,High
2016,Asturias,12.06,14.59,60.0,Medium,Medium,Low
2016,Canarias,8.702,24.9,59.0,Low,High,Low
2016,Cantabria,10.67,12.89,66.0,Medium,Low,Medium
2016,CastillaLeon,10.815,14.81,69.0,Medium,Medium,Medium
2016,CastillaLaMancha,8.731,22.14,76.0,Low,Medium,Medium
2016,Catalunya,12.66,14.85,75.0,High,Medium,Medium
2016,Ceuta,9.435,22.39,75.0,Medium,High,Medium
2016,ComunidadValenciana,9.265,19.15,92.0,Medium,Medium,High
2016,Madrid,12.647,14.6,76.0,High,Medium,Medium
2016,Extremadura,8.674,28.31,62.0,Low,High,Low
2016,Galicia,10.439,16.29,60.0,Medium,Medium,Low
2016,Baleares,12.222,13.8,65.0,High,Medium,Medium
2016,LaRioja,11.589,10.9,58.0,Medium,Low,Low
2016,Melilla,10.883,27.38,69.0,Medium,High,Medium
2016,Navarra,13.408,10.01,71.0,High,Low,Medium
2016,PaisVasco,14.345,12.27,77.0,High,Low,High
2016,Murcia,8.273,18.58,77.0,Low,Medium,High
2017,Andalucia,9.116,24.43,79.0,Low,High,Medium
2017,Aragon,12.11,11.37,92.0,Medium,Low,High
2017,Asturias,12.244,14.64,66.0,Medium,Medium,Low
2017,Canarias,8.863,22.04,63.0,Low,High,Low
2017,Cantabria,11.293,13.49,72.0,Medium,Medium,Medium
2017,CastillaLeon,11.239,13.71,74.0,Medium,Medium,Medium
2017,CastillaLaMancha,9.045,19.74,76.0,Low,Medium,Medium
2017,Catalunya,12.712,12.63,83.0,High,Medium,Medium
2017,Ceuta,9.676,26.03,88.0,Medium,High,High
2017,ComunidadValenciana,9.801,16.76,89.0,Medium,Medium,High
2017,Madrid,13.099,13.75,79.0,High,Medium,Medium
2017,Extremadura,8.25,25.12,69.0,Low,High,Medium
2017,Galicia,10.753,14.71,67.0,Medium,Medium,Low
2017,Baleares,12.665,12.61,68.0,High,Low,Low
2017,LaRioja,12.131,11.51,69.0,Medium,Low,Medium
2017,Melilla,10.161,24.62,100.0,Medium,High,High
2017,Navarra,13.583,9.63,81.0,High,Low,Medium
2017,PaisVasco,14.397,10.57,82.0,High,Low,Medium
2017,Murcia,8.702,17.21,87.0,Low,Medium,High
2018,Andalucia,9.258,21.26,82.0,Low,High,Medium
2018,Aragon,11.99,11.11,87.0,Medium,Medium,High
2018,Asturias,12.085,12.86,59.0,Medium,Medium,Low
2018,Canarias,8.964,19.99,64.0,Low,High,Low
2018,Cantabria,11.239,9.68,66.0,Medium,Low,Medium
2018,CastillaLeon,11.949,11.21,65.0,Medium,Medium,Medium
2018,CastillaLaMancha,9.533,16.16,73.0,Low,Medium,Medium
2018,Catalunya,13.338,11.75,82.0,High,Medium,Medium
2018,Ceuta,9.784,24.02,74.0,Medium,High,Medium
2018,ComunidadValenciana,10.232,14.3,90.0,Medium,Medium,High
2018,Madrid,13.279,11.54,73.0,High,Medium,Medium
2018,Extremadura,8.503,23.1,65.0,Low,High,Medium
2018,Galicia,11.239,12.04,61.0,Medium,Medium,Low
2018,Baleares,13.24,10.91,67.0,High,Low,Medium
2018,LaRioja,12.029,10.3,62.0,Medium,Low,Low
2018,Melilla,12.507,23.85,100.0,Medium,High,High
2018,Navarra,13.585,9.99,78.0,High,Low,Medium
2018,PaisVasco,14.722,9.58,76.0,High,Low,Medium
2018,Murcia,9.111,15.83,83.0,Low,Medium,High
2019,Andalucia,9.16,20.8,89.0,Low,High,Medium
2019,Aragon,12.3,9.93,94.0,Medium,Low,High
2019,Asturias,12.523,13.14,72.0,Medium,Medium,Low
2019,Canarias,9.487,18.78,74.0,Low,High,Medium
2019,Cantabria,12.205,11.18,74.0,Medium,Medium,Medium
2019,CastillaLeon,12.003,11.2,80.0,Medium,Medium,Medium
2019,CastillaLaMancha,9.715,16.56,85.0,Low,Medium,Medium
2019,Catalunya,13.527,10.45,91.0,High,Medium,Medium
2019,Ceuta,10.164,27.58,89.0,Medium,High,Medium
2019,ComunidadValenciana,10.611,14.13,100.0,Medium,Medium,High
2019,Madrid,14.199,9.99,92.0,High,Medium,High
2019,Extremadura,8.796,23.48,77.0,Low,High,Medium
2019,Galicia,11.218,11.74,67.0,Medium,Medium,Low
2019,Baleares,12.41,9.91,74.0,Medium,Low,Medium
2019,LaRioja,12.697,9.89,66.0,High,Low,Low
2019,Melilla,11.733,26.81,91.0,Medium,High,Medium
2019,Navarra,13.937,9.01,84.0,High,Low,Medium
2019,PaisVasco,15.3,9.09,88.0,High,Low,Medium
2019,Murcia,8.956,16.08,97.0,Low,Medium,High
2020,Andalucia,9.99,22.74,83.0,Low,High,High
2020,Aragon,13.097,12.49,80.0,Medium,Medium,Medium
2020,Asturias,12.786,13.5,73.0,Medium,Medium,Medium
2020,Canarias,9.935,25.22,62.0,Low,High,Low
2020,Cantabria,12.748,11.79,67.0,Medium,Medium,Medium
2020,CastillaLeon,12.697,11.61,72.0,Medium,Low,Medium
2020,CastillaLaMancha,10.485,17.39,81.0,Medium,Medium,Medium
2020,Catalunya,14.17,13.87,85.0,High,Medium,High
2020,Ceuta,9.853,26.74,57.0,Low,High,Low
2020,ComunidadValenciana,11.332,16.37,80.0,Medium,Medium,Medium
2020,Madrid,14.58,13.53,84.0,High,Medium,High
2020,Extremadura,9.147,21.32,78.0,Low,High,Medium
2020,Galicia,11.469,11.66,65.0,Medium,Low,Low
2020,Baleares,12.658,17.34,64.0,Medium,Medium,Low
2020,LaRioja,13.504,10.36,55.0,High,Low,Low
2020,Melilla,11.427,23.83,69.0,Medium,High,Medium
2020,Navarra,15.094,11.65,72.0,High,Low,Medium
2020,PaisVasco,15.813,9.96,83.0,High,Low,High
2020,Murcia,9.85,15.39,100.0,Low,Medium,High
2021,Andalucia,9.915,20.31,79.0,Low,High,Medium
2021,Aragon,13.345,9.18,85.0,High,Low,High
2021,Asturias,12.861,10.1,74.0,Medium,Low,Medium
2021,Canarias,10.161,19.23,54.0,Low,High,Low
2021,Cantabria,12.848,11.58,69.0,Medium,Medium,Low
2021,CastillaLeon,12.656,10.46,76.0,Medium,Medium,Medium
2021,CastillaLaMancha,10.257,13.33,82.0,Low,Medium,Medium
2021,Catalunya,14.159,10.21,90.0,High,Medium,High
2021,Ceuta,10.397,31.17,71.0,Medium,High,Medium
2021,ComunidadValenciana,11.237,14.57,88.0,Medium,Medium,High
2021,Madrid,14.836,10.18,100.0,High,Low,High
2021,Extremadura,9.5,19.33,80.0,Low,High,Medium
2021,Galicia,11.453,10.94,68.0,Medium,Medium,Low
2021,Baleares,11.235,14.58,75.0,Medium,Medium,Medium
2021,LaRioja,12.913,10.53,62.0,Medium,Medium,Low
2021,Melilla,12.012,26.51,61.0,Medium,High,Low
2021,Navarra,15.269,9.95,71.0,High,Low,Medium
2021,PaisVasco,15.544,9.11,84.0,High,Low,Medium
2021,Murcia,9.931,13.19,89.0,Low,Medium,High
2022,Andalucia,10.703,19.05,83.0,Low,High,Medium
2022,Aragon,14.015,9.57,96.0,High,Low,High
2022,Asturias,13.777,14.18,77.0,Medium,Medium,Medium
2022,Canarias,10.716,14.87,63.0,Low,High,Low
2022,Cantabria,13.811,10.53,68.0,Medium,Medium,Low
2022,CastillaLeon,13.323,8.9,74.0,Medium,Low,Medium
2022,CastillaLaMancha,11.037,14.81,78.0,Low,Medium,Medium
2022,Catalunya,14.692,10.32,87.0,High,Medium,High
2022,Ceuta,12.152,33.34,73.0,Medium,High,Medium
2022,ComunidadValenciana,11.876,13.7,84.0,Medium,Medium,Medium
2022,Madrid,15.695,11.33,100.0,High,Medium,High
2022,Extremadura,10.133,17.55,86.0,Low,High,Medium
2022,Galicia,12.352,10.65,65.0,Medium,Medium,Low
2022,Baleares,12.451,10.7,74.0,Medium,Medium,Medium
2022,LaRioja,13.538,8.52,69.0,Medium,Low,Low
2022,Melilla,13.089,26.15,51.0,Medium,High,Low
2022,Navarra,15.97,10.17,71.0,High,Low,Medium
2022,PaisVasco,16.427,8.97,88.0,High,Low,High
2022,Murcia,10.632,13.01,92.0,Low,Medium,High
2023,Andalucia,11.719,17.61,80.0,Low,High,Medium
2023,Aragon,14.81,8.17,83.0,Medium,Low,Medium
2023,Asturias,15.432,11.62,86.0,High,Medium,High
2023,Canarias,12.177,16.06,61.0,Low,High,Low
2023,Cantabria,14.162,7.39,67.0,Medium,Low,Low
2023,CastillaLeon,14.124,9.59,68.0,Medium,Medium,Medium
2023,CastillaLaMancha,11.913,12.33,81.0,Low,Medium,Medium
2023,Catalunya,15.83,9.16,80.0,High,Low,Medium
2023,Ceuta,13.421,32.66,67.0,Medium,High,Low
2023,ComunidadValenciana,12.805,12.93,90.0,Medium,Medium,High
2023,Madrid,16.817,9.64,100.0,High,Medium,High
2023,Extremadura,11.363,16.23,81.0,Low,High,Medium
2023,Galicia,13.147,9.19,60.0,Medium,Low,Low
2023,Baleares,14.139,11.16,72.0,Medium,Medium,Medium
2023,LaRioja,14.184,9.71,73.0,Medium,Medium,Medium
2023,Melilla,13.854,29.57,65.0,Medium,High,Low
2023,Navarra,16.599,9.25,75.0,High,Medium,Medium
2023,PaisVasco,18.189,6.38,87.0,High,Low,High
2023,Murcia,11.314,11.46,90.0,Low,Medium,High
2024,Andalucia,12.191,15.76,84.0,Low,High,Medium
2024,Aragon,15.747,7.62,87.0,Medium,Low,Medium
2024,Asturias,16.201,8.09,84.0,High,Low,Medium
2024,Canarias,13.372,11.91,66.0,Medium,Medium,Low
2024,Cantabria,14.708,8.23,73.0,Medium,Medium,Medium
2024,CastillaLeon,14.94,8.23,72.0,Medium,Medium,Low
2024,CastillaLaMancha,12.357,11.86,81.0,Low,Medium,Medium
2024,Catalunya,16.546,7.87,91.0,High,Low,High
2024,Ceuta,13.403,21.79,61.0,Medium,High,Low
2024,ComunidadValenciana,13.374,12.33,93.0,Medium,Medium,High
2024,Madrid,17.275,8.58,100.0,High,Medium,High
2024,Extremadura,12.421,15.26,77.0,Low,High,Medium
2024,Galicia,14.558,8.67,66.0,Medium,Medium,Low
2024,Baleares,15.926,8.2,76.0,Medium,Medium,Medium
2024,LaRioja,14.529,8.58,75.0,Medium,Medium,Medium
2024,Melilla,12.745,25.8,56.0,Low,High,Low
2024,Navarra,17.253,6.6,79.0,High,Low,Medium
2024,PaisVasco,19.078,8.17,96.0,High,Low,High
2024,Murcia,11.967,13.4,89.0,Low,High,High
