dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
S-23,Mayo,Memorial sgto. infantería de Marina Carmona Páez,https://runedia.mundodeportivo.com/carrera/memorial-sgto-infanteria-de-marina-carmona-paez-2009/20092476/,"Cádiz, San Fernando",Ruta,9300 m,andalucia,2000
V-29,Mayo,Carrera Popular Pruna - Olvera,https://runedia.mundodeportivo.com/carrera/carrera-popular-pruna-olvera-2009/20092084/,"Sevilla, Pruna - Olvera",Ruta,7900 m,andalucia,2000
V-29,Mayo,Carrera contra la Fibrosis Quística,https://runedia.mundodeportivo.com/carrera/carrera-contra-la-fibrosis-quistica-2009/20092085/,"Sevilla, Utrera",Ruta,8500 m,andalucia,2000
V-29,Mayo,Carrera nocturna de Palma del Río,https://runedia.mundodeportivo.com/carrera/carrera-nocturna-de-palma-del-rio-2009/20092575/,"Córdoba, Palma del Río",Ruta,8000 m,andalucia,2000
S-30,Mayo,Carrera popular y escolar sur - bellavista - la palmera,https://runedia.mundodeportivo.com/carrera/carrera-popular-y-escolar-sur-bellavista-la-palmera-2009/20092086/,"Sevilla, Sevilla",Ruta,9675 m,andalucia,2000
S-30,Mayo,Gran premio todos son inocentes,https://runedia.mundodeportivo.com/carrera/gran-premio-todos-son-inocentes-2009/20092187/,"Almería, María",Montaña,32000 m,andalucia,2000
J-4,Junio,Carrera nocturna la Mistela,https://runedia.mundodeportivo.com/carrera/carrera-nocturna-la-mistela-2009/20092219/,"Sevilla, Los Palacios y Villafranca",Ruta,9700 m,andalucia,2000
V-5,Junio,Carrera Popular Villa de Herrera,https://runedia.mundodeportivo.com/carrera/carrera-popular-villa-de-herrera-2009/20092092/,"Sevilla, Herrera",Ruta,8000 m,andalucia,2000
J-11,Junio,Carrera Solidaria Nocturna de Carmona,https://runedia.mundodeportivo.com/carrera/carrera-solidaria-nocturna-de-carmona-2009/20092093/,"Sevilla, Carmona",Ruta,7000 m,andalucia,2000
V-12,Junio,Carrera popular del Corpus-Tesorillo,https://runedia.mundodeportivo.com/carrera/carrera-popular-del-corpus-tesorillo-2009/20092480/,"Cádiz, San Martin del Tesorillo",Ruta,7000 m,andalucia,2000
S-13,Junio,Medio maraton Sierra de Cordoba,https://runedia.mundodeportivo.com/carrera/medio-maraton-sierra-de-cordoba-2009/20092576/,"Córdoba, Cordoba",Ruta,21097 m,andalucia,2000
S-13,Junio,Carrera popular peña los 40 de Montequinto,https://runedia.mundodeportivo.com/carrera/carrera-popular-pena-los-40-de-montequinto-2009/20092220/,"Sevilla, Montequinto",Ruta,10000 m,andalucia,2000
S-13,Junio,Carrera popular escuela solidaria,https://runedia.mundodeportivo.com/carrera/carrera-popular-escuela-solidaria-2009/20092771/,"Jaén, Jaén",Ruta,2700 m,andalucia,2000
S-13,Junio,Carrera Popular Bastilippo,https://runedia.mundodeportivo.com/carrera/carrera-popular-bastilippo-2009/20092113/,"Sevilla, El Viso del Alcor",Ruta,9000 m,andalucia,2000
S-13,Junio,Media maratón la Calahorra - Puerto de la Ragua,https://runedia.mundodeportivo.com/carrera/media-maraton-la-calahorra-puerto-de-la-ragua-2009/20092625/,"Granada, La Calahorra",Ruta,21097 m,andalucia,2000
